nationality,list,talker,vowel,sentNum,blockName,word,ques,correctAns,photo1,photo2,stimTypeA,triggerA,sentA,stimTypeB,triggerB,sentB,stimTypeC,triggerC,sentC,stimTypeD,triggerD,sentD,stimTypeE,triggerE,sentE,stimTypeF,triggerF,sentF
AM,AM1,S2,filler,7,AM_B1,meat,Is she trying to compost more?,1,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,hc,17,sentBlocks\SentenceStim\S2_filler_07_hc.wav,hc,17,sentBlocks\SentenceStim\S2_filler_07_hc.wav,hc,17,sentBlocks\SentenceStim\S2_filler_07_hc.wav,lc,18,sentBlocks\SentenceStim\S2_filler_07_lc.wav,lc,18,sentBlocks\SentenceStim\S2_filler_07_lc.wav,lc,18,sentBlocks\SentenceStim\S2_filler_07_lc.wav
AM,AM1,S2,filler,9,AM_B1,tail,Does she watch baseball?,1,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,lc,18,sentBlocks\SentenceStim\S2_filler_09_lc.wav,lc,18,sentBlocks\SentenceStim\S2_filler_09_lc.wav,lc,18,sentBlocks\SentenceStim\S2_filler_09_lc.wav,hc,17,sentBlocks\SentenceStim\S2_filler_09_hc.wav,hc,17,sentBlocks\SentenceStim\S2_filler_09_hc.wav,hc,17,sentBlocks\SentenceStim\S2_filler_09_hc.wav
AM,AM1,S2,AU,17,AM_B1,south,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,mp,14,sentBlocks\SentenceStim\S2_AU_17_mp.wav,rs,15,sentBlocks\SentenceStim\S2_AU_17_rs.wav,ur,16,sentBlocks\SentenceStim\S2_AU_17_ur.wav,mp,14,sentBlocks\SentenceStim\S2_AU_17_mp.wav,rs,15,sentBlocks\SentenceStim\S2_AU_17_rs.wav,ur,16,sentBlocks\SentenceStim\S2_AU_17_ur.wav
AM,AM1,S2,AU,18,AM_B1,sprouts,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,ur,16,sentBlocks\SentenceStim\S2_AU_18_ur.wav,mp,14,sentBlocks\SentenceStim\S2_AU_18_mp.wav,rs,15,sentBlocks\SentenceStim\S2_AU_18_rs.wav,ur,16,sentBlocks\SentenceStim\S2_AU_18_ur.wav,mp,14,sentBlocks\SentenceStim\S2_AU_18_mp.wav,rs,15,sentBlocks\SentenceStim\S2_AU_18_rs.wav
AM,AM1,S2,AI,26,AM_B1,life,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,rs,12,sentBlocks\SentenceStim\S2_AI_26_rs.wav,ur,13,sentBlocks\SentenceStim\S2_AI_26_ur.wav,mp,11,sentBlocks\SentenceStim\S2_AI_26_mp.wav,rs,12,sentBlocks\SentenceStim\S2_AI_26_rs.wav,ur,13,sentBlocks\SentenceStim\S2_AI_26_ur.wav,mp,11,sentBlocks\SentenceStim\S2_AI_26_mp.wav
AM,AM2,S3,filler,1,AM_B1,bath,Does she love to write?,0,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,lc,28,sentBlocks\SentenceStim\S3_filler_01_lc.wav,lc,28,sentBlocks\SentenceStim\S3_filler_01_lc.wav,lc,28,sentBlocks\SentenceStim\S3_filler_01_lc.wav,hc,27,sentBlocks\SentenceStim\S3_filler_01_hc.wav,hc,27,sentBlocks\SentenceStim\S3_filler_01_hc.wav,hc,27,sentBlocks\SentenceStim\S3_filler_01_hc.wav
AM,AM2,S3,AU,11,AM_B1,house,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,mp,24,sentBlocks\SentenceStim\S3_AU_11_mp.wav,rs,25,sentBlocks\SentenceStim\S3_AU_11_rs.wav,ur,26,sentBlocks\SentenceStim\S3_AU_11_ur.wav,mp,24,sentBlocks\SentenceStim\S3_AU_11_mp.wav,rs,25,sentBlocks\SentenceStim\S3_AU_11_rs.wav,ur,26,sentBlocks\SentenceStim\S3_AU_11_ur.wav
AM,AM2,S3,AI,24,AM_B1,knife,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,ur,23,sentBlocks\SentenceStim\S3_AI_24_ur.wav,mp,21,sentBlocks\SentenceStim\S3_AI_24_mp.wav,rs,22,sentBlocks\SentenceStim\S3_AI_24_rs.wav,ur,23,sentBlocks\SentenceStim\S3_AI_24_ur.wav,mp,21,sentBlocks\SentenceStim\S3_AI_24_mp.wav,rs,22,sentBlocks\SentenceStim\S3_AI_24_rs.wav
AM,AM2,S3,AI,29,AM_B1,site,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,rs,22,sentBlocks\SentenceStim\S3_AI_29_rs.wav,ur,23,sentBlocks\SentenceStim\S3_AI_29_ur.wav,mp,21,sentBlocks\SentenceStim\S3_AI_29_mp.wav,rs,22,sentBlocks\SentenceStim\S3_AI_29_rs.wav,ur,23,sentBlocks\SentenceStim\S3_AI_29_ur.wav,mp,21,sentBlocks\SentenceStim\S3_AI_29_mp.wav
AM,AM2,S3,AI,30,AM_B1,twice,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,mp,21,sentBlocks\SentenceStim\S3_AI_30_mp.wav,rs,22,sentBlocks\SentenceStim\S3_AI_30_rs.wav,ur,23,sentBlocks\SentenceStim\S3_AI_30_ur.wav,mp,21,sentBlocks\SentenceStim\S3_AI_30_mp.wav,rs,22,sentBlocks\SentenceStim\S3_AI_30_rs.wav,ur,23,sentBlocks\SentenceStim\S3_AI_30_ur.wav
AM,AM3,S4,filler,4,AM_B1,coat,Does she usually rememher to bring an umbrella?,0,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,hc,37,sentBlocks\SentenceStim\S4_filler_04_hc.wav,hc,37,sentBlocks\SentenceStim\S4_filler_04_hc.wav,hc,37,sentBlocks\SentenceStim\S4_filler_04_hc.wav,lc,38,sentBlocks\SentenceStim\S4_filler_04_lc.wav,lc,38,sentBlocks\SentenceStim\S4_filler_04_lc.wav,lc,38,sentBlocks\SentenceStim\S4_filler_04_lc.wav
AM,AM3,S4,filler,6,AM_B1,goals,Does she exercise in her free time?,0,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,lc,38,sentBlocks\SentenceStim\S4_filler_06_lc.wav,lc,38,sentBlocks\SentenceStim\S4_filler_06_lc.wav,lc,38,sentBlocks\SentenceStim\S4_filler_06_lc.wav,hc,37,sentBlocks\SentenceStim\S4_filler_06_hc.wav,hc,37,sentBlocks\SentenceStim\S4_filler_06_hc.wav,hc,37,sentBlocks\SentenceStim\S4_filler_06_hc.wav
AM,AM3,S4,filler,10,AM_B1,toast,Does she eat a different breakfast everyday?,0,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,hc,37,sentBlocks\SentenceStim\S4_filler_10_hc.wav,hc,37,sentBlocks\SentenceStim\S4_filler_10_hc.wav,hc,37,sentBlocks\SentenceStim\S4_filler_10_hc.wav,lc,38,sentBlocks\SentenceStim\S4_filler_10_lc.wav,lc,38,sentBlocks\SentenceStim\S4_filler_10_lc.wav,lc,38,sentBlocks\SentenceStim\S4_filler_10_lc.wav
AM,AM3,S4,AU,11,AM_B1,hangouts,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,ur,36,sentBlocks\SentenceStim\S4_AU_11_ur.wav,mp,34,sentBlocks\SentenceStim\S4_AU_11_mp.wav,rs,35,sentBlocks\SentenceStim\S4_AU_11_rs.wav,ur,36,sentBlocks\SentenceStim\S4_AU_11_ur.wav,mp,34,sentBlocks\SentenceStim\S4_AU_11_mp.wav,rs,35,sentBlocks\SentenceStim\S4_AU_11_rs.wav
AM,AM3,S4,AU,15,AM_B1,mouth,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,rs,35,sentBlocks\SentenceStim\S4_AU_15_rs.wav,ur,36,sentBlocks\SentenceStim\S4_AU_15_ur.wav,mp,34,sentBlocks\SentenceStim\S4_AU_15_mp.wav,rs,35,sentBlocks\SentenceStim\S4_AU_15_rs.wav,ur,36,sentBlocks\SentenceStim\S4_AU_15_ur.wav,mp,34,sentBlocks\SentenceStim\S4_AU_15_mp.wav
AM,AM3,S4,AU,16,AM_B1,mouth,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,mp,34,sentBlocks\SentenceStim\S4_AU_16_mp.wav,rs,35,sentBlocks\SentenceStim\S4_AU_16_rs.wav,ur,36,sentBlocks\SentenceStim\S4_AU_16_ur.wav,mp,34,sentBlocks\SentenceStim\S4_AU_16_mp.wav,rs,35,sentBlocks\SentenceStim\S4_AU_16_rs.wav,ur,36,sentBlocks\SentenceStim\S4_AU_16_ur.wav
AM,AM3,S4,AU,19,AM_B1,workout,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,ur,36,sentBlocks\SentenceStim\S4_AU_19_ur.wav,mp,34,sentBlocks\SentenceStim\S4_AU_19_mp.wav,rs,35,sentBlocks\SentenceStim\S4_AU_19_rs.wav,ur,36,sentBlocks\SentenceStim\S4_AU_19_ur.wav,mp,34,sentBlocks\SentenceStim\S4_AU_19_mp.wav,rs,35,sentBlocks\SentenceStim\S4_AU_19_rs.wav
AM,AM3,S4,AI,21,AM_B1,advice,na,na,sentBlocks\FacePrime\US_face_1.png,sentBlocks\FacePrime\US_face_2.png,rs,32,sentBlocks\SentenceStim\S4_AI_21_rs.wav,ur,33,sentBlocks\SentenceStim\S4_AI_21_ur.wav,mp,31,sentBlocks\SentenceStim\S4_AI_21_mp.wav,rs,32,sentBlocks\SentenceStim\S4_AI_21_rs.wav,ur,33,sentBlocks\SentenceStim\S4_AI_21_ur.wav,mp,31,sentBlocks\SentenceStim\S4_AI_21_mp.wav
