word,order,vowel,coda,stimType
place,1,ei,t,eit
fake,2,ei,t,eit
same,3,ei,n,ein
rewind,4,ai,n,ain
bound,5,au,n,aun
float,6,ou,t,out
home,7,ou,n,oun
eyes,8,ai,d,aid
afraid,9,ei,d,eid
clout,10,au,t,aut
browse,11,au,d,aud
boat,12,ou,t,out
time,13,ai,n,ain
vase,14,ei,t,eit
goad,15,ou,d,oud
bag,16,ae,d,aed
folk,17,ou,t,out
unite,18,ai,t,ait
trace,19,ei,t,eit
right,20,ai,t,ait
ripe,21,ai,t,ait
out,22,au,t,aut
inside,23,ai,d,aid
bike,24,ai,t,ait
spouse,25,au,t,aut
make,26,ei,t,eit
describe,27,ai,d,aid
bake,28,ei,t,eit
devout,29,au,t,aut
about,30,au,t,aut
cage,31,ei,d,eid
take,32,ei,t,eit
down,33,au,n,aun
croak,34,ou,t,out
lame,35,ei,n,ein
allowed,36,au,d,aud
throat,37,ou,t,out
nice,38,ai,t,ait
game,39,ei,n,ein
vague,40,ei,d,eid
stone,41,ou,n,oun
precise,42,ai,t,ait
pouch,43,au,t,aut
house,44,au,t,aut
haggle,45,ae,d,aed
ground,46,au,n,aun
town,47,au,n,aun
like,48,ai,t,ait
bagel,49,ae,d,aed
road,50,ou,d,oud
phone,51,ou,n,oun
doubt,52,au,t,aut
roam,53,ou,n,oun
might,54,ai,t,ait
tag,55,ae,d,aed
guide,56,ai,d,aid
