"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"4893.820000026608","micr.axb.consent.html","consent","external-html","0","5318","0.0-0.0","5e85fa18075f2920476c8b58","condA","","","","","","","","","","","","","","","","","","",""
"11595.375000004424","","instructions","instructions","1","16918","0.0-1.0","5e85fa18075f2920476c8b58","condA","[{""page_index"":0,""viewing_time"":2602.820000000065},{""page_index"":1,""viewing_time"":6599.835000000894},{""page_index"":2,""viewing_time"":2391.9849999947473}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","17435","0.0-2.0-0.0-0.0","5e85fa18075f2920476c8b58","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4303.32500001532","","tonetest","audio-button-response","3","21742","0.0-2.0-0.0-1.0","5e85fa18075f2920476c8b58","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","22255","0.0-2.0-0.0-0.1","5e85fa18075f2920476c8b58","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3772.6199999742676","","tonetest","audio-button-response","5","26029","0.0-2.0-0.0-1.1","5e85fa18075f2920476c8b58","condA","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","26535","0.0-2.0-0.0-0.2","5e85fa18075f2920476c8b58","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3779.7300000092946","","tonetest","audio-button-response","7","30317","0.0-2.0-0.0-1.2","5e85fa18075f2920476c8b58","condA","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","30825","0.0-2.0-0.0-0.3","5e85fa18075f2920476c8b58","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4218.070000002626","","tonetest","audio-button-response","9","35045","0.0-2.0-0.0-1.3","5e85fa18075f2920476c8b58","condA","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","35555","0.0-2.0-0.0-0.4","5e85fa18075f2920476c8b58","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4175.855000008596","","tonetest","audio-button-response","11","39733","0.0-2.0-0.0-1.4","5e85fa18075f2920476c8b58","condA","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","40245","0.0-2.0-0.0-0.5","5e85fa18075f2920476c8b58","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
