"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"35440.440000000024","micr.axb.consent.html","consent","external-html","0","35935","0.0-0.0","5cfea2427b91e70001423ffb","condE","","","","","","","","","","","","","","","","","","",""
"48499.44999999997","","instructions","instructions","1","84439","0.0-1.0","5cfea2427b91e70001423ffb","condE","[{""page_index"":0,""viewing_time"":25424.359999999986},{""page_index"":1,""viewing_time"":11461.659999999989},{""page_index"":2,""viewing_time"":11611.674999999988}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","84943","0.0-2.0-0.0-0.0","5cfea2427b91e70001423ffb","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5132.200000000012","","tonetest","audio-button-response","3","90079","0.0-2.0-0.0-1.0","5cfea2427b91e70001423ffb","condE","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","90583","0.0-2.0-0.0-0.1","5cfea2427b91e70001423ffb","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4937.515000000014","","tonetest","audio-button-response","5","95522","0.0-2.0-0.0-1.1","5cfea2427b91e70001423ffb","condE","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","96027","0.0-2.0-0.0-0.2","5cfea2427b91e70001423ffb","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4521.045000000013","","tonetest","audio-button-response","7","100551","0.0-2.0-0.0-1.2","5cfea2427b91e70001423ffb","condE","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","101056","0.0-2.0-0.0-0.3","5cfea2427b91e70001423ffb","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4449.51499999997","","tonetest","audio-button-response","9","105509","0.0-2.0-0.0-1.3","5cfea2427b91e70001423ffb","condE","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","106011","0.0-2.0-0.0-0.4","5cfea2427b91e70001423ffb","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4379.774999999994","","tonetest","audio-button-response","11","110394","0.0-2.0-0.0-1.4","5cfea2427b91e70001423ffb","condE","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
