"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"77168.7750001438","micr.axb.consent.html","consent","external-html","0","77223","0.0-0.0","5dd3d566e05cad3b130de19a","condA","","","","","","","","","","","","","","","","","","",""
"160166.5900000371","","instructions","instructions","1","237391","0.0-1.0","5dd3d566e05cad3b130de19a","condA","[{""page_index"":0,""viewing_time"":139310.10000011884},{""page_index"":1,""viewing_time"":12831.55499980785},{""page_index"":2,""viewing_time"":8024.345000041649}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","237893","0.0-2.0-0.0-0.0","5dd3d566e05cad3b130de19a","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"8616.369999945164","","tonetest","audio-button-response","3","246510","0.0-2.0-0.0-1.0","5dd3d566e05cad3b130de19a","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","247011","0.0-2.0-0.0-0.1","5dd3d566e05cad3b130de19a","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4346.385000040755","","tonetest","audio-button-response","5","251359","0.0-2.0-0.0-1.1","5dd3d566e05cad3b130de19a","condA","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","251860","0.0-2.0-0.0-0.2","5dd3d566e05cad3b130de19a","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3897.829999914393","","tonetest","audio-button-response","7","255759","0.0-2.0-0.0-1.2","5dd3d566e05cad3b130de19a","condA","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","256259","0.0-2.0-0.0-0.3","5dd3d566e05cad3b130de19a","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3914.325000019744","","tonetest","audio-button-response","9","260175","0.0-2.0-0.0-1.3","5dd3d566e05cad3b130de19a","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","260676","0.0-2.0-0.0-0.4","5dd3d566e05cad3b130de19a","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4457.560000009835","","tonetest","audio-button-response","11","265135","0.0-2.0-0.0-1.4","5dd3d566e05cad3b130de19a","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","265644","0.0-2.0-0.0-0.5","5dd3d566e05cad3b130de19a","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4225.679999915883","","tonetest","audio-button-response","13","269870","0.0-2.0-0.0-1.5","5dd3d566e05cad3b130de19a","condA","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"5928.539999993518","","instructions","html-keyboard-response","14","275800","0.0-2.0-1.0-0.0","5dd3d566e05cad3b130de19a","condA","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 5, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions. Then, press SPACE to repeat the audio test. </p><p><i>If you scored 5 or above, press SPACE to continue to the main experiment.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","282371","0.0-3.0","5dd3d566e05cad3b130de19a","condA","","","","","","","true","","","","","","","","","","","",""
"45203.8449998945","","instructions","instructions","16","327576","0.0-4.0","5dd3d566e05cad3b130de19a","condA","[{""page_index"":0,""viewing_time"":45203.75999994576}]","","","","","","","","","","","","","","","","","",""
