"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"623193.1499999482","micr.axb.consent.html","consent","external-html","0","623272","0.0-0.0","5fc2c0cfdb80f9025c6b4810","condC","","","","","","","","","","","","","","","","","","",""
"50722.61499997694","","instructions","instructions","1","673997","0.0-1.0","5fc2c0cfdb80f9025c6b4810","condC","[{""page_index"":0,""viewing_time"":24189.84000000637},{""page_index"":1,""viewing_time"":6711.475000018254},{""page_index"":2,""viewing_time"":19820.109999971464}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","674499","0.0-2.0-0.0-0.0","5fc2c0cfdb80f9025c6b4810","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"6039.100000052713","","tonetest","audio-button-response","3","680541","0.0-2.0-0.0-1.0","5fc2c0cfdb80f9025c6b4810","condC","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","681049","0.0-2.0-0.0-0.1","5fc2c0cfdb80f9025c6b4810","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5367.625000071712","","tonetest","audio-button-response","5","686418","0.0-2.0-0.0-1.1","5fc2c0cfdb80f9025c6b4810","condC","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","686921","0.0-2.0-0.0-0.2","5fc2c0cfdb80f9025c6b4810","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4486.700000008568","","tonetest","audio-button-response","7","691410","0.0-2.0-0.0-1.2","5fc2c0cfdb80f9025c6b4810","condC","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","691927","0.0-2.0-0.0-0.3","5fc2c0cfdb80f9025c6b4810","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5118.6199999647215","","tonetest","audio-button-response","9","697047","0.0-2.0-0.0-1.3","5fc2c0cfdb80f9025c6b4810","condC","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","697550","0.0-2.0-0.0-0.4","5fc2c0cfdb80f9025c6b4810","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4850.899999961257","","tonetest","audio-button-response","11","702403","0.0-2.0-0.0-1.4","5fc2c0cfdb80f9025c6b4810","condC","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","702914","0.0-2.0-0.0-0.5","5fc2c0cfdb80f9025c6b4810","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4856.015000026673","","tonetest","audio-button-response","13","707772","0.0-2.0-0.0-1.5","5fc2c0cfdb80f9025c6b4810","condC","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"9622.629999998026","","instructions","html-keyboard-response","14","717396","0.0-2.0-1.0-0.0","5fc2c0cfdb80f9025c6b4810","condC","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 5, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions. Then, press SPACE to repeat the audio test. </p><p><i>If you scored 5 or above, press SPACE to continue to the main experiment.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","721399","0.0-3.0","5fc2c0cfdb80f9025c6b4810","condC","","","","","","","true","","","","","","","","","","","",""
"38655.679999967106","","instructions","instructions","16","760056","0.0-4.0","5fc2c0cfdb80f9025c6b4810","condC","[{""page_index"":0,""viewing_time"":38655.49499995541}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","760557","0.0-5.0-0.0","5fc2c0cfdb80f9025c6b4810","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"2379","","practice","audio-keyboard-response","18","763527","0.0-5.0-1.0","5fc2c0cfdb80f9025c6b4810","condC","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","764548","0.0-5.0-0.1","5fc2c0cfdb80f9025c6b4810","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3011","","practice","audio-keyboard-response","20","767554","0.0-5.0-1.1","5fc2c0cfdb80f9025c6b4810","condC","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","768567","0.0-5.0-0.2","5fc2c0cfdb80f9025c6b4810","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"2800","","practice","audio-keyboard-response","22","771368","0.0-5.0-1.2","5fc2c0cfdb80f9025c6b4810","condC","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","23","772383","0.0-5.0-0.3","5fc2c0cfdb80f9025c6b4810","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3680","","practice","audio-keyboard-response","24","776071","0.0-5.0-1.3","5fc2c0cfdb80f9025c6b4810","condC","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","48","","","","","","","","","","","","","","","",""
"2244.2550000268966","","instructions","instructions","25","778818","0.0-6.0","5fc2c0cfdb80f9025c6b4810","condC","[{""page_index"":0,""viewing_time"":2244.0850000130013}]","","","","","","","","","","","","","","","","","",""
"4930.19500002265","","","html-keyboard-response","26","783753","0.0-7.0","5fc2c0cfdb80f9025c6b4810","condC","","<div class=""vertical-center""><img src=""resources/images/CN_face_a.png"" style=""width:450px;height:300px;""><p>This is the speaker you're about to hear. She is from Vancouver, Canada.</p><p> <br> <i>Press SPACE to continue.</i></p></div>","32","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","27","784269","0.0-8.0-0.0","5fc2c0cfdb80f9025c6b4810","condC","","<div class=""vertical-center"" style='width:60%;'><img src=""resources/images/CN_flag_100x52.jpg"" style=""width:100px;height:52px;opacity:0.35;""> <br> <br> <p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3571","","test","audio-keyboard-response","28","787842","0.0-8.0-1.0","5fc2c0cfdb80f9025c6b4810","condC","","resources/audio/wordStim/S3_AI_22_bxa_Step-6.wav","49","","","","","","resources/audio/wordStim/S3_AI_22_bxa_Step-6.wav","S3","22","bxa","6","MI","CN","S3-CN","1","1","true"
