"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"709351.3800000073","micr.axb.consent.html","consent","external-html","0","709385","0.0-0.0","5fc620bd1fb5ab1eb2a9975a","condE","","","","","","","","","","","","","","","","","","",""
"6520.3050000127405","","instructions","instructions","1","715908","0.0-1.0","5fc620bd1fb5ab1eb2a9975a","condE","[{""page_index"":0,""viewing_time"":999.0450000041164},{""page_index"":1,""viewing_time"":4465.900000010151},{""page_index"":2,""viewing_time"":1054.950000019744}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","716410","0.0-2.0-0.0-0.0","5fc620bd1fb5ab1eb2a9975a","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"8088.430000003427","","tonetest","audio-button-response","3","724499","0.0-2.0-0.0-1.0","5fc620bd1fb5ab1eb2a9975a","condE","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","725001","0.0-2.0-0.0-0.1","5fc620bd1fb5ab1eb2a9975a","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3627.6949999737553","","tonetest","audio-button-response","5","728629","0.0-2.0-0.0-1.1","5fc620bd1fb5ab1eb2a9975a","condE","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","729130","0.0-2.0-0.0-0.2","5fc620bd1fb5ab1eb2a9975a","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3528.9300000295043","","tonetest","audio-button-response","7","732660","0.0-2.0-0.0-1.2","5fc620bd1fb5ab1eb2a9975a","condE","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","733161","0.0-2.0-0.0-0.3","5fc620bd1fb5ab1eb2a9975a","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3478.3149999566376","","tonetest","audio-button-response","9","736641","0.0-2.0-0.0-1.3","5fc620bd1fb5ab1eb2a9975a","condE","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","737142","0.0-2.0-0.0-0.4","5fc620bd1fb5ab1eb2a9975a","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3698.3999999938533","","tonetest","audio-button-response","11","740841","0.0-2.0-0.0-1.4","5fc620bd1fb5ab1eb2a9975a","condE","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","741352","0.0-2.0-0.0-0.5","5fc620bd1fb5ab1eb2a9975a","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3686.9900000165217","","tonetest","audio-button-response","13","745040","0.0-2.0-0.0-1.5","5fc620bd1fb5ab1eb2a9975a","condE","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"5137.705000001006","","instructions","html-keyboard-response","14","750179","0.0-2.0-1.0-0.0","5fc620bd1fb5ab1eb2a9975a","condE","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 5, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions. Then, press SPACE to repeat the audio test. </p><p><i>If you scored 5 or above, press SPACE to continue to the main experiment.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","752805","0.0-3.0","5fc620bd1fb5ab1eb2a9975a","condE","","","","","","","true","","","","","","","","","","","",""
"17947.679999982938","","instructions","instructions","16","770753","0.0-4.0","5fc620bd1fb5ab1eb2a9975a","condE","[{""page_index"":0,""viewing_time"":17947.600000014063}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","771254","0.0-5.0-0.0","5fc620bd1fb5ab1eb2a9975a","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"9872","","practice","audio-keyboard-response","18","781122","0.0-5.0-1.0","5fc620bd1fb5ab1eb2a9975a","condE","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","782129","0.0-5.0-0.1","5fc620bd1fb5ab1eb2a9975a","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"2816","","practice","audio-keyboard-response","20","784944","0.0-5.0-1.1","5fc620bd1fb5ab1eb2a9975a","condE","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","785964","0.0-5.0-0.2","5fc620bd1fb5ab1eb2a9975a","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4384","","practice","audio-keyboard-response","22","790339","0.0-5.0-1.2","5fc620bd1fb5ab1eb2a9975a","condE","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","23","791363","0.0-5.0-0.3","5fc620bd1fb5ab1eb2a9975a","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"2520","","practice","audio-keyboard-response","24","793879","0.0-5.0-1.3","5fc620bd1fb5ab1eb2a9975a","condE","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","48","","","","","","","","","","","","","","","",""
"1642.1100000152364","","instructions","instructions","25","796027","0.0-6.0","5fc620bd1fb5ab1eb2a9975a","condE","[{""page_index"":0,""viewing_time"":1642.035000026226}]","","","","","","","","","","","","","","","","","",""
"4601.734999974724","","","html-keyboard-response","26","800631","0.0-7.0","5fc620bd1fb5ab1eb2a9975a","condE","","<div class=""vertical-center""><img src=""resources/images/BL_face_a.png"" style=""width:450px;height:300px;""><p>This is the speaker you're about to hear.</p><p> <br> <i>Press SPACE to continue.</i></p></div>","32","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","27","801132","0.0-8.0-0.0","5fc620bd1fb5ab1eb2a9975a","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3992","","test","audio-keyboard-response","28","805123","0.0-8.0-1.0","5fc620bd1fb5ab1eb2a9975a","condE","","resources/audio/wordStim/S3_AU_18_axb_Step-5.wav","49","","","","","","resources/audio/wordStim/S3_AU_18_axb_Step-5.wav","S3","18","axb","5","MI","BL","S3-BL","0","1","false"
"null","","fixation","html-keyboard-response","29","806133","0.0-8.0-0.1","5fc620bd1fb5ab1eb2a9975a","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3752","","test","audio-keyboard-response","30","809877","0.0-8.0-1.1","5fc620bd1fb5ab1eb2a9975a","condE","","resources/audio/wordStim/S3_AU_20_axb_Step-5.wav","49","","","","","","resources/audio/wordStim/S3_AU_20_axb_Step-5.wav","S3","20","axb","5","MI","BL","S3-BL","0","1","false"
"null","","fixation","html-keyboard-response","31","810898","0.0-8.0-0.2","5fc620bd1fb5ab1eb2a9975a","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
