"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"52760.369999999966","micr.axb.consent.html","consent","external-html","0","52818","0.0-0.0","5fe2c0f22234a6ed8d05d39a","condE","","","","","","","","","","","","","","","","","","",""
"72515.07499999934","","instructions","instructions","1","125337","0.0-1.0","5fe2c0f22234a6ed8d05d39a","condE","[{""page_index"":0,""viewing_time"":32595.649999999296},{""page_index"":1,""viewing_time"":29253.210000000763},{""page_index"":2,""viewing_time"":10665.079999998852}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","125839","0.0-2.0-0.0-0.0","5fe2c0f22234a6ed8d05d39a","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"6335.474999999875","","tonetest","audio-button-response","3","132177","0.0-2.0-0.0-1.0","5fe2c0f22234a6ed8d05d39a","condE","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","132680","0.0-2.0-0.0-0.1","5fe2c0f22234a6ed8d05d39a","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4296.495000000519","","tonetest","audio-button-response","5","136978","0.0-2.0-0.0-1.1","5fe2c0f22234a6ed8d05d39a","condE","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","137479","0.0-2.0-0.0-0.2","5fe2c0f22234a6ed8d05d39a","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4300.605000000389","","tonetest","audio-button-response","7","141782","0.0-2.0-0.0-1.2","5fe2c0f22234a6ed8d05d39a","condE","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","142283","0.0-2.0-0.0-0.3","5fe2c0f22234a6ed8d05d39a","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4283.674999998766","","tonetest","audio-button-response","9","146569","0.0-2.0-0.0-1.3","5fe2c0f22234a6ed8d05d39a","condE","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","147076","0.0-2.0-0.0-0.4","5fe2c0f22234a6ed8d05d39a","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4340.220000000059","","tonetest","audio-button-response","11","151418","0.0-2.0-0.0-1.4","5fe2c0f22234a6ed8d05d39a","condE","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","151919","0.0-2.0-0.0-0.5","5fe2c0f22234a6ed8d05d39a","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4281.800000000658","","tonetest","audio-button-response","13","156202","0.0-2.0-0.0-1.5","5fe2c0f22234a6ed8d05d39a","condE","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"8595.86499999935","","instructions","html-keyboard-response","14","164801","0.0-2.0-1.0-0.0","5fe2c0f22234a6ed8d05d39a","condE","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 5, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions. Then, press SPACE to repeat the audio test. </p><p><i>If you scored 5 or above, press SPACE to continue to the main experiment.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","167396","0.0-3.0","5fe2c0f22234a6ed8d05d39a","condE","","","","","","","true","","","","","","","","","","","",""
"36911.11000000092","","instructions","instructions","16","204308","0.0-4.0","5fe2c0f22234a6ed8d05d39a","condE","[{""page_index"":0,""viewing_time"":36910.89500000089}]","","","","","","","","","","","","","","","","","",""
