"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"5182.434999998804","micr.axb.consent.html","consent","external-html","0","5193","0.0-0.0","5fee8cf38ac18214460c59ed","condC","","","","","","","","","","","","","","","","","","",""
"4499.7350000012375","","instructions","instructions","1","9694","0.0-1.0","5fee8cf38ac18214460c59ed","condC","[{""page_index"":0,""viewing_time"":1061.2900000014633},{""page_index"":1,""viewing_time"":2559.124999999767},{""page_index"":2,""viewing_time"":878.1850000013947}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","10205","0.0-2.0-0.0-0.0","5fee8cf38ac18214460c59ed","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4312.470000000758","","tonetest","audio-button-response","3","14524","0.0-2.0-0.0-1.0","5fee8cf38ac18214460c59ed","condC","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","15028","0.0-2.0-0.0-0.1","5fee8cf38ac18214460c59ed","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4577.1050000003015","","tonetest","audio-button-response","5","19608","0.0-2.0-0.0-1.1","5fee8cf38ac18214460c59ed","condC","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","20115","0.0-2.0-0.0-0.2","5fee8cf38ac18214460c59ed","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4176.500000001397","","tonetest","audio-button-response","7","24294","0.0-2.0-0.0-1.2","5fee8cf38ac18214460c59ed","condC","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","24797","0.0-2.0-0.0-0.3","5fee8cf38ac18214460c59ed","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4231.635000000097","","tonetest","audio-button-response","9","29031","0.0-2.0-0.0-1.3","5fee8cf38ac18214460c59ed","condC","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","29533","0.0-2.0-0.0-0.4","5fee8cf38ac18214460c59ed","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4102.969999999914","","tonetest","audio-button-response","11","33640","0.0-2.0-0.0-1.4","5fee8cf38ac18214460c59ed","condC","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","34157","0.0-2.0-0.0-0.5","5fee8cf38ac18214460c59ed","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4307.104999999865","","tonetest","audio-button-response","13","38468","0.0-2.0-0.0-1.5","5fee8cf38ac18214460c59ed","condC","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"2098.649999999907","","instructions","html-keyboard-response","14","40568","0.0-2.0-1.0-0.0","5fee8cf38ac18214460c59ed","condC","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 5, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions. Then, press SPACE to repeat the audio test. </p><p><i>If you scored 5 or above, press SPACE to continue to the main experiment.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","44904","0.0-3.0","5fee8cf38ac18214460c59ed","condC","","","","","","","true","","","","","","","","","","","",""
"9496.075000002747","","instructions","instructions","16","54403","0.0-4.0","5fee8cf38ac18214460c59ed","condC","[{""page_index"":0,""viewing_time"":9495.860000002722}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","54919","0.0-5.0-0.0","5fee8cf38ac18214460c59ed","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4830","","practice","audio-keyboard-response","18","59748","0.0-5.0-1.0","5fee8cf38ac18214460c59ed","condC","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","60775","0.0-5.0-0.1","5fee8cf38ac18214460c59ed","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"5059","","practice","audio-keyboard-response","20","65843","0.0-5.0-1.1","5fee8cf38ac18214460c59ed","condC","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","66865","0.0-5.0-0.2","5fee8cf38ac18214460c59ed","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4368","","practice","audio-keyboard-response","22","71244","0.0-5.0-1.2","5fee8cf38ac18214460c59ed","condC","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","23","72273","0.0-5.0-0.3","5fee8cf38ac18214460c59ed","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3930","","practice","audio-keyboard-response","24","76217","0.0-5.0-1.3","5fee8cf38ac18214460c59ed","condC","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","48","","","","","","","","","","","","","","","",""
"4602.230000000418","","instructions","instructions","25","81326","0.0-6.0","5fee8cf38ac18214460c59ed","condC","[{""page_index"":0,""viewing_time"":4600.334999999177}]","","","","","","","","","","","","","","","","","",""
"3677.4399999994785","","","html-keyboard-response","26","85028","0.0-7.0","5fee8cf38ac18214460c59ed","condC","","<div class=""vertical-center""><img src=""resources/images/CN_face_a.png"" style=""width:450px;height:300px;""><p>This is the speaker you're about to hear. She is from Vancouver, Canada.</p><p> <br> <i>Press SPACE to continue.</i></p></div>","32","","","","","","","","","","","","","","","",""
