"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"10266.654999984894","micr.axb.consent.html","consent","external-html","0","10450","0.0-0.0","5ff90e8775dc6a1ef25dbd27","condE","","","","","","","","","","","","","","","","","","",""
"41122.53500003135","","instructions","instructions","1","51578","0.0-1.0","5ff90e8775dc6a1ef25dbd27","condE","[{""page_index"":0,""viewing_time"":17517.050000024028},{""page_index"":1,""viewing_time"":6906.299999973271},{""page_index"":2,""viewing_time"":16695.05500001833}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","52082","0.0-2.0-0.0-0.0","5ff90e8775dc6a1ef25dbd27","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4287.599999981467","","tonetest","audio-button-response","3","56381","0.0-2.0-0.0-1.0","5ff90e8775dc6a1ef25dbd27","condE","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","56887","0.0-2.0-0.0-0.1","5ff90e8775dc6a1ef25dbd27","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5852.889999980107","","tonetest","audio-button-response","5","62744","0.0-2.0-0.0-1.1","5ff90e8775dc6a1ef25dbd27","condE","","../../src/audio/toneTest_5.wav","","2","0","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","63250","0.0-2.0-0.0-0.2","5ff90e8775dc6a1ef25dbd27","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4228.639999986626","","tonetest","audio-button-response","7","67484","0.0-2.0-0.0-1.2","5ff90e8775dc6a1ef25dbd27","condE","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","67987","0.0-2.0-0.0-0.3","5ff90e8775dc6a1ef25dbd27","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4414.805000007618","","tonetest","audio-button-response","9","72410","0.0-2.0-0.0-1.3","5ff90e8775dc6a1ef25dbd27","condE","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","72914","0.0-2.0-0.0-0.4","5ff90e8775dc6a1ef25dbd27","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3957.5450000120327","","tonetest","audio-button-response","11","76877","0.0-2.0-0.0-1.4","5ff90e8775dc6a1ef25dbd27","condE","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","77380","0.0-2.0-0.0-0.5","5ff90e8775dc6a1ef25dbd27","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3887.3500000336207","","tonetest","audio-button-response","13","81277","0.0-2.0-0.0-1.5","5ff90e8775dc6a1ef25dbd27","condE","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"6657.6749999658205","","instructions","html-keyboard-response","14","87943","0.0-2.0-1.0-0.0","5ff90e8775dc6a1ef25dbd27","condE","","<div class=""vertical-center""><p><b>Your score was 5/6.</b></p><p>If you scored below 5, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions. Then, press SPACE to repeat the audio test. </p><p><i>If you scored 5 or above, press SPACE to continue to the main experiment.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","91107","0.0-3.0","5ff90e8775dc6a1ef25dbd27","condE","","","","","","","true","","","","","","","","","","","",""
"34648.8600000157","","instructions","instructions","16","125758","0.0-4.0","5ff90e8775dc6a1ef25dbd27","condE","[{""page_index"":0,""viewing_time"":34648.55000004172}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","126261","0.0-5.0-0.0","5ff90e8775dc6a1ef25dbd27","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"5525","","practice","audio-keyboard-response","18","131889","0.0-5.0-1.0","5ff90e8775dc6a1ef25dbd27","condE","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","132892","0.0-5.0-0.1","5ff90e8775dc6a1ef25dbd27","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"2837","","practice","audio-keyboard-response","20","135737","0.0-5.0-1.1","5ff90e8775dc6a1ef25dbd27","condE","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","136741","0.0-5.0-0.2","5ff90e8775dc6a1ef25dbd27","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3669","","practice","audio-keyboard-response","22","140416","0.0-5.0-1.2","5ff90e8775dc6a1ef25dbd27","condE","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
