"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"28437","micr.axb.consent.html","consent","external-html","0","28471","0.0-0.0","600b131849a93a11ec7eb9bd","condC","","","","","","","","","","","","","","","","","","",""
"60231","","instructions","instructions","1","88704","0.0-1.0","600b131849a93a11ec7eb9bd","condC","[{""page_index"":0,""viewing_time"":34601},{""page_index"":1,""viewing_time"":10660},{""page_index"":2,""viewing_time"":14969}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","89209","0.0-2.0-0.0-0.0","600b131849a93a11ec7eb9bd","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5779","","tonetest","audio-button-response","3","95067","0.0-2.0-0.0-1.0","600b131849a93a11ec7eb9bd","condC","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","95570","0.0-2.0-0.0-0.1","600b131849a93a11ec7eb9bd","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4336","","tonetest","audio-button-response","5","99906","0.0-2.0-0.0-1.1","600b131849a93a11ec7eb9bd","condC","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","100408","0.0-2.0-0.0-0.2","600b131849a93a11ec7eb9bd","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4508","","tonetest","audio-button-response","7","104916","0.0-2.0-0.0-1.2","600b131849a93a11ec7eb9bd","condC","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","105418","0.0-2.0-0.0-0.3","600b131849a93a11ec7eb9bd","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5425.000000000015","","tonetest","audio-button-response","9","110844","0.0-2.0-0.0-1.3","600b131849a93a11ec7eb9bd","condC","","../../src/audio/toneTest_6.wav","","1","0","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","111346","0.0-2.0-0.0-0.4","600b131849a93a11ec7eb9bd","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4219.999999999985","","tonetest","audio-button-response","11","115568","0.0-2.0-0.0-1.4","600b131849a93a11ec7eb9bd","condC","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","116069","0.0-2.0-0.0-0.5","600b131849a93a11ec7eb9bd","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4846","","tonetest","audio-button-response","13","120916","0.0-2.0-0.0-1.5","600b131849a93a11ec7eb9bd","condC","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"6068","","instructions","html-keyboard-response","14","126986","0.0-2.0-1.0-0.0","600b131849a93a11ec7eb9bd","condC","","<div class=""vertical-center""><p><b>Your score was 5/6.</b></p><p>If you scored below 5, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions. Then, press SPACE to repeat the audio test. </p><p><i>If you scored 5 or above, press SPACE to continue to the main experiment.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","130637","0.0-3.0","600b131849a93a11ec7eb9bd","condC","","","","","","","true","","","","","","","","","","","",""
"26944","","instructions","instructions","16","157582","0.0-4.0","600b131849a93a11ec7eb9bd","condC","[{""page_index"":0,""viewing_time"":26944}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","158084","0.0-5.0-0.0","600b131849a93a11ec7eb9bd","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"8621","","practice","audio-keyboard-response","18","166708","0.0-5.0-1.0","600b131849a93a11ec7eb9bd","condC","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
