"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"31469","micr.axb.consent.html","consent","external-html","0","31503","0.0-0.0","5cbc97cd214b1a0001ccfa53","condE","","","","","","","","","","","","","","","","","","",""
"86383","","instructions","instructions","1","117887","0.0-1.0","5cbc97cd214b1a0001ccfa53","condE","[{""page_index"":0,""viewing_time"":37686},{""page_index"":1,""viewing_time"":33601},{""page_index"":2,""viewing_time"":15095}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","118397","0.0-2.0-0.0-0.0","5cbc97cd214b1a0001ccfa53","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4629","","tonetest","audio-button-response","3","123031","0.0-2.0-0.0-1.0","5cbc97cd214b1a0001ccfa53","condE","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","123540","0.0-2.0-0.0-0.1","5cbc97cd214b1a0001ccfa53","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4400","","tonetest","audio-button-response","5","127942","0.0-2.0-0.0-1.1","5cbc97cd214b1a0001ccfa53","condE","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","128451","0.0-2.0-0.0-0.2","5cbc97cd214b1a0001ccfa53","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4210","","tonetest","audio-button-response","7","132663","0.0-2.0-0.0-1.2","5cbc97cd214b1a0001ccfa53","condE","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","133174","0.0-2.0-0.0-0.3","5cbc97cd214b1a0001ccfa53","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4151","","tonetest","audio-button-response","9","137326","0.0-2.0-0.0-1.3","5cbc97cd214b1a0001ccfa53","condE","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","137828","0.0-2.0-0.0-0.4","5cbc97cd214b1a0001ccfa53","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4569","","tonetest","audio-button-response","11","142399","0.0-2.0-0.0-1.4","5cbc97cd214b1a0001ccfa53","condE","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","142908","0.0-2.0-0.0-0.5","5cbc97cd214b1a0001ccfa53","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4121","","tonetest","audio-button-response","13","147030","0.0-2.0-0.0-1.5","5cbc97cd214b1a0001ccfa53","condE","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"10602","","instructions","html-keyboard-response","14","157635","0.0-2.0-1.0-0.0","5cbc97cd214b1a0001ccfa53","condE","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 5, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions. Then, press SPACE to repeat the audio test. </p><p><i>If you scored 5 or above, press SPACE to continue to the main experiment.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","162687","0.0-3.0","5cbc97cd214b1a0001ccfa53","condE","","","","","","","true","","","","","","","","","","","",""
"79144","","instructions","instructions","16","241834","0.0-4.0","5cbc97cd214b1a0001ccfa53","condE","[{""page_index"":0,""viewing_time"":79144}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","242341","0.0-5.0-0.0","5cbc97cd214b1a0001ccfa53","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4520","","practice","audio-keyboard-response","18","246866","0.0-5.0-1.0","5cbc97cd214b1a0001ccfa53","condE","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","247882","0.0-5.0-0.1","5cbc97cd214b1a0001ccfa53","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4651","","practice","audio-keyboard-response","20","252529","0.0-5.0-1.1","5cbc97cd214b1a0001ccfa53","condE","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","253545","0.0-5.0-0.2","5cbc97cd214b1a0001ccfa53","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3669","","practice","audio-keyboard-response","22","257217","0.0-5.0-1.2","5cbc97cd214b1a0001ccfa53","condE","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","23","258233","0.0-5.0-0.3","5cbc97cd214b1a0001ccfa53","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"6851","","practice","audio-keyboard-response","24","265087","0.0-5.0-1.3","5cbc97cd214b1a0001ccfa53","condE","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","48","","","","","","","","","","","","","","","",""
"2584","","instructions","instructions","25","268184","0.0-6.0","5cbc97cd214b1a0001ccfa53","condE","[{""page_index"":0,""viewing_time"":2584}]","","","","","","","","","","","","","","","","","",""
"3008","","","html-keyboard-response","26","271192","0.0-7.0","5cbc97cd214b1a0001ccfa53","condE","","<div class=""vertical-center""><img src=""resources/images/BL_face_a.png"" style=""width:450px;height:300px;""><p>This is the speaker you're about to hear.</p><p> <br> <i>Press SPACE to continue.</i></p></div>","32","","","","","","","","","","","","","","","",""
