"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"60688","micr.axb.consent.html","consent","external-html","0","61163","0.0-0.0","5d55449b00f7c60001abe155","condA","","","","","","","","","","","","","","","","","","",""
"70024","","instructions","instructions","1","131190","0.0-1.0","5d55449b00f7c60001abe155","condA","[{""page_index"":0,""viewing_time"":42593},{""page_index"":1,""viewing_time"":15946},{""page_index"":2,""viewing_time"":11484}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","131694","0.0-2.0-0.0-0.0","5d55449b00f7c60001abe155","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5155","","tonetest","audio-button-response","3","136851","0.0-2.0-0.0-1.0","5d55449b00f7c60001abe155","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","137355","0.0-2.0-0.0-0.1","5d55449b00f7c60001abe155","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4977","","tonetest","audio-button-response","5","142332","0.0-2.0-0.0-1.1","5d55449b00f7c60001abe155","condA","","../../src/audio/toneTest_6.wav","","1","0","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","142835","0.0-2.0-0.0-0.2","5d55449b00f7c60001abe155","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4410","","tonetest","audio-button-response","7","147246","0.0-2.0-0.0-1.2","5d55449b00f7c60001abe155","condA","","../../src/audio/toneTest_4.wav","","0","1","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","147750","0.0-2.0-0.0-0.3","5d55449b00f7c60001abe155","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5849","","tonetest","audio-button-response","9","153599","0.0-2.0-0.0-1.3","5d55449b00f7c60001abe155","condA","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
