"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"10977.000000000004","micr.axb.consent.html","consent","external-html","0","11075","0.0-0.0","5ea340a26c3ed82b0dbd4d9f","condC","","","","","","","","","","","","","","","","","","",""
"83128","","instructions","instructions","1","94208","0.0-1.0","5ea340a26c3ed82b0dbd4d9f","condC","[{""page_index"":0,""viewing_time"":22392},{""page_index"":1,""viewing_time"":45730},{""page_index"":2,""viewing_time"":15005}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","94711","0.0-2.0-0.0-0.0","5ea340a26c3ed82b0dbd4d9f","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"8670","","tonetest","audio-button-response","3","103390","0.0-2.0-0.0-1.0","5ea340a26c3ed82b0dbd4d9f","condC","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","103891","0.0-2.0-0.0-0.1","5ea340a26c3ed82b0dbd4d9f","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4720","","tonetest","audio-button-response","5","108613","0.0-2.0-0.0-1.1","5ea340a26c3ed82b0dbd4d9f","condC","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","109114","0.0-2.0-0.0-0.2","5ea340a26c3ed82b0dbd4d9f","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4574","","tonetest","audio-button-response","7","113689","0.0-2.0-0.0-1.2","5ea340a26c3ed82b0dbd4d9f","condC","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","114190","0.0-2.0-0.0-0.3","5ea340a26c3ed82b0dbd4d9f","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4614","","tonetest","audio-button-response","9","118805","0.0-2.0-0.0-1.3","5ea340a26c3ed82b0dbd4d9f","condC","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","119306","0.0-2.0-0.0-0.4","5ea340a26c3ed82b0dbd4d9f","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4469","","tonetest","audio-button-response","11","123776","0.0-2.0-0.0-1.4","5ea340a26c3ed82b0dbd4d9f","condC","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","124278","0.0-2.0-0.0-0.5","5ea340a26c3ed82b0dbd4d9f","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4404","","tonetest","audio-button-response","13","128682","0.0-2.0-0.0-1.5","5ea340a26c3ed82b0dbd4d9f","condC","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"5585","","instructions","html-keyboard-response","14","134268","0.0-2.0-1.0-0.0","5ea340a26c3ed82b0dbd4d9f","condC","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 5, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions. Then, press SPACE to repeat the audio test. </p><p><i>If you scored 5 or above, press SPACE to continue to the main experiment.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","138448","0.0-3.0","5ea340a26c3ed82b0dbd4d9f","condC","","","","","","","true","","","","","","","","","","","",""
"47369","","instructions","instructions","16","185819","0.0-4.0","5ea340a26c3ed82b0dbd4d9f","condC","[{""page_index"":0,""viewing_time"":47369}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","186320","0.0-5.0-0.0","5ea340a26c3ed82b0dbd4d9f","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4429","","practice","audio-keyboard-response","18","190390","0.0-5.0-1.0","5ea340a26c3ed82b0dbd4d9f","condC","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","191393","0.0-5.0-0.1","5ea340a26c3ed82b0dbd4d9f","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3677","","practice","audio-keyboard-response","20","194770","0.0-5.0-1.1","5ea340a26c3ed82b0dbd4d9f","condC","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","195773","0.0-5.0-0.2","5ea340a26c3ed82b0dbd4d9f","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3579","","practice","audio-keyboard-response","22","199064","0.0-5.0-1.2","5ea340a26c3ed82b0dbd4d9f","condC","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","23","200066","0.0-5.0-0.3","5ea340a26c3ed82b0dbd4d9f","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4325","","practice","audio-keyboard-response","24","204042","0.0-5.0-1.3","5ea340a26c3ed82b0dbd4d9f","condC","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"2003","","instructions","instructions","25","206546","0.0-6.0","5ea340a26c3ed82b0dbd4d9f","condC","[{""page_index"":0,""viewing_time"":2002}]","","","","","","","","","","","","","","","","","",""
"4489","","","html-keyboard-response","26","211036","0.0-7.0","5ea340a26c3ed82b0dbd4d9f","condC","","<div class=""vertical-center""><img src=""resources/images/CN_face_a.png"" style=""width:450px;height:300px;""><p>This is the speaker you're about to hear. She is from Vancouver, Canada.</p><p> <br> <i>Press SPACE to continue.</i></p></div>","32","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","27","211538","0.0-8.0-0.0","5ea340a26c3ed82b0dbd4d9f","condC","","<div class=""vertical-center"" style='width:60%;'><img src=""resources/images/CN_flag_100x52.jpg"" style=""width:100px;height:52px;opacity:0.35;""> <br> <br> <p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4972","","test","audio-keyboard-response","28","216107","0.0-8.0-1.0","5ea340a26c3ed82b0dbd4d9f","condC","","resources/audio/wordStim/S3_AI_22_bxa_Step-3.wav","49","","","","","","resources/audio/wordStim/S3_AI_22_bxa_Step-3.wav","S3","22","bxa","3","MI","CN","S3-CN","1","1","true"
"null","","fixation","html-keyboard-response","29","217110","0.0-8.0-0.1","5ea340a26c3ed82b0dbd4d9f","condC","","<div class=""vertical-center"" style='width:60%;'><img src=""resources/images/CN_flag_100x52.jpg"" style=""width:100px;height:52px;opacity:0.35;""> <br> <br> <p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
