"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"39824.28500000001","micr.axb.consent.html","consent","external-html","0","39987","0.0-0.0","5fe0e7892738afa6a21cfd7c","condE","","","","","","","","","","","","","","","","","","",""
"68303.65999999997","","instructions","instructions","1","108295","0.0-1.0","5fe0e7892738afa6a21cfd7c","condE","[{""page_index"":0,""viewing_time"":33753.72499999998},{""page_index"":1,""viewing_time"":19998.71000000002},{""page_index"":2,""viewing_time"":14546.710000000021}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","108802","0.0-2.0-0.0-0.0","5fe0e7892738afa6a21cfd7c","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"7415.224999999948","","tonetest","audio-button-response","3","116229","0.0-2.0-0.0-1.0","5fe0e7892738afa6a21cfd7c","condE","","../../src/audio/toneTest_1.wav","","1","2","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","116735","0.0-2.0-0.0-0.1","5fe0e7892738afa6a21cfd7c","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4812.684999999998","","tonetest","audio-button-response","5","121553","0.0-2.0-0.0-1.1","5fe0e7892738afa6a21cfd7c","condE","","../../src/audio/toneTest_2.wav","","2","1","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","122056","0.0-2.0-0.0-0.2","5fe0e7892738afa6a21cfd7c","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"6200.569999999978","","tonetest","audio-button-response","7","128265","0.0-2.0-0.0-1.2","5fe0e7892738afa6a21cfd7c","condE","","../../src/audio/toneTest_5.wav","","2","0","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","128769","0.0-2.0-0.0-0.3","5fe0e7892738afa6a21cfd7c","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4527.625","","tonetest","audio-button-response","9","133306","0.0-2.0-0.0-1.3","5fe0e7892738afa6a21cfd7c","condE","","../../src/audio/toneTest_1.wav","","1","2","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","133811","0.0-2.0-0.0-0.4","5fe0e7892738afa6a21cfd7c","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4702.224999999977","","tonetest","audio-button-response","11","138522","0.0-2.0-0.0-1.4","5fe0e7892738afa6a21cfd7c","condE","","../../src/audio/toneTest_2.wav","","2","1","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","139024","0.0-2.0-0.0-0.5","5fe0e7892738afa6a21cfd7c","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5452.4250000000175","","tonetest","audio-button-response","13","144480","0.0-2.0-0.0-1.5","5fe0e7892738afa6a21cfd7c","condE","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"123937.07999999993","","instructions","html-keyboard-response","14","268423","0.0-2.0-1.0-0.0","5fe0e7892738afa6a21cfd7c","condE","","<div class=""vertical-center""><p><b>Your score was 1/6.</b></p><p>If you scored below 5, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions. Then, press SPACE to repeat the audio test. </p><p><i>If you scored 5 or above, press SPACE to continue to the main experiment.</i></p></div>","32","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","15","268927","0.0-2.1-0.1-0.6","5fe0e7892738afa6a21cfd7c","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"6956.894999999902","","tonetest","audio-button-response","16","275890","0.0-2.1-0.1-1.6","5fe0e7892738afa6a21cfd7c","condE","","../../src/audio/toneTest_4.wav","","0","1","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","276393","0.0-2.1-0.1-0.7","5fe0e7892738afa6a21cfd7c","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5057.069999999949","","tonetest","audio-button-response","18","281456","0.0-2.1-0.1-1.7","5fe0e7892738afa6a21cfd7c","condE","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","281962","0.0-2.1-0.1-0.8","5fe0e7892738afa6a21cfd7c","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5914.800000000047","","tonetest","audio-button-response","20","287888","0.0-2.1-0.1-1.8","5fe0e7892738afa6a21cfd7c","condE","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","288391","0.0-2.1-0.1-0.9","5fe0e7892738afa6a21cfd7c","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4642.214999999967","","tonetest","audio-button-response","22","293042","0.0-2.1-0.1-1.9","5fe0e7892738afa6a21cfd7c","condE","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","23","293547","0.0-2.1-0.1-0.10","5fe0e7892738afa6a21cfd7c","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4618.090000000026","","tonetest","audio-button-response","24","298172","0.0-2.1-0.1-1.10","5fe0e7892738afa6a21cfd7c","condE","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","25","298675","0.0-2.1-0.1-0.11","5fe0e7892738afa6a21cfd7c","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5143.034999999974","","tonetest","audio-button-response","26","303823","0.0-2.1-0.1-1.11","5fe0e7892738afa6a21cfd7c","condE","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"6886.565000000002","","instructions","html-keyboard-response","27","310713","0.0-2.1-1.1-0.1","5fe0e7892738afa6a21cfd7c","condE","","<div class=""vertical-center""><p><b>Your score was 5/6.</b></p><p>If you scored below 5, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions. Then, press SPACE to repeat the audio test. </p><p><i>If you scored 5 or above, press SPACE to continue to the main experiment.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","28","315491","0.0-3.0","5fe0e7892738afa6a21cfd7c","condE","","","","","","","true","","","","","","","","","","","",""
"69560.19","","instructions","instructions","29","385054","0.0-4.0","5fe0e7892738afa6a21cfd7c","condE","[{""page_index"":0,""viewing_time"":69559.79499999998}]","","","","","","","","","","","","","","","","","",""
