"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"25440.669999981765","micr.axb.consent.html","consent","external-html","0","25477","0.0-0.0","56e72067c89073000be77fdf","condC","","","","","","","","","","","","","","","","","","",""
"114042.10999998031","","instructions","instructions","1","139521","0.0-1.0","56e72067c89073000be77fdf","condC","[{""page_index"":0,""viewing_time"":28228.74499997124},{""page_index"":1,""viewing_time"":11730.700000014622},{""page_index"":2,""viewing_time"":44439.03000000864},{""page_index"":1,""viewing_time"":18930.94499997096},{""page_index"":2,""viewing_time"":10712.115000002086}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","140022","0.0-2.0-0.0-0.0","56e72067c89073000be77fdf","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5040.8600000082515","","tonetest","audio-button-response","3","145065","0.0-2.0-0.0-1.0","56e72067c89073000be77fdf","condC","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","145566","0.0-2.0-0.0-0.1","56e72067c89073000be77fdf","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4175.990000017919","","tonetest","audio-button-response","5","149743","0.0-2.0-0.0-1.1","56e72067c89073000be77fdf","condC","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","150251","0.0-2.0-0.0-0.2","56e72067c89073000be77fdf","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3915.1399999973364","","tonetest","audio-button-response","7","154167","0.0-2.0-0.0-1.2","56e72067c89073000be77fdf","condC","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","154668","0.0-2.0-0.0-0.3","56e72067c89073000be77fdf","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4115.250000031665","","tonetest","audio-button-response","9","158784","0.0-2.0-0.0-1.3","56e72067c89073000be77fdf","condC","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","159297","0.0-2.0-0.0-0.4","56e72067c89073000be77fdf","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4413.484999968205","","tonetest","audio-button-response","11","163711","0.0-2.0-0.0-1.4","56e72067c89073000be77fdf","condC","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","164215","0.0-2.0-0.0-0.5","56e72067c89073000be77fdf","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3974.739999976009","","tonetest","audio-button-response","13","168191","0.0-2.0-0.0-1.5","56e72067c89073000be77fdf","condC","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"4368.925000017043","","instructions","html-keyboard-response","14","172560","0.0-2.0-1.0-0.0","56e72067c89073000be77fdf","condC","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 5, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions. Then, press SPACE to repeat the audio test. </p><p><i>If you scored 5 or above, press SPACE to continue to the main experiment.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","176467","0.0-3.0","56e72067c89073000be77fdf","condC","","","","","","","true","","","","","","","","","","","",""
"76159.54500000225","","instructions","instructions","16","252628","0.0-4.0","56e72067c89073000be77fdf","condC","[{""page_index"":0,""viewing_time"":76159.46499997517}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","253130","0.0-5.0-0.0","56e72067c89073000be77fdf","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"9749","","practice","audio-keyboard-response","18","262876","0.0-5.0-1.0","56e72067c89073000be77fdf","condC","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","263890","0.0-5.0-0.1","56e72067c89073000be77fdf","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4051","","practice","audio-keyboard-response","20","267940","0.0-5.0-1.1","56e72067c89073000be77fdf","condC","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","268967","0.0-5.0-0.2","56e72067c89073000be77fdf","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4411","","practice","audio-keyboard-response","22","273374","0.0-5.0-1.2","56e72067c89073000be77fdf","condC","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","23","274392","0.0-5.0-0.3","56e72067c89073000be77fdf","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
