"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"19664.03499999433","micr.axb.consent.html","consent","external-html","0","19780","0.0-0.0","5f97c2b6ea9cc8186c7c73db","condE","","","","","","","","","","","","","","","","","","",""
"38587.409999992815","","instructions","instructions","1","58374","0.0-1.0","5f97c2b6ea9cc8186c7c73db","condE","[{""page_index"":0,""viewing_time"":9462.064999999711},{""page_index"":1,""viewing_time"":12799.820000000182},{""page_index"":2,""viewing_time"":16322.32499998645}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","58891","0.0-2.0-0.0-0.0","5f97c2b6ea9cc8186c7c73db","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"6065.2050000062445","","tonetest","audio-button-response","3","64963","0.0-2.0-0.0-1.0","5f97c2b6ea9cc8186c7c73db","condE","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","65473","0.0-2.0-0.0-0.1","5f97c2b6ea9cc8186c7c73db","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4563.9850000006845","","tonetest","audio-button-response","5","70040","0.0-2.0-0.0-1.1","5f97c2b6ea9cc8186c7c73db","condE","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","70556","0.0-2.0-0.0-0.2","5f97c2b6ea9cc8186c7c73db","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4721.434999999474","","tonetest","audio-button-response","7","75281","0.0-2.0-0.0-1.2","5f97c2b6ea9cc8186c7c73db","condE","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","75797","0.0-2.0-0.0-0.3","5f97c2b6ea9cc8186c7c73db","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5491.31500000658","","tonetest","audio-button-response","9","81292","0.0-2.0-0.0-1.3","5f97c2b6ea9cc8186c7c73db","condE","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","81801","0.0-2.0-0.0-0.4","5f97c2b6ea9cc8186c7c73db","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4785.4650000081165","","tonetest","audio-button-response","11","86591","0.0-2.0-0.0-1.4","5f97c2b6ea9cc8186c7c73db","condE","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","87096","0.0-2.0-0.0-0.5","5f97c2b6ea9cc8186c7c73db","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4439.6600000036415","","tonetest","audio-button-response","13","91541","0.0-2.0-0.0-1.5","5f97c2b6ea9cc8186c7c73db","condE","","../../src/audio/toneTest_2.wav","","0","1","false","","","","","","","","","","","","",""
"9332.145000007586","","instructions","html-keyboard-response","14","100879","0.0-2.0-1.0-0.0","5f97c2b6ea9cc8186c7c73db","condE","","<div class=""vertical-center""><p><b>Your score was 5/6.</b></p><p>If you scored below 5, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions. Then, press SPACE to repeat the audio test. </p><p><i>If you scored 5 or above, press SPACE to continue to the main experiment.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","105875","0.0-3.0","5f97c2b6ea9cc8186c7c73db","condE","","","","","","","true","","","","","","","","","","","",""
"51744.919999997364","","instructions","instructions","16","157619","0.0-4.0","5f97c2b6ea9cc8186c7c73db","condE","[{""page_index"":0,""viewing_time"":51744.584999993094}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","158128","0.0-5.0-0.0","5f97c2b6ea9cc8186c7c73db","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4528","","practice","audio-keyboard-response","18","163182","0.0-5.0-1.0","5f97c2b6ea9cc8186c7c73db","condE","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","164211","0.0-5.0-0.1","5f97c2b6ea9cc8186c7c73db","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"2512","","practice","audio-keyboard-response","20","166726","0.0-5.0-1.1","5f97c2b6ea9cc8186c7c73db","condE","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","167753","0.0-5.0-0.2","5f97c2b6ea9cc8186c7c73db","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3480","","practice","audio-keyboard-response","22","171236","0.0-5.0-1.2","5f97c2b6ea9cc8186c7c73db","condE","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","23","172264","0.0-5.0-0.3","5f97c2b6ea9cc8186c7c73db","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3280","","practice","audio-keyboard-response","24","175546","0.0-5.0-1.3","5f97c2b6ea9cc8186c7c73db","condE","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
"2422.1550000074785","","instructions","instructions","25","178479","0.0-6.0","5f97c2b6ea9cc8186c7c73db","condE","[{""page_index"":0,""viewing_time"":2421.134999996866}]","","","","","","","","","","","","","","","","","",""
"3474.9700000102166","","","html-keyboard-response","26","181965","0.0-7.0","5f97c2b6ea9cc8186c7c73db","condE","","<div class=""vertical-center""><img src=""resources/images/BL_face_a.png"" style=""width:450px;height:300px;""><p>This is the speaker you're about to hear.</p><p> <br> <i>Press SPACE to continue.</i></p></div>","32","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","27","182483","0.0-8.0-0.0","5f97c2b6ea9cc8186c7c73db","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
