"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"2382.630000007339","micr.axb.consent.html","consent","external-html","0","2400","0.0-0.0","5699d25625d9e9000db0c7cc","condE","","","","","","","","","","","","","","","","","","",""
"15541.459999978542","","instructions","instructions","1","17946","0.0-1.0","5699d25625d9e9000db0c7cc","condE","[{""page_index"":0,""viewing_time"":1257.294999959413},{""page_index"":1,""viewing_time"":13678.835000027902},{""page_index"":2,""viewing_time"":604.9699999857694}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","18456","0.0-2.0-0.0-0.0","5699d25625d9e9000db0c7cc","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"2925.7000000216067","","tonetest","audio-button-response","3","21384","0.0-2.0-0.0-1.0","5699d25625d9e9000db0c7cc","condE","","../../src/audio/toneTest_5.wav","","2","0","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","21885","0.0-2.0-0.0-0.1","5699d25625d9e9000db0c7cc","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"2436.645000008866","","tonetest","audio-button-response","5","24323","0.0-2.0-0.0-1.1","5699d25625d9e9000db0c7cc","condE","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","24831","0.0-2.0-0.0-0.2","5699d25625d9e9000db0c7cc","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"2537.8299999865703","","tonetest","audio-button-response","7","27370","0.0-2.0-0.0-1.2","5699d25625d9e9000db0c7cc","condE","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","27871","0.0-2.0-0.0-0.3","5699d25625d9e9000db0c7cc","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"2545.3299999935552","","tonetest","audio-button-response","9","30418","0.0-2.0-0.0-1.3","5699d25625d9e9000db0c7cc","condE","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","30919","0.0-2.0-0.0-0.4","5699d25625d9e9000db0c7cc","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"2695.2499999897555","","tonetest","audio-button-response","11","33615","0.0-2.0-0.0-1.4","5699d25625d9e9000db0c7cc","condE","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","34119","0.0-2.0-0.0-0.5","5699d25625d9e9000db0c7cc","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3814.075000002049","","tonetest","audio-button-response","13","37935","0.0-2.0-0.0-1.5","5699d25625d9e9000db0c7cc","condE","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"1825.1950000412762","","instructions","html-keyboard-response","14","39761","0.0-2.0-1.0-0.0","5699d25625d9e9000db0c7cc","condE","","<div class=""vertical-center""><p><b>Your score was 5/6.</b></p><p>If you scored below 5, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions. Then, press SPACE to repeat the audio test. </p><p><i>If you scored 5 or above, press SPACE to continue to the main experiment.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","42606","0.0-3.0","5699d25625d9e9000db0c7cc","condE","","","","","","","true","","","","","","","","","","","",""
"1706.2450000084937","","instructions","instructions","16","44313","0.0-4.0","5699d25625d9e9000db0c7cc","condE","[{""page_index"":0,""viewing_time"":1706.1099999700673}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","44818","0.0-5.0-0.0","5699d25625d9e9000db0c7cc","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"900","","practice","audio-keyboard-response","18","45721","0.0-5.0-1.0","5699d25625d9e9000db0c7cc","condE","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
