"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"22174.029999994673","micr.axb.consent.html","consent","external-html","0","22230","0.0-0.0","5e95f5acbc10f705f132c60b","condA","","","","","","","","","","","","","","","","","","",""
"233333.97000003606","","instructions","instructions","1","255565","0.0-1.0","5e95f5acbc10f705f132c60b","condA","[{""page_index"":0,""viewing_time"":209337.3099999735},{""page_index"":1,""viewing_time"":9939.96500002686},{""page_index"":2,""viewing_time"":14055.81000004895}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","256067","0.0-2.0-0.0-0.0","5e95f5acbc10f705f132c60b","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4876.210000016727","","tonetest","audio-button-response","3","260949","0.0-2.0-0.0-1.0","5e95f5acbc10f705f132c60b","condA","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","261451","0.0-2.0-0.0-0.1","5e95f5acbc10f705f132c60b","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4271.334999939427","","tonetest","audio-button-response","5","265724","0.0-2.0-0.0-1.1","5e95f5acbc10f705f132c60b","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","266225","0.0-2.0-0.0-0.2","5e95f5acbc10f705f132c60b","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4390.664999955334","","tonetest","audio-button-response","7","270620","0.0-2.0-0.0-1.2","5e95f5acbc10f705f132c60b","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","271122","0.0-2.0-0.0-0.3","5e95f5acbc10f705f132c60b","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4183.059999952093","","tonetest","audio-button-response","9","275308","0.0-2.0-0.0-1.3","5e95f5acbc10f705f132c60b","condA","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
