"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"29151.305000064895","micr.axb.consent.html","consent","external-html","0","29389","0.0-0.0","5cb2956621aca7001632f50b","condC","","","","","","","","","","","","","","","","","","",""
"62778.4700000193","","instructions","instructions","1","92170","0.0-1.0","5cb2956621aca7001632f50b","condC","[{""page_index"":0,""viewing_time"":23701.24000008218},{""page_index"":1,""viewing_time"":19891.800000099465},{""page_index"":2,""viewing_time"":19184.314999962226}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","92675","0.0-2.0-0.0-0.0","5cb2956621aca7001632f50b","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"6191.319999983534","","tonetest","audio-button-response","3","98870","0.0-2.0-0.0-1.0","5cb2956621aca7001632f50b","condC","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","99382","0.0-2.0-0.0-0.1","5cb2956621aca7001632f50b","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"6339.264999842271","","tonetest","audio-button-response","5","105724","0.0-2.0-0.0-1.1","5cb2956621aca7001632f50b","condC","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","106233","0.0-2.0-0.0-0.2","5cb2956621aca7001632f50b","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5433.665000135079","","tonetest","audio-button-response","7","111670","0.0-2.0-0.0-1.2","5cb2956621aca7001632f50b","condC","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","112183","0.0-2.0-0.0-0.3","5cb2956621aca7001632f50b","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4792.224999982864","","tonetest","audio-button-response","9","116978","0.0-2.0-0.0-1.3","5cb2956621aca7001632f50b","condC","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
