"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"25261.405000004743","micr.axb.consent.html","consent","external-html","0","25327","0.0-0.0","5fafedcd3bbc062e45161565","condA","","","","","","","","","","","","","","","","","","",""
"49032.45500000048","","instructions","instructions","1","74360","0.0-1.0","5fafedcd3bbc062e45161565","condA","[{""page_index"":0,""viewing_time"":20333.69500000117},{""page_index"":1,""viewing_time"":16764.23999999679},{""page_index"":2,""viewing_time"":11933.810000002268}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","74863","0.0-2.0-0.0-0.0","5fafedcd3bbc062e45161565","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4601.894999999786","","tonetest","audio-button-response","3","79467","0.0-2.0-0.0-1.0","5fafedcd3bbc062e45161565","condA","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","79968","0.0-2.0-0.0-0.1","5fafedcd3bbc062e45161565","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4787.465000001248","","tonetest","audio-button-response","5","84756","0.0-2.0-0.0-1.1","5fafedcd3bbc062e45161565","condA","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","85265","0.0-2.0-0.0-0.2","5fafedcd3bbc062e45161565","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4894.3749999962165","","tonetest","audio-button-response","7","90161","0.0-2.0-0.0-1.2","5fafedcd3bbc062e45161565","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","90672","0.0-2.0-0.0-0.3","5fafedcd3bbc062e45161565","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3962.52000000095","","tonetest","audio-button-response","9","94636","0.0-2.0-0.0-1.3","5fafedcd3bbc062e45161565","condA","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
