"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"80423.71999999159","micr.axb.consent.html","consent","external-html","0","80478","0.0-0.0","5fbae8831eb7d17f0d548bfe","condE","","","","","","","","","","","","","","","","","","",""
"89310.66500002635","","instructions","instructions","1","169789","0.0-1.0","5fbae8831eb7d17f0d548bfe","condE","[{""page_index"":0,""viewing_time"":36384.020000026794},{""page_index"":1,""viewing_time"":32576.954999996815},{""page_index"":2,""viewing_time"":20348.989999998594}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","170298","0.0-2.0-0.0-0.0","5fbae8831eb7d17f0d548bfe","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"6942.834999994375","","tonetest","audio-button-response","3","177243","0.0-2.0-0.0-1.0","5fbae8831eb7d17f0d548bfe","condE","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","177745","0.0-2.0-0.0-0.1","5fbae8831eb7d17f0d548bfe","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5459.95000001858","","tonetest","audio-button-response","5","183206","0.0-2.0-0.0-1.1","5fbae8831eb7d17f0d548bfe","condE","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","183709","0.0-2.0-0.0-0.2","5fbae8831eb7d17f0d548bfe","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4777.089999988675","","tonetest","audio-button-response","7","188487","0.0-2.0-0.0-1.2","5fbae8831eb7d17f0d548bfe","condE","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","188993","0.0-2.0-0.0-0.3","5fbae8831eb7d17f0d548bfe","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4673.37000000407","","tonetest","audio-button-response","9","193669","0.0-2.0-0.0-1.3","5fbae8831eb7d17f0d548bfe","condE","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","194177","0.0-2.0-0.0-0.4","5fbae8831eb7d17f0d548bfe","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4251.315000001341","","tonetest","audio-button-response","11","198431","0.0-2.0-0.0-1.4","5fbae8831eb7d17f0d548bfe","condE","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","198941","0.0-2.0-0.0-0.5","5fbae8831eb7d17f0d548bfe","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4134.839999984251","","tonetest","audio-button-response","13","203079","0.0-2.0-0.0-1.5","5fbae8831eb7d17f0d548bfe","condE","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"12664.910000021337","","instructions","html-keyboard-response","14","215745","0.0-2.0-1.0-0.0","5fbae8831eb7d17f0d548bfe","condE","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 5, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions. Then, press SPACE to repeat the audio test. </p><p><i>If you scored 5 or above, press SPACE to continue to the main experiment.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","224686","0.0-3.0","5fbae8831eb7d17f0d548bfe","condE","","","","","","","true","","","","","","","","","","","",""
"74051.50500001037","","instructions","instructions","16","298739","0.0-4.0","5fbae8831eb7d17f0d548bfe","condE","[{""page_index"":0,""viewing_time"":74051.42500001239}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","299240","0.0-5.0-0.0","5fbae8831eb7d17f0d548bfe","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"21939","","practice","audio-keyboard-response","18","321207","0.0-5.0-1.0","5fbae8831eb7d17f0d548bfe","condE","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","322226","0.0-5.0-0.1","5fbae8831eb7d17f0d548bfe","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"12299","","practice","audio-keyboard-response","20","334522","0.0-5.0-1.1","5fbae8831eb7d17f0d548bfe","condE","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","335525","0.0-5.0-0.2","5fbae8831eb7d17f0d548bfe","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"52629","","practice","audio-keyboard-response","22","388144","0.0-5.0-1.2","5fbae8831eb7d17f0d548bfe","condE","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","23","389146","0.0-5.0-0.3","5fbae8831eb7d17f0d548bfe","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"5861","","practice","audio-keyboard-response","24","395035","0.0-5.0-1.3","5fbae8831eb7d17f0d548bfe","condE","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","48","","","","","","","","","","","","","","","",""
"5460.825000016484","","instructions","instructions","25","401005","0.0-6.0","5fbae8831eb7d17f0d548bfe","condE","[{""page_index"":0,""viewing_time"":5460.720000002766}]","","","","","","","","","","","","","","","","","",""
"4727.499999979045","","","html-keyboard-response","26","405734","0.0-7.0","5fbae8831eb7d17f0d548bfe","condE","","<div class=""vertical-center""><img src=""resources/images/BL_face_a.png"" style=""width:450px;height:300px;""><p>This is the speaker you're about to hear.</p><p> <br> <i>Press SPACE to continue.</i></p></div>","32","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","27","406241","0.0-8.0-0.0","5fbae8831eb7d17f0d548bfe","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4560","","test","audio-keyboard-response","28","410802","0.0-8.0-1.0","5fbae8831eb7d17f0d548bfe","condE","","resources/audio/wordStim/S3_AU_20_axb_Step-8.wav","48","","","","","","resources/audio/wordStim/S3_AU_20_axb_Step-8.wav","S3","20","axb","8","MI","BL","S3-BL","0","0","true"
