"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"61617.28000000585","micr.axb.consent.html","consent","external-html","0","61985","0.0-0.0","5fc79cabf9cb8c0a06fbe117","condC","","","","","","","","","","","","","","","","","","",""
"104342.37500000745","","instructions","instructions","1","166332","0.0-1.0","5fc79cabf9cb8c0a06fbe117","condC","[{""page_index"":0,""viewing_time"":61230.33499997109},{""page_index"":1,""viewing_time"":17609.835000010207},{""page_index"":2,""viewing_time"":25499.77499997476}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","166836","0.0-2.0-0.0-0.0","5fc79cabf9cb8c0a06fbe117","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"6281.050000048708","","tonetest","audio-button-response","3","173121","0.0-2.0-0.0-1.0","5fc79cabf9cb8c0a06fbe117","condC","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","173623","0.0-2.0-0.0-0.1","5fc79cabf9cb8c0a06fbe117","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4324.620000028517","","tonetest","audio-button-response","5","177950","0.0-2.0-0.0-1.1","5fc79cabf9cb8c0a06fbe117","condC","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","178451","0.0-2.0-0.0-0.2","5fc79cabf9cb8c0a06fbe117","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4875.7949999999255","","tonetest","audio-button-response","7","183329","0.0-2.0-0.0-1.2","5fc79cabf9cb8c0a06fbe117","condC","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","183833","0.0-2.0-0.0-0.3","5fc79cabf9cb8c0a06fbe117","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5145.740000007208","","tonetest","audio-button-response","9","188981","0.0-2.0-0.0-1.3","5fc79cabf9cb8c0a06fbe117","condC","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","189482","0.0-2.0-0.0-0.4","5fc79cabf9cb8c0a06fbe117","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4398.760000010952","","tonetest","audio-button-response","11","193883","0.0-2.0-0.0-1.4","5fc79cabf9cb8c0a06fbe117","condC","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","194384","0.0-2.0-0.0-0.5","5fc79cabf9cb8c0a06fbe117","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4378.604999976233","","tonetest","audio-button-response","13","198765","0.0-2.0-0.0-1.5","5fc79cabf9cb8c0a06fbe117","condC","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"12590.595000016037","","instructions","html-keyboard-response","14","211358","0.0-2.0-1.0-0.0","5fc79cabf9cb8c0a06fbe117","condC","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 5, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions. Then, press SPACE to repeat the audio test. </p><p><i>If you scored 5 or above, press SPACE to continue to the main experiment.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","215029","0.0-3.0","5fc79cabf9cb8c0a06fbe117","condC","","","","","","","true","","","","","","","","","","","",""
"58035.494999960065","","instructions","instructions","16","273067","0.0-4.0","5fc79cabf9cb8c0a06fbe117","condC","[{""page_index"":0,""viewing_time"":58035.37499997765}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","273570","0.0-5.0-0.0","5fc79cabf9cb8c0a06fbe117","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"9660","","practice","audio-keyboard-response","18","283245","0.0-5.0-1.0","5fc79cabf9cb8c0a06fbe117","condC","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","284250","0.0-5.0-0.1","5fc79cabf9cb8c0a06fbe117","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"5584","","practice","audio-keyboard-response","20","289835","0.0-5.0-1.1","5fc79cabf9cb8c0a06fbe117","condC","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
