"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"19529.380000079982","micr.axb.consent.html","consent","external-html","0","19561","0.0-0.0","6057ad5148a5426678860207","condC","","","","","","","","","","","","","","","","","","",""
"38249.10000001546","","instructions","instructions","1","57812","0.0-1.0","6057ad5148a5426678860207","condC","[{""page_index"":0,""viewing_time"":15808.175000012852},{""page_index"":1,""viewing_time"":13029.920000000857},{""page_index"":2,""viewing_time"":9408.880000002682}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","58315","0.0-2.0-0.0-0.0","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"6339.68500001356","","tonetest","audio-button-response","3","64661","0.0-2.0-0.0-1.0","6057ad5148a5426678860207","condC","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","65163","0.0-2.0-0.0-0.1","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5318.035000003874","","tonetest","audio-button-response","5","70483","0.0-2.0-0.0-1.1","6057ad5148a5426678860207","condC","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","70984","0.0-2.0-0.0-0.2","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5662.724999943748","","tonetest","audio-button-response","7","76649","0.0-2.0-0.0-1.2","6057ad5148a5426678860207","condC","","../../src/audio/toneTest_4.wav","","2","1","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","77152","0.0-2.0-0.0-0.3","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"6500.395000097342","","tonetest","audio-button-response","9","83656","0.0-2.0-0.0-1.3","6057ad5148a5426678860207","condC","","../../src/audio/toneTest_1.wav","","0","2","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","84156","0.0-2.0-0.0-0.4","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5231.449999962933","","tonetest","audio-button-response","11","89391","0.0-2.0-0.0-1.4","6057ad5148a5426678860207","condC","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","89893","0.0-2.0-0.0-0.5","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4762.914999970235","","tonetest","audio-button-response","13","94660","0.0-2.0-0.0-1.5","6057ad5148a5426678860207","condC","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"5755.07000007201","","instructions","html-keyboard-response","14","100419","0.0-2.0-1.0-0.0","6057ad5148a5426678860207","condC","","<div class=""vertical-center""><p><b>Your score was 4/6.</b></p><p>If you scored below 5, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions. Then, press SPACE to repeat the audio test. </p><p><i>If you scored 5 or above, press SPACE to continue to the main experiment.</i></p></div>","32","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","15","100927","0.0-2.1-0.1-0.6","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5040.564999915659","","tonetest","audio-button-response","16","105969","0.0-2.1-0.1-1.6","6057ad5148a5426678860207","condC","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","106471","0.0-2.1-0.1-0.7","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4852.584999985993","","tonetest","audio-button-response","18","111326","0.0-2.1-0.1-1.7","6057ad5148a5426678860207","condC","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","111835","0.0-2.1-0.1-0.8","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5012.435000040568","","tonetest","audio-button-response","20","116849","0.0-2.1-0.1-1.8","6057ad5148a5426678860207","condC","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","117352","0.0-2.1-0.1-0.9","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4831.8949999520555","","tonetest","audio-button-response","22","122187","0.0-2.1-0.1-1.9","6057ad5148a5426678860207","condC","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","23","122687","0.0-2.1-0.1-0.10","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4797.299999976531","","tonetest","audio-button-response","24","127487","0.0-2.1-0.1-1.10","6057ad5148a5426678860207","condC","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","25","127987","0.0-2.1-0.1-0.11","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4750.374999945052","","tonetest","audio-button-response","26","132739","0.0-2.1-0.1-1.11","6057ad5148a5426678860207","condC","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"2801.560000050813","","instructions","html-keyboard-response","27","135543","0.0-2.1-1.1-0.1","6057ad5148a5426678860207","condC","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 5, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions. Then, press SPACE to repeat the audio test. </p><p><i>If you scored 5 or above, press SPACE to continue to the main experiment.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","28","138527","0.0-3.0","6057ad5148a5426678860207","condC","","","","","","","true","","","","","","","","","","","",""
"15216.345000080764","","instructions","instructions","29","153744","0.0-4.0","6057ad5148a5426678860207","condC","[{""page_index"":0,""viewing_time"":15216.190000064671}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","30","154246","0.0-5.0-0.0","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"6629","","practice","audio-keyboard-response","31","160880","0.0-5.0-1.0","6057ad5148a5426678860207","condC","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","32","161906","0.0-5.0-0.1","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4458","","practice","audio-keyboard-response","33","166373","0.0-5.0-1.1","6057ad5148a5426678860207","condC","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","34","167388","0.0-5.0-0.2","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3869","","practice","audio-keyboard-response","35","171264","0.0-5.0-1.2","6057ad5148a5426678860207","condC","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","36","172280","0.0-5.0-0.3","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4380","","practice","audio-keyboard-response","37","176663","0.0-5.0-1.3","6057ad5148a5426678860207","condC","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"1911.725000012666","","instructions","instructions","38","179078","0.0-6.0","6057ad5148a5426678860207","condC","[{""page_index"":0,""viewing_time"":1911.625000066124}]","","","","","","","","","","","","","","","","","",""
"2429.879999952391","","","html-keyboard-response","39","181509","0.0-7.0","6057ad5148a5426678860207","condC","","<div class=""vertical-center""><img src=""resources/images/CN_face_a.png"" style=""width:450px;height:300px;""><p>This is the speaker you're about to hear. She is from Vancouver, Canada.</p><p> <br> <i>Press SPACE to continue.</i></p></div>","32","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","40","182017","0.0-8.0-0.0","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style='width:60%;'><img src=""resources/images/CN_flag_100x52.jpg"" style=""width:100px;height:52px;opacity:0.35;""> <br> <br> <p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"5892","","test","audio-keyboard-response","41","187915","0.0-8.0-1.0","6057ad5148a5426678860207","condC","","resources/audio/wordStim/S3_AU_19_bxa_Step-4.wav","49","","","","","","resources/audio/wordStim/S3_AU_19_bxa_Step-4.wav","S3","19","bxa","4","MI","CN","S3-CN","1","1","true"
"null","","fixation","html-keyboard-response","42","188946","0.0-8.0-0.1","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style='width:60%;'><img src=""resources/images/CN_flag_100x52.jpg"" style=""width:100px;height:52px;opacity:0.35;""> <br> <br> <p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"5451","","test","audio-keyboard-response","43","194401","0.0-8.0-1.1","6057ad5148a5426678860207","condC","","resources/audio/wordStim/S3_AU_20_bxa_Step-2.wav","49","","","","","","resources/audio/wordStim/S3_AU_20_bxa_Step-2.wav","S3","20","bxa","2","MI","CN","S3-CN","1","1","true"
"null","","fixation","html-keyboard-response","44","195432","0.0-8.0-0.2","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style='width:60%;'><img src=""resources/images/CN_flag_100x52.jpg"" style=""width:100px;height:52px;opacity:0.35;""> <br> <br> <p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4682","","test","audio-keyboard-response","45","200113","0.0-8.0-1.2","6057ad5148a5426678860207","condC","","resources/audio/wordStim/S3_AU_18_bxa_Step-3.wav","48","","","","","","resources/audio/wordStim/S3_AU_18_bxa_Step-3.wav","S3","18","bxa","3","MI","CN","S3-CN","1","0","false"
"null","","fixation","html-keyboard-response","46","201134","0.0-8.0-0.3","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style='width:60%;'><img src=""resources/images/CN_flag_100x52.jpg"" style=""width:100px;height:52px;opacity:0.35;""> <br> <br> <p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3312","","test","audio-keyboard-response","47","204442","0.0-8.0-1.3","6057ad5148a5426678860207","condC","","resources/audio/wordStim/S3_AI_21_axb_Step-5.wav","48","","","","","","resources/audio/wordStim/S3_AI_21_axb_Step-5.wav","S3","21","axb","5","MI","CN","S3-CN","0","0","true"
"null","","fixation","html-keyboard-response","48","205457","0.0-8.0-0.4","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style='width:60%;'><img src=""resources/images/CN_flag_100x52.jpg"" style=""width:100px;height:52px;opacity:0.35;""> <br> <br> <p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4049","","test","audio-keyboard-response","49","209511","0.0-8.0-1.4","6057ad5148a5426678860207","condC","","resources/audio/wordStim/S3_AI_22_axb_Step-5.wav","49","","","","","","resources/audio/wordStim/S3_AI_22_axb_Step-5.wav","S3","22","axb","5","MI","CN","S3-CN","0","1","false"
"null","","fixation","html-keyboard-response","50","210536","0.0-8.0-0.5","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style='width:60%;'><img src=""resources/images/CN_flag_100x52.jpg"" style=""width:100px;height:52px;opacity:0.35;""> <br> <br> <p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3881","","test","audio-keyboard-response","51","214425","0.0-8.0-1.5","6057ad5148a5426678860207","condC","","resources/audio/wordStim/S3_AI_30_bxa_Step-3.wav","49","","","","","","resources/audio/wordStim/S3_AI_30_bxa_Step-3.wav","S3","30","bxa","3","MI","CN","S3-CN","1","1","true"
"null","","fixation","html-keyboard-response","52","215437","0.0-8.0-0.6","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style='width:60%;'><img src=""resources/images/CN_flag_100x52.jpg"" style=""width:100px;height:52px;opacity:0.35;""> <br> <br> <p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3808","","test","audio-keyboard-response","53","219253","0.0-8.0-1.6","6057ad5148a5426678860207","condC","","resources/audio/wordStim/S3_AI_30_axb_Step-2.wav","49","","","","","","resources/audio/wordStim/S3_AI_30_axb_Step-2.wav","S3","30","axb","2","MI","CN","S3-CN","0","1","false"
"null","","fixation","html-keyboard-response","54","220266","0.0-8.0-0.7","6057ad5148a5426678860207","condC","","<div class=""vertical-center"" style='width:60%;'><img src=""resources/images/CN_flag_100x52.jpg"" style=""width:100px;height:52px;opacity:0.35;""> <br> <br> <p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
