"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"13700.949999969453","micr.axb.consent.html","consent","external-html","0","13747","0.0-0.0","5ef3d5382337cd17ee7e88cc","condA","","","","","","","","","","","","","","","","","","",""
"47817.09999998566","","instructions","instructions","1","61565","0.0-1.0","5ef3d5382337cd17ee7e88cc","condA","[{""page_index"":0,""viewing_time"":26631.82000000961},{""page_index"":1,""viewing_time"":15018.674999999348},{""page_index"":2,""viewing_time"":6165.319999970961}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","62067","0.0-2.0-0.0","5ef3d5382337cd17ee7e88cc","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4618.2799999951385","","tonetest","audio-button-response","3","66689","0.0-2.0-1.0","5ef3d5382337cd17ee7e88cc","condA","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","67191","0.0-2.0-0.1","5ef3d5382337cd17ee7e88cc","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4436.924999987241","","tonetest","audio-button-response","5","71631","0.0-2.0-1.1","5ef3d5382337cd17ee7e88cc","condA","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","72133","0.0-2.0-0.2","5ef3d5382337cd17ee7e88cc","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4486.2750000320375","","tonetest","audio-button-response","7","76622","0.0-2.0-1.2","5ef3d5382337cd17ee7e88cc","condA","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","77124","0.0-2.0-0.3","5ef3d5382337cd17ee7e88cc","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3828.7700000219047","","tonetest","audio-button-response","9","80956","0.0-2.0-1.3","5ef3d5382337cd17ee7e88cc","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","81458","0.0-2.0-0.4","5ef3d5382337cd17ee7e88cc","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4118.605000025127","","tonetest","audio-button-response","11","85580","0.0-2.0-1.4","5ef3d5382337cd17ee7e88cc","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","86082","0.0-2.0-0.5","5ef3d5382337cd17ee7e88cc","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4568.960000004154","","tonetest","audio-button-response","13","90652","0.0-2.0-1.5","5ef3d5382337cd17ee7e88cc","condA","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"3395.7749999826774","","instructions","html-keyboard-response","14","94050","0.0-3.0","5ef3d5382337cd17ee7e88cc","condA","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","98314","0.0-4.0","5ef3d5382337cd17ee7e88cc","condA","","","","","","","true","","","","","","","","","","","",""
"37147.30500004953","","instructions","instructions","16","135463","0.0-5.0","5ef3d5382337cd17ee7e88cc","condA","[{""page_index"":0,""viewing_time"":37147.050000028685}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","135965","0.0-6.0-0.0","5ef3d5382337cd17ee7e88cc","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"9011","","practice","audio-keyboard-response","18","145311","0.0-6.0-1.0","5ef3d5382337cd17ee7e88cc","condA","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
