"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"20919.54999999996","micr.axb.consent.html","consent","external-html","0","20957","0.0-0.0","5ef4b8cf1f15df0ae9c7a706","condA","","","","","","","","","","","","","","","","","","",""
"28276.24999999995","","instructions","instructions","1","49237","0.0-1.0","5ef4b8cf1f15df0ae9c7a706","condA","[{""page_index"":0,""viewing_time"":9439.244999999974},{""page_index"":1,""viewing_time"":8600.360000000022},{""page_index"":2,""viewing_time"":10236.030000000028}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","49739","0.0-2.0-0.0","5ef4b8cf1f15df0ae9c7a706","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4872.979999999989","","tonetest","audio-button-response","3","54614","0.0-2.0-1.0","5ef4b8cf1f15df0ae9c7a706","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","55116","0.0-2.0-0.1","5ef4b8cf1f15df0ae9c7a706","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4287.820000000014","","tonetest","audio-button-response","5","59404","0.0-2.0-1.1","5ef4b8cf1f15df0ae9c7a706","condA","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","59906","0.0-2.0-0.2","5ef4b8cf1f15df0ae9c7a706","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4243.074999999975","","tonetest","audio-button-response","7","64150","0.0-2.0-1.2","5ef4b8cf1f15df0ae9c7a706","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","64651","0.0-2.0-0.3","5ef4b8cf1f15df0ae9c7a706","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4165.705000000016","","tonetest","audio-button-response","9","68818","0.0-2.0-1.3","5ef4b8cf1f15df0ae9c7a706","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","69320","0.0-2.0-0.4","5ef4b8cf1f15df0ae9c7a706","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4123.915000000008","","tonetest","audio-button-response","11","73445","0.0-2.0-1.4","5ef4b8cf1f15df0ae9c7a706","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
