"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"21966.54000000126","micr.axb.consent.html","consent","external-html","0","22011","0.0-0.0","5f49398df2148f337324ecf9","condA","","","","","","","","","","","","","","","","","","",""
"36162.24499999953","","instructions","instructions","1","58174","0.0-1.0","5f49398df2148f337324ecf9","condA","[{""page_index"":0,""viewing_time"":10372.765000000072},{""page_index"":1,""viewing_time"":15256.405000000086},{""page_index"":2,""viewing_time"":10532.20500000316}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","58678","0.0-2.0-0.0","5f49398df2148f337324ecf9","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5932.779999995546","","tonetest","audio-button-response","3","64616","0.0-2.0-1.0","5f49398df2148f337324ecf9","condA","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","65119","0.0-2.0-0.1","5f49398df2148f337324ecf9","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4344.154999998864","","tonetest","audio-button-response","5","69466","0.0-2.0-1.1","5f49398df2148f337324ecf9","condA","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","69967","0.0-2.0-0.2","5f49398df2148f337324ecf9","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4144.479999995383","","tonetest","audio-button-response","7","74116","0.0-2.0-1.2","5f49398df2148f337324ecf9","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","74617","0.0-2.0-0.3","5f49398df2148f337324ecf9","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4378.834999995888","","tonetest","audio-button-response","9","79000","0.0-2.0-1.3","5f49398df2148f337324ecf9","condA","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","79501","0.0-2.0-0.4","5f49398df2148f337324ecf9","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4147.539999998116","","tonetest","audio-button-response","11","83652","0.0-2.0-1.4","5f49398df2148f337324ecf9","condA","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","84154","0.0-2.0-0.5","5f49398df2148f337324ecf9","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3828.0050000030315","","tonetest","audio-button-response","13","87986","0.0-2.0-1.5","5f49398df2148f337324ecf9","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"6022.559999997611","","instructions","html-keyboard-response","14","94011","0.0-3.0","5f49398df2148f337324ecf9","condA","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","99406","0.0-4.0","5f49398df2148f337324ecf9","condA","","","","","","","true","","","","","","","","","","","",""
"30987.090000002354","","instructions","instructions","16","130395","0.0-5.0","5f49398df2148f337324ecf9","condA","[{""page_index"":0,""viewing_time"":30986.510000002454}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","130900","0.0-6.0-0.0","5f49398df2148f337324ecf9","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"17000","","practice","audio-keyboard-response","18","148537","0.0-6.0-1.0","5f49398df2148f337324ecf9","condA","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","149541","0.0-6.0-0.1","5f49398df2148f337324ecf9","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3712","","practice","audio-keyboard-response","20","153255","0.0-6.0-1.1","5f49398df2148f337324ecf9","condA","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","154260","0.0-6.0-0.2","5f49398df2148f337324ecf9","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4141","","practice","audio-keyboard-response","22","158407","0.0-6.0-1.2","5f49398df2148f337324ecf9","condA","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","23","159411","0.0-6.0-0.3","5f49398df2148f337324ecf9","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4520","","practice","audio-keyboard-response","24","163935","0.0-6.0-1.3","5f49398df2148f337324ecf9","condA","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"1810.3300000002491","","instructions","instructions","25","166248","0.0-7.0","5f49398df2148f337324ecf9","condA","[{""page_index"":0,""viewing_time"":1809.9749999964843}]","","","","","","","","","","","","","","","","","",""
"3332.4399999983143","","","html-keyboard-response","26","169583","0.0-8.0","5f49398df2148f337324ecf9","condA","","<div class=""vertical-center""><img src=""resources/images/US_face_a.png"" style=""width:450px;height:300px;""><p>This is the speaker you're about to hear. She is from Detroit, Michigan.</p><p> <br> <i>Press SPACE to continue.</i></p></div>","32","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","27","170102","0.0-9.0-0.0","5f49398df2148f337324ecf9","condA","","<div class=""vertical-center"" style='width:60%;'><img src=""resources/images/US_flag_100x52.jpg"" style=""width:100px;height:52px;opacity:0.35;""> <br> <br> <p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3781","","test","audio-keyboard-response","28","173887","0.0-9.0-1.0","5f49398df2148f337324ecf9","condA","","resources/audio/wordStim/S3_AU_20_bxa_Step-7.wav","48","","","","","","resources/audio/wordStim/S3_AU_20_bxa_Step-7.wav","S3","20","bxa","7","MI","MI","S3-MI","1","0","false"
