"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"8491.159999999581","micr.axb.consent.html","consent","external-html","0","8995","0.0-0.0","5f498900c3368e3df50ea6ac","condA","","","","","","","","","","","","","","","","","","",""
"48092.335000000276","","instructions","instructions","1","57091","0.0-1.0","5f498900c3368e3df50ea6ac","condA","[{""page_index"":0,""viewing_time"":18317.51499999973},{""page_index"":1,""viewing_time"":12644.720000000234},{""page_index"":2,""viewing_time"":17129.265000000487}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","57594","0.0-2.0-0.0","5f498900c3368e3df50ea6ac","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5210.759999999929","","tonetest","audio-button-response","3","62810","0.0-2.0-1.0","5f498900c3368e3df50ea6ac","condA","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","63314","0.0-2.0-0.1","5f498900c3368e3df50ea6ac","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4388.619999999733","","tonetest","audio-button-response","5","67705","0.0-2.0-1.1","5f498900c3368e3df50ea6ac","condA","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","68207","0.0-2.0-0.2","5f498900c3368e3df50ea6ac","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5272.98500000051","","tonetest","audio-button-response","7","73484","0.0-2.0-1.2","5f498900c3368e3df50ea6ac","condA","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","73985","0.0-2.0-0.3","5f498900c3368e3df50ea6ac","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3636.195000000036","","tonetest","audio-button-response","9","77625","0.0-2.0-1.3","5f498900c3368e3df50ea6ac","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","78126","0.0-2.0-0.4","5f498900c3368e3df50ea6ac","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3874.8500000001513","","tonetest","audio-button-response","11","82005","0.0-2.0-1.4","5f498900c3368e3df50ea6ac","condA","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","82506","0.0-2.0-0.5","5f498900c3368e3df50ea6ac","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3813.919999999591","","tonetest","audio-button-response","13","86324","0.0-2.0-1.5","5f498900c3368e3df50ea6ac","condA","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"6686.310000000041","","instructions","html-keyboard-response","14","93015","0.0-3.0","5f498900c3368e3df50ea6ac","condA","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","96445","0.0-4.0","5f498900c3368e3df50ea6ac","condA","","","","","","","true","","","","","","","","","","","",""
"68639.54999999987","","instructions","instructions","16","165086","0.0-5.0","5f498900c3368e3df50ea6ac","condA","[{""page_index"":0,""viewing_time"":68639.185}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","165588","0.0-6.0-0.0","5f498900c3368e3df50ea6ac","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"5851","","practice","audio-keyboard-response","18","171733","0.0-6.0-1.0","5f498900c3368e3df50ea6ac","condA","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","172735","0.0-6.0-0.1","5f498900c3368e3df50ea6ac","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"5817","","practice","audio-keyboard-response","20","178546","0.0-6.0-1.1","5f498900c3368e3df50ea6ac","condA","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","179548","0.0-6.0-0.2","5f498900c3368e3df50ea6ac","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3669","","practice","audio-keyboard-response","22","183214","0.0-6.0-1.2","5f498900c3368e3df50ea6ac","condA","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","23","184216","0.0-6.0-0.3","5f498900c3368e3df50ea6ac","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3669","","practice","audio-keyboard-response","24","187883","0.0-6.0-1.3","5f498900c3368e3df50ea6ac","condA","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","48","","","","","","","","","","","","","","","",""
"2282.9899999996996","","instructions","instructions","25","190668","0.0-7.0","5f498900c3368e3df50ea6ac","condA","[{""page_index"":0,""viewing_time"":2282.704999999638}]","","","","","","","","","","","","","","","","","",""
