"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"12861.274999988382","micr.axb.consent.html","consent","external-html","0","13194","0.0-0.0","5f5065f8c62ac41e03484ba1","condA","","","","","","","","","","","","","","","","","","",""
"33858.60999999568","","instructions","instructions","1","47054","0.0-1.0","5f5065f8c62ac41e03484ba1","condA","[{""page_index"":0,""viewing_time"":1734.4100000045728},{""page_index"":1,""viewing_time"":11683.479999992414},{""page_index"":2,""viewing_time"":20439.910000000964}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","47557","0.0-2.0-0.0","5f5065f8c62ac41e03484ba1","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4676.319999998668","","tonetest","audio-button-response","3","52235","0.0-2.0-1.0","5f5065f8c62ac41e03484ba1","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","52742","0.0-2.0-0.1","5f5065f8c62ac41e03484ba1","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4932.815000007395","","tonetest","audio-button-response","5","57676","0.0-2.0-1.1","5f5065f8c62ac41e03484ba1","condA","","../../src/audio/toneTest_5.wav","","2","0","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","58177","0.0-2.0-0.2","5f5065f8c62ac41e03484ba1","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5549.224999995204","","tonetest","audio-button-response","7","63727","0.0-2.0-1.2","5f5065f8c62ac41e03484ba1","condA","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","64241","0.0-2.0-0.3","5f5065f8c62ac41e03484ba1","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3989.3149999988964","","tonetest","audio-button-response","9","68232","0.0-2.0-1.3","5f5065f8c62ac41e03484ba1","condA","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","68740","0.0-2.0-0.4","5f5065f8c62ac41e03484ba1","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4006.695000003674","","tonetest","audio-button-response","11","72748","0.0-2.0-1.4","5f5065f8c62ac41e03484ba1","condA","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","73249","0.0-2.0-0.5","5f5065f8c62ac41e03484ba1","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4255.439999993541","","tonetest","audio-button-response","13","77506","0.0-2.0-1.5","5f5065f8c62ac41e03484ba1","condA","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"6686.020000008284","","instructions","html-keyboard-response","14","84193","0.0-3.0","5f5065f8c62ac41e03484ba1","condA","","<div class=""vertical-center""><p><b>Your score was 5/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","87364","0.0-4.0","5f5065f8c62ac41e03484ba1","condA","","","","","","","true","","","","","","","","","","","",""
"33294.98500000045","","instructions","instructions","16","120660","0.0-5.0","5f5065f8c62ac41e03484ba1","condA","[{""page_index"":0,""viewing_time"":33294.79499999434}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","121161","0.0-6.0-0.0","5f5065f8c62ac41e03484ba1","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"9600","","practice","audio-keyboard-response","18","130787","0.0-6.0-1.0","5f5065f8c62ac41e03484ba1","condA","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","131806","0.0-6.0-0.1","5f5065f8c62ac41e03484ba1","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"2600","","practice","audio-keyboard-response","20","134412","0.0-6.0-1.1","5f5065f8c62ac41e03484ba1","condA","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","135442","0.0-6.0-0.2","5f5065f8c62ac41e03484ba1","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
