"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"220914.73000000406","micr.axb.consent.html","consent","external-html","0","228105","0.0-0.0","5c904569bc1a950016fbfc91","condB","","","","","","","","","","","","","","","","","","",""
"36523.305000009714","","instructions","instructions","1","264631","0.0-1.0","5c904569bc1a950016fbfc91","condB","[{""page_index"":0,""viewing_time"":17540.935000011814},{""page_index"":1,""viewing_time"":8987.71499999566},{""page_index"":2,""viewing_time"":9993.759999997565}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","265136","0.0-2.0-0.0","5c904569bc1a950016fbfc91","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"6134.189999997034","","tonetest","audio-button-response","3","271283","0.0-2.0-1.0","5c904569bc1a950016fbfc91","condB","","../../src/audio/toneTest_2.wav","","2","1","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","271786","0.0-2.0-0.1","5c904569bc1a950016fbfc91","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"8007.505000001402","","tonetest","audio-button-response","5","279794","0.0-2.0-1.1","5c904569bc1a950016fbfc91","condB","","../../src/audio/toneTest_4.wav","","2","1","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","280299","0.0-2.0-0.2","5c904569bc1a950016fbfc91","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5463.495000003604","","tonetest","audio-button-response","7","285765","0.0-2.0-1.2","5c904569bc1a950016fbfc91","condB","","../../src/audio/toneTest_2.wav","","2","1","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","286268","0.0-2.0-0.3","5c904569bc1a950016fbfc91","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"10817.095000005793","","tonetest","audio-button-response","9","297086","0.0-2.0-1.3","5c904569bc1a950016fbfc91","condB","","../../src/audio/toneTest_1.wav","","1","2","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","297591","0.0-2.0-0.4","5c904569bc1a950016fbfc91","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"26512.06999999704","","tonetest","audio-button-response","11","324104","0.0-2.0-1.4","5c904569bc1a950016fbfc91","condB","","../../src/audio/toneTest_5.wav","","2","0","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","324607","0.0-2.0-0.5","5c904569bc1a950016fbfc91","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5211.639999994077","","tonetest","audio-button-response","13","329820","0.0-2.0-1.5","5c904569bc1a950016fbfc91","condB","","../../src/audio/toneTest_5.wav","","2","0","false","","","","","","","","","","","","",""
"32134.1650000104","","instructions","html-keyboard-response","14","361956","0.0-3.0","5c904569bc1a950016fbfc91","condB","","<div class=""vertical-center""><p><b>Your score was 0/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","364622","0.0-4.0","5c904569bc1a950016fbfc91","condB","","","","","","","true","","","","","","","","","","","",""
"80814.38999999955","","instructions","instructions","16","445436","0.0-5.0","5c904569bc1a950016fbfc91","condB","[{""page_index"":0,""viewing_time"":80814.2200000002}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","445939","0.0-6.0-0.0","5c904569bc1a950016fbfc91","condB","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4069","","practice","audio-keyboard-response","18","450005","0.0-6.0-1.0","5c904569bc1a950016fbfc91","condB","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","451008","0.0-6.0-0.1","5c904569bc1a950016fbfc91","condB","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"5985","","practice","audio-keyboard-response","20","456994","0.0-6.0-1.1","5c904569bc1a950016fbfc91","condB","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","457998","0.0-6.0-0.2","5c904569bc1a950016fbfc91","condB","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3622","","practice","audio-keyboard-response","22","461619","0.0-6.0-1.2","5c904569bc1a950016fbfc91","condB","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","23","462624","0.0-6.0-0.3","5c904569bc1a950016fbfc91","condB","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4481","","practice","audio-keyboard-response","24","467106","0.0-6.0-1.3","5c904569bc1a950016fbfc91","condB","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","48","","","","","","","","","","","","","","","",""
"2289.7050000028685","","instructions","instructions","25","469899","0.0-7.0","5c904569bc1a950016fbfc91","condB","[{""page_index"":0,""viewing_time"":2289.4650000089314}]","","","","","","","","","","","","","","","","","",""
"3286.820000008447","","","html-keyboard-response","26","473187","0.0-8.0","5c904569bc1a950016fbfc91","condB","","<div class=""vertical-center""><img src=""resources/images/CN_face_b.png"" style=""width:450px;height:300px;""><p>This is the speaker you're about to hear. She is from Vancouver, Canada.</p><p> <br> <i>Press SPACE to continue.</i></p></div>","32","","","","","","","","","","","","","","","",""
