"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"59505.334999994375","micr.axb.consent.html","consent","external-html","0","59595","0.0-0.0","5e41a040ea48190420f09d26","condB","","","","","","","","","","","","","","","","","","",""
"76123.65499997395","","instructions","instructions","1","135725","0.0-1.0","5e41a040ea48190420f09d26","condB","[{""page_index"":0,""viewing_time"":26718.859999993583},{""page_index"":1,""viewing_time"":15021.309999981895},{""page_index"":2,""viewing_time"":34382.53000000259}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","136227","0.0-2.0-0.0","5e41a040ea48190420f09d26","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4816.574999975273","","tonetest","audio-button-response","3","141091","0.0-2.0-1.0","5e41a040ea48190420f09d26","condB","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","141594","0.0-2.0-0.1","5e41a040ea48190420f09d26","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5144.1650000051595","","tonetest","audio-button-response","5","146739","0.0-2.0-1.1","5e41a040ea48190420f09d26","condB","","../../src/audio/toneTest_3.wav","","0","2","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","147241","0.0-2.0-0.2","5e41a040ea48190420f09d26","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4426.574999990407","","tonetest","audio-button-response","7","151669","0.0-2.0-1.2","5e41a040ea48190420f09d26","condB","","../../src/audio/toneTest_4.wav","","0","1","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","152171","0.0-2.0-0.3","5e41a040ea48190420f09d26","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4471.965000004275","","tonetest","audio-button-response","9","156645","0.0-2.0-1.3","5e41a040ea48190420f09d26","condB","","../../src/audio/toneTest_4.wav","","0","1","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","157147","0.0-2.0-0.4","5e41a040ea48190420f09d26","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5559.9550000042655","","tonetest","audio-button-response","11","162709","0.0-2.0-1.4","5e41a040ea48190420f09d26","condB","","../../src/audio/toneTest_4.wav","","0","1","false","","","","","","","","","","","","",""
