"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"36855","micr.axb.consent.html","consent","external-html","0","37647","0.0-0.0","5ef8c7d9b630670523229373","condB","","","","","","","","","","","","","","","","","","",""
"107705.00000000001","","instructions","instructions","1","145350","0.0-1.0","5ef8c7d9b630670523229373","condB","[{""page_index"":0,""viewing_time"":5397},{""page_index"":1,""viewing_time"":31935},{""page_index"":2,""viewing_time"":46312.000000000015},{""page_index"":1,""viewing_time"":72},{""page_index"":0,""viewing_time"":6350},{""page_index"":1,""viewing_time"":14438.99999999997},{""page_index"":2,""viewing_time"":3199.000000000029}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","145853","0.0-2.0-0.0","5ef8c7d9b630670523229373","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"7757","","tonetest","audio-button-response","3","153614","0.0-2.0-1.0","5ef8c7d9b630670523229373","condB","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","154117","0.0-2.0-0.1","5ef8c7d9b630670523229373","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"7359.000000000029","","tonetest","audio-button-response","5","161478","0.0-2.0-1.1","5ef8c7d9b630670523229373","condB","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","161980","0.0-2.0-0.2","5ef8c7d9b630670523229373","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4592","","tonetest","audio-button-response","7","166574","0.0-2.0-1.2","5ef8c7d9b630670523229373","condB","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","167076","0.0-2.0-0.3","5ef8c7d9b630670523229373","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4520.000000000029","","tonetest","audio-button-response","9","171598","0.0-2.0-1.3","5ef8c7d9b630670523229373","condB","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","172101","0.0-2.0-0.4","5ef8c7d9b630670523229373","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4543","","tonetest","audio-button-response","11","176645","0.0-2.0-1.4","5ef8c7d9b630670523229373","condB","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","177147","0.0-2.0-0.5","5ef8c7d9b630670523229373","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4273.000000000029","","tonetest","audio-button-response","13","181421","0.0-2.0-1.5","5ef8c7d9b630670523229373","condB","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"8307","","instructions","html-keyboard-response","14","189730","0.0-3.0","5ef8c7d9b630670523229373","condB","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","194965","0.0-4.0","5ef8c7d9b630670523229373","condB","","","","","","","true","","","","","","","","","","","",""
"107926.99999999997","","instructions","instructions","16","302891","0.0-5.0","5ef8c7d9b630670523229373","condB","[{""page_index"":0,""viewing_time"":107926.99999999997}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","303392","0.0-6.0-0.0","5ef8c7d9b630670523229373","condB","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"15061","","practice","audio-keyboard-response","18","318454","0.0-6.0-1.0","5ef8c7d9b630670523229373","condB","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","319456","0.0-6.0-0.1","5ef8c7d9b630670523229373","condB","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"7509","","practice","audio-keyboard-response","20","326979","0.0-6.0-1.1","5ef8c7d9b630670523229373","condB","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","327981","0.0-6.0-0.2","5ef8c7d9b630670523229373","condB","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"12373","","practice","audio-keyboard-response","22","340324","0.0-6.0-1.2","5ef8c7d9b630670523229373","condB","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","23","341329","0.0-6.0-0.3","5ef8c7d9b630670523229373","condB","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4309","","practice","audio-keyboard-response","24","345646","0.0-6.0-1.3","5ef8c7d9b630670523229373","condB","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","48","","","","","","","","","","","","","","","",""
"32490","","instructions","instructions","25","378636","0.0-7.0","5ef8c7d9b630670523229373","condB","[{""page_index"":0,""viewing_time"":32490}]","","","","","","","","","","","","","","","","","",""
"17039","","","html-keyboard-response","26","395676","0.0-8.0","5ef8c7d9b630670523229373","condB","","<div class=""vertical-center""><img src=""resources/images/CN_face_b.png"" style=""width:450px;height:300px;""><p>This is the speaker you're about to hear. She is from Vancouver, Canada.</p><p> <br> <i>Press SPACE to continue.</i></p></div>","32","","","","","","","","","","","","","","","",""
