"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"64039.44500000216","micr.axb.consent.html","consent","external-html","0","64174","0.0-0.0","5f4a4da1575d605c43bef871","condB","","","","","","","","","","","","","","","","","","",""
"31584.109999996144","","instructions","instructions","1","95765","0.0-1.0","5f4a4da1575d605c43bef871","condB","[{""page_index"":0,""viewing_time"":20116.414999996778},{""page_index"":1,""viewing_time"":2838.260000004084},{""page_index"":2,""viewing_time"":8627.269999997225}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","96285","0.0-2.0-0.0","5f4a4da1575d605c43bef871","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"8741.769999993267","","tonetest","audio-button-response","3","105045","0.0-2.0-1.0","5f4a4da1575d605c43bef871","condB","","../../src/audio/toneTest_4.wav","","0","1","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","105558","0.0-2.0-0.1","5f4a4da1575d605c43bef871","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3645.4150000063237","","tonetest","audio-button-response","5","109207","0.0-2.0-1.1","5f4a4da1575d605c43bef871","condB","","../../src/audio/toneTest_5.wav","","1","0","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","109709","0.0-2.0-0.2","5f4a4da1575d605c43bef871","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3132.020000004559","","tonetest","audio-button-response","7","112845","0.0-2.0-1.2","5f4a4da1575d605c43bef871","condB","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","113361","0.0-2.0-0.3","5f4a4da1575d605c43bef871","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"7816.155000007711","","tonetest","audio-button-response","9","121183","0.0-2.0-1.3","5f4a4da1575d605c43bef871","condB","","../../src/audio/toneTest_1.wav","","0","2","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","121694","0.0-2.0-0.4","5f4a4da1575d605c43bef871","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"11257.209999996121","","tonetest","audio-button-response","11","132956","0.0-2.0-1.4","5f4a4da1575d605c43bef871","condB","","../../src/audio/toneTest_4.wav","","2","1","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","133458","0.0-2.0-0.5","5f4a4da1575d605c43bef871","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5283.204999999725","","tonetest","audio-button-response","13","138746","0.0-2.0-1.5","5f4a4da1575d605c43bef871","condB","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"11606.190000005881","","instructions","html-keyboard-response","14","150356","0.0-3.0","5f4a4da1575d605c43bef871","condB","","<div class=""vertical-center""><p><b>Your score was 2/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","157667","0.0-4.0","5f4a4da1575d605c43bef871","condB","","","","","","","true","","","","","","","","","","","",""
"9480.955000006361","","instructions","instructions","16","167152","0.0-5.0","5f4a4da1575d605c43bef871","condB","[{""page_index"":0,""viewing_time"":9480.444999993779}]","","","","","","","","","","","","","","","","","",""
