"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"70133.21499997983","micr.axb.consent.html","consent","external-html","0","70199","0.0-0.0","5f5353ff017c5965165df065","condB","","","","","","","","","","","","","","","","","","",""
"168206.5650000004","","instructions","instructions","1","238407","0.0-1.0","5f5353ff017c5965165df065","condB","[{""page_index"":0,""viewing_time"":44866.325000009965},{""page_index"":1,""viewing_time"":35190.99000003189},{""page_index"":2,""viewing_time"":88148.70999997947}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","238909","0.0-2.0-0.0","5f5353ff017c5965165df065","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"6816.569999966305","","tonetest","audio-button-response","3","245731","0.0-2.0-1.0","5f5353ff017c5965165df065","condB","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","246235","0.0-2.0-0.1","5f5353ff017c5965165df065","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5141.9650000170805","","tonetest","audio-button-response","5","251380","0.0-2.0-1.1","5f5353ff017c5965165df065","condB","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","251888","0.0-2.0-0.2","5f5353ff017c5965165df065","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4723.829999973532","","tonetest","audio-button-response","7","256614","0.0-2.0-1.2","5f5353ff017c5965165df065","condB","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","257117","0.0-2.0-0.3","5f5353ff017c5965165df065","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4757.830000016838","","tonetest","audio-button-response","9","261876","0.0-2.0-1.3","5f5353ff017c5965165df065","condB","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","262389","0.0-2.0-0.4","5f5353ff017c5965165df065","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4528.845000022557","","tonetest","audio-button-response","11","266921","0.0-2.0-1.4","5f5353ff017c5965165df065","condB","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","267438","0.0-2.0-0.5","5f5353ff017c5965165df065","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4569.55499999458","","tonetest","audio-button-response","13","272011","0.0-2.0-1.5","5f5353ff017c5965165df065","condB","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"11816.859999962617","","instructions","html-keyboard-response","14","283830","0.0-3.0","5f5353ff017c5965165df065","condB","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","","","",""
