"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"18897","micr.axb.consent.html","consent","external-html","0","18935","0.0-0.0","5c284e0970d93a0001211e16","condC","","","","","","","","","","","","","","","","","","",""
"509117","","instructions","instructions","1","528055","0.0-1.0","5c284e0970d93a0001211e16","condC","[{""page_index"":0,""viewing_time"":479396},{""page_index"":1,""viewing_time"":10559},{""page_index"":2,""viewing_time"":19160}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","528569","0.0-2.0-0.0","5c284e0970d93a0001211e16","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"6217","","tonetest","audio-button-response","3","534790","0.0-2.0-1.0","5c284e0970d93a0001211e16","condC","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","535305","0.0-2.0-0.1","5c284e0970d93a0001211e16","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5178","","tonetest","audio-button-response","5","540485","0.0-2.0-1.1","5c284e0970d93a0001211e16","condC","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","540987","0.0-2.0-0.2","5c284e0970d93a0001211e16","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5386","","tonetest","audio-button-response","7","546374","0.0-2.0-1.2","5c284e0970d93a0001211e16","condC","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","546885","0.0-2.0-0.3","5c284e0970d93a0001211e16","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4720","","tonetest","audio-button-response","9","551606","0.0-2.0-1.3","5c284e0970d93a0001211e16","condC","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","552117","0.0-2.0-0.4","5c284e0970d93a0001211e16","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4680","","tonetest","audio-button-response","11","556797","0.0-2.0-1.4","5c284e0970d93a0001211e16","condC","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","557315","0.0-2.0-0.5","5c284e0970d93a0001211e16","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5161","","tonetest","audio-button-response","13","562477","0.0-2.0-1.5","5c284e0970d93a0001211e16","condC","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
