"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"8553.955000000315","micr.axb.consent.html","consent","external-html","0","8696","0.0-0.0","5ec44da606cb7931f04a35e9","condC","","","","","","","","","","","","","","","","","","",""
"48106.244999999944","","instructions","instructions","1","56803","0.0-1.0","5ec44da606cb7931f04a35e9","condC","[{""page_index"":0,""viewing_time"":24775.024999999914},{""page_index"":1,""viewing_time"":11066.439999999602},{""page_index"":2,""viewing_time"":12264.110000000073}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","57305","0.0-2.0-0.0","5ec44da606cb7931f04a35e9","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4742.659999999887","","tonetest","audio-button-response","3","62051","0.0-2.0-1.0","5ec44da606cb7931f04a35e9","condC","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","62557","0.0-2.0-0.1","5ec44da606cb7931f04a35e9","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4689.919999999809","","tonetest","audio-button-response","5","67248","0.0-2.0-1.1","5ec44da606cb7931f04a35e9","condC","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","67752","0.0-2.0-0.2","5ec44da606cb7931f04a35e9","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4554.010000000737","","tonetest","audio-button-response","7","72308","0.0-2.0-1.2","5ec44da606cb7931f04a35e9","condC","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","72814","0.0-2.0-0.3","5ec44da606cb7931f04a35e9","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4420.294999999896","","tonetest","audio-button-response","9","77236","0.0-2.0-1.3","5ec44da606cb7931f04a35e9","condC","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
