"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"23870.43","micr.axb.consent.html","consent","external-html","0","24277","0.0-0.0","5f12fa2b44b6a42a83519a79","condC","","","","","","","","","","","","","","","","","","",""
"39066.985000000015","","instructions","instructions","1","63514","0.0-1.0","5f12fa2b44b6a42a83519a79","condC","[{""page_index"":0,""viewing_time"":19758.160000000003},{""page_index"":1,""viewing_time"":8159.595000000001},{""page_index"":2,""viewing_time"":11147.485000000015}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","64028","0.0-2.0-0.0","5f12fa2b44b6a42a83519a79","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"18885.21500000001","","tonetest","audio-button-response","3","82934","0.0-2.0-1.0","5f12fa2b44b6a42a83519a79","condC","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","83456","0.0-2.0-0.1","5f12fa2b44b6a42a83519a79","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"8817.699999999997","","tonetest","audio-button-response","5","92277","0.0-2.0-1.1","5f12fa2b44b6a42a83519a79","condC","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","92780","0.0-2.0-0.2","5f12fa2b44b6a42a83519a79","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"8204.050000000003","","tonetest","audio-button-response","7","100988","0.0-2.0-1.2","5f12fa2b44b6a42a83519a79","condC","","../../src/audio/toneTest_1.wav","","0","2","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","101493","0.0-2.0-0.3","5f12fa2b44b6a42a83519a79","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5089.794999999984","","tonetest","audio-button-response","9","106591","0.0-2.0-1.3","5f12fa2b44b6a42a83519a79","condC","","../../src/audio/toneTest_2.wav","","2","1","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","107096","0.0-2.0-0.4","5f12fa2b44b6a42a83519a79","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"7601.535000000018","","tonetest","audio-button-response","11","114706","0.0-2.0-1.4","5f12fa2b44b6a42a83519a79","condC","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","115212","0.0-2.0-0.5","5f12fa2b44b6a42a83519a79","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4185.744999999995","","tonetest","audio-button-response","13","119401","0.0-2.0-1.5","5f12fa2b44b6a42a83519a79","condC","","../../src/audio/toneTest_5.wav","","2","0","false","","","","","","","","","","","","",""
