"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"72184.52499999967","micr.axb.consent.html","consent","external-html","0","72223","0.0-0.0","5f4b0723acc80f6db883305f","condC","","","","","","","","","","","","","","","","","","",""
"68925.76499999996","","instructions","instructions","1","141153","0.0-1.0","5f4b0723acc80f6db883305f","condC","[{""page_index"":0,""viewing_time"":13604.485000000292},{""page_index"":1,""viewing_time"":34084.57999999974},{""page_index"":2,""viewing_time"":21235.999999999884}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","141655","0.0-2.0-0.0","5f4b0723acc80f6db883305f","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5077.404999999999","","tonetest","audio-button-response","3","146734","0.0-2.0-1.0","5f4b0723acc80f6db883305f","condC","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","147236","0.0-2.0-0.1","5f4b0723acc80f6db883305f","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4501.954999999725","","tonetest","audio-button-response","5","151739","0.0-2.0-1.1","5f4b0723acc80f6db883305f","condC","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","152240","0.0-2.0-0.2","5f4b0723acc80f6db883305f","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4251.2549999996845","","tonetest","audio-button-response","7","156493","0.0-2.0-1.2","5f4b0723acc80f6db883305f","condC","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","156994","0.0-2.0-0.3","5f4b0723acc80f6db883305f","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3977.6899999997113","","tonetest","audio-button-response","9","160973","0.0-2.0-1.3","5f4b0723acc80f6db883305f","condC","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","161474","0.0-2.0-0.4","5f4b0723acc80f6db883305f","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4182.005000000121","","tonetest","audio-button-response","11","165658","0.0-2.0-1.4","5f4b0723acc80f6db883305f","condC","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","166159","0.0-2.0-0.5","5f4b0723acc80f6db883305f","condC","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"7846.515000000189","","tonetest","audio-button-response","13","174007","0.0-2.0-1.5","5f4b0723acc80f6db883305f","condC","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
