"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"9631.905000016559","micr.axb.consent.html","consent","external-html","0","9956","0.0-0.0","5ebac5b2ae6d130365b0ed08","condD","","","","","","","","","","","","","","","","","","",""
"30042.009999975562","","instructions","instructions","1","40001","0.0-1.0","5ebac5b2ae6d130365b0ed08","condD","[{""page_index"":0,""viewing_time"":3547.179999994114},{""page_index"":1,""viewing_time"":17053.465000004508},{""page_index"":2,""viewing_time"":9439.989999984391}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","40504","0.0-2.0-0.0","5ebac5b2ae6d130365b0ed08","condD","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"7003.495000011753","","tonetest","audio-button-response","3","47513","0.0-2.0-1.0","5ebac5b2ae6d130365b0ed08","condD","","../../src/audio/toneTest_5.wav","","2","0","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","48014","0.0-2.0-0.1","5ebac5b2ae6d130365b0ed08","condD","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4396.074999996927","","tonetest","audio-button-response","5","52412","0.0-2.0-1.1","5ebac5b2ae6d130365b0ed08","condD","","../../src/audio/toneTest_5.wav","","2","0","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","52918","0.0-2.0-0.2","5ebac5b2ae6d130365b0ed08","condD","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4971.340000047348","","tonetest","audio-button-response","7","57892","0.0-2.0-1.2","5ebac5b2ae6d130365b0ed08","condD","","../../src/audio/toneTest_3.wav","","0","2","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","58394","0.0-2.0-0.3","5ebac5b2ae6d130365b0ed08","condD","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4277.935000020079","","tonetest","audio-button-response","9","62674","0.0-2.0-1.3","5ebac5b2ae6d130365b0ed08","condD","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","63177","0.0-2.0-0.4","5ebac5b2ae6d130365b0ed08","condD","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4887.280000024475","","tonetest","audio-button-response","11","68067","0.0-2.0-1.4","5ebac5b2ae6d130365b0ed08","condD","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","68570","0.0-2.0-0.5","5ebac5b2ae6d130365b0ed08","condD","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4119.174999999814","","tonetest","audio-button-response","13","72692","0.0-2.0-1.5","5ebac5b2ae6d130365b0ed08","condD","","../../src/audio/toneTest_5.wav","","2","0","false","","","","","","","","","","","","",""
"86306.86999997124","","instructions","html-keyboard-response","14","159009","0.0-3.0","5ebac5b2ae6d130365b0ed08","condD","","<div class=""vertical-center""><p><b>Your score was 2/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","163195","0.0-4.0","5ebac5b2ae6d130365b0ed08","condD","","","","","","","true","","","","","","","","","","","",""
"16451.195000030566","","instructions","instructions","16","179649","0.0-5.0","5ebac5b2ae6d130365b0ed08","condD","[{""page_index"":0,""viewing_time"":16450.944999989588}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","180151","0.0-6.0-0.0","5ebac5b2ae6d130365b0ed08","condD","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"14495","","practice","audio-keyboard-response","18","195114","0.0-6.0-1.0","5ebac5b2ae6d130365b0ed08","condD","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","196118","0.0-6.0-0.1","5ebac5b2ae6d130365b0ed08","condD","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3129","","practice","audio-keyboard-response","20","199244","0.0-6.0-1.1","5ebac5b2ae6d130365b0ed08","condD","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","200255","0.0-6.0-0.2","5ebac5b2ae6d130365b0ed08","condD","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3872","","practice","audio-keyboard-response","22","204131","0.0-6.0-1.2","5ebac5b2ae6d130365b0ed08","condD","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","23","205135","0.0-6.0-0.3","5ebac5b2ae6d130365b0ed08","condD","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3094","","practice","audio-keyboard-response","24","208228","0.0-6.0-1.3","5ebac5b2ae6d130365b0ed08","condD","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
