"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"120549.83000000005","micr.axb.consent.html","consent","external-html","0","120625","0.0-0.0","5f19fa99263a8c0c22573e08","condD","","","","","","","","","","","","","","","","","","",""
"60111.04000000001","","instructions","instructions","1","180738","0.0-1.0","5f19fa99263a8c0c22573e08","condD","[{""page_index"":0,""viewing_time"":21033.175000000047},{""page_index"":1,""viewing_time"":12768.414999999979},{""page_index"":2,""viewing_time"":2014.1149999999616},{""page_index"":1,""viewing_time"":3081.7799999999697},{""page_index"":2,""viewing_time"":21212.580000000133}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","181241","0.0-2.0-0.0","5f19fa99263a8c0c22573e08","condD","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4610.459999999875","","tonetest","audio-button-response","3","185856","0.0-2.0-1.0","5f19fa99263a8c0c22573e08","condD","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","186359","0.0-2.0-0.1","5f19fa99263a8c0c22573e08","condD","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5345.769999999902","","tonetest","audio-button-response","5","191707","0.0-2.0-1.1","5f19fa99263a8c0c22573e08","condD","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","192209","0.0-2.0-0.2","5f19fa99263a8c0c22573e08","condD","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4366.189999999944","","tonetest","audio-button-response","7","196578","0.0-2.0-1.2","5f19fa99263a8c0c22573e08","condD","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","197080","0.0-2.0-0.3","5f19fa99263a8c0c22573e08","condD","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4308.949999999866","","tonetest","audio-button-response","9","201394","0.0-2.0-1.3","5f19fa99263a8c0c22573e08","condD","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","201895","0.0-2.0-0.4","5f19fa99263a8c0c22573e08","condD","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4418.8300000000745","","tonetest","audio-button-response","11","206316","0.0-2.0-1.4","5f19fa99263a8c0c22573e08","condD","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","206819","0.0-2.0-0.5","5f19fa99263a8c0c22573e08","condD","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4461.330000000104","","tonetest","audio-button-response","13","211284","0.0-2.0-1.5","5f19fa99263a8c0c22573e08","condD","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"9659.980000000127","","instructions","html-keyboard-response","14","220947","0.0-3.0","5f19fa99263a8c0c22573e08","condD","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","225382","0.0-4.0","5f19fa99263a8c0c22573e08","condD","","","","","","","true","","","","","","","","","","","",""
"50769.72999999998","","instructions","instructions","16","276154","0.0-5.0","5f19fa99263a8c0c22573e08","condD","[{""page_index"":0,""viewing_time"":50768.20000000001}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","276657","0.0-6.0-0.0","5f19fa99263a8c0c22573e08","condD","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"20752","","practice","audio-keyboard-response","18","297443","0.0-6.0-1.0","5f19fa99263a8c0c22573e08","condD","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","298449","0.0-6.0-0.1","5f19fa99263a8c0c22573e08","condD","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4651","","practice","audio-keyboard-response","20","303104","0.0-6.0-1.1","5f19fa99263a8c0c22573e08","condD","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","304108","0.0-6.0-0.2","5f19fa99263a8c0c22573e08","condD","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"5131","","practice","audio-keyboard-response","22","309247","0.0-6.0-1.2","5f19fa99263a8c0c22573e08","condD","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","23","310252","0.0-6.0-0.3","5f19fa99263a8c0c22573e08","condD","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3261","","practice","audio-keyboard-response","24","313511","0.0-6.0-1.3","5f19fa99263a8c0c22573e08","condD","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"3323.855000000098","","instructions","instructions","25","317337","0.0-7.0","5f19fa99263a8c0c22573e08","condD","[{""page_index"":0,""viewing_time"":3322.3150000001187}]","","","","","","","","","","","","","","","","","",""
"5137.669999999809","","","html-keyboard-response","26","322480","0.0-8.0","5f19fa99263a8c0c22573e08","condD","","<div class=""vertical-center""><img src=""resources/images/US_face_b.png"" style=""width:450px;height:300px;""><p>This is the speaker you're about to hear. She is from Detroit, Michigan.</p><p> <br> <i>Press SPACE to continue.</i></p></div>","32","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","27","322988","0.0-9.0-0.0","5f19fa99263a8c0c22573e08","condD","","<div class=""vertical-center"" style='width:60%;'><img src=""resources/images/US_flag_100x52.jpg"" style=""width:100px;height:52px;opacity:0.35;""> <br> <br> <p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
