"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"16140.785000000506","micr.axb.consent.html","consent","external-html","0","16189","0.0-0.0","59302683d0003800018f39b0","condE","","","","","","","","","","","","","","","","","","",""
"87459.25999999963","","instructions","instructions","1","103651","0.0-1.0","59302683d0003800018f39b0","condE","[{""page_index"":0,""viewing_time"":65437.00999999964},{""page_index"":1,""viewing_time"":7845.514999999985},{""page_index"":2,""viewing_time"":14174.890000000232}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","104155","0.0-2.0-0.0","59302683d0003800018f39b0","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4408.604999999618","","tonetest","audio-button-response","3","108565","0.0-2.0-1.0","59302683d0003800018f39b0","condE","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","109067","0.0-2.0-0.1","59302683d0003800018f39b0","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4593.22500000053","","tonetest","audio-button-response","5","113663","0.0-2.0-1.1","59302683d0003800018f39b0","condE","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","114165","0.0-2.0-0.2","59302683d0003800018f39b0","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4329.5499999994645","","tonetest","audio-button-response","7","118498","0.0-2.0-1.2","59302683d0003800018f39b0","condE","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","119000","0.0-2.0-0.3","59302683d0003800018f39b0","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4259.610000000073","","tonetest","audio-button-response","9","123263","0.0-2.0-1.3","59302683d0003800018f39b0","condE","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","123766","0.0-2.0-0.4","59302683d0003800018f39b0","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4319.8950000005425","","tonetest","audio-button-response","11","128088","0.0-2.0-1.4","59302683d0003800018f39b0","condE","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","128590","0.0-2.0-0.5","59302683d0003800018f39b0","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4292.174999999581","","tonetest","audio-button-response","13","132884","0.0-2.0-1.5","59302683d0003800018f39b0","condE","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"9085.895000000193","","instructions","html-keyboard-response","14","141974","0.0-3.0","59302683d0003800018f39b0","condE","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","","","",""
