"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"51674.83499995433","micr.axb.consent.html","consent","external-html","0","51859","0.0-0.0","5c7d960e461e90000179f6d6","condE","","","","","","","","","","","","","","","","","","",""
"105589.19500000775","","instructions","instructions","1","157448","0.0-1.0","5c7d960e461e90000179f6d6","condE","[{""page_index"":0,""viewing_time"":57439.10499999765},{""page_index"":1,""viewing_time"":28419.645000016317},{""page_index"":2,""viewing_time"":19729.80999998981}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","157950","0.0-2.0-0.0","5c7d960e461e90000179f6d6","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"7318.10500001302","","tonetest","audio-button-response","3","165274","0.0-2.0-1.0","5c7d960e461e90000179f6d6","condE","","../../src/audio/toneTest_1.wav","","1","2","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","165776","0.0-2.0-0.1","5c7d960e461e90000179f6d6","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4587.715000030585","","tonetest","audio-button-response","5","170366","0.0-2.0-1.1","5c7d960e461e90000179f6d6","condE","","../../src/audio/toneTest_2.wav","","2","1","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","170868","0.0-2.0-0.2","5c7d960e461e90000179f6d6","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4514.789999986533","","tonetest","audio-button-response","7","175386","0.0-2.0-1.2","5c7d960e461e90000179f6d6","condE","","../../src/audio/toneTest_4.wav","","0","1","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","175890","0.0-2.0-0.3","5c7d960e461e90000179f6d6","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4757.179999956861","","tonetest","audio-button-response","9","180651","0.0-2.0-1.3","5c7d960e461e90000179f6d6","condE","","../../src/audio/toneTest_1.wav","","1","2","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","181152","0.0-2.0-0.4","5c7d960e461e90000179f6d6","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4564.644999976736","","tonetest","audio-button-response","11","185718","0.0-2.0-1.4","5c7d960e461e90000179f6d6","condE","","../../src/audio/toneTest_5.wav","","2","0","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","186234","0.0-2.0-0.5","5c7d960e461e90000179f6d6","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4547.14000003878","","tonetest","audio-button-response","13","190785","0.0-2.0-1.5","5c7d960e461e90000179f6d6","condE","","../../src/audio/toneTest_2.wav","","2","1","false","","","","","","","","","","","","",""
"10424.250000040047","","instructions","html-keyboard-response","14","201211","0.0-3.0","5c7d960e461e90000179f6d6","condE","","<div class=""vertical-center""><p><b>Your score was 0/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","205381","0.0-4.0","5c7d960e461e90000179f6d6","condE","","","","","","","true","","","","","","","","","","","",""
"43882.7900000033","","instructions","instructions","16","249266","0.0-5.0","5c7d960e461e90000179f6d6","condE","[{""page_index"":0,""viewing_time"":43882.18499999493}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","249769","0.0-6.0-0.0","5c7d960e461e90000179f6d6","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"37592","","practice","audio-keyboard-response","18","287705","0.0-6.0-1.0","5c7d960e461e90000179f6d6","condE","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
