"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"9481","micr.axb.consent.html","consent","external-html","0","9524","0.0-0.0","5d2c29f9917e53001a3a5c9d","condE","","","","","","","","","","","","","","","","","","",""
"18064","","instructions","instructions","1","27596","0.0-1.0","5d2c29f9917e53001a3a5c9d","condE","[{""page_index"":0,""viewing_time"":10068.000000000004},{""page_index"":1,""viewing_time"":5564.999999999996},{""page_index"":2,""viewing_time"":2431}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","28098","0.0-2.0-0.0","5d2c29f9917e53001a3a5c9d","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5705","","tonetest","audio-button-response","3","33812","0.0-2.0-1.0","5d2c29f9917e53001a3a5c9d","condE","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","34314","0.0-2.0-0.1","5d2c29f9917e53001a3a5c9d","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4194","","tonetest","audio-button-response","5","38508","0.0-2.0-1.1","5d2c29f9917e53001a3a5c9d","condE","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","39010","0.0-2.0-0.2","5d2c29f9917e53001a3a5c9d","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4457.000000000007","","tonetest","audio-button-response","7","43468","0.0-2.0-1.2","5d2c29f9917e53001a3a5c9d","condE","","../../src/audio/toneTest_2.wav","","2","1","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","43969","0.0-2.0-0.3","5d2c29f9917e53001a3a5c9d","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4657","","tonetest","audio-button-response","9","48627","0.0-2.0-1.3","5d2c29f9917e53001a3a5c9d","condE","","../../src/audio/toneTest_1.wav","","1","2","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","49129","0.0-2.0-0.4","5d2c29f9917e53001a3a5c9d","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3992","","tonetest","audio-button-response","11","53122","0.0-2.0-1.4","5d2c29f9917e53001a3a5c9d","condE","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","53623","0.0-2.0-0.5","5d2c29f9917e53001a3a5c9d","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"3713","","tonetest","audio-button-response","13","57337","0.0-2.0-1.5","5d2c29f9917e53001a3a5c9d","condE","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"10280","","instructions","html-keyboard-response","14","67618","0.0-3.0","5d2c29f9917e53001a3a5c9d","condE","","<div class=""vertical-center""><p><b>Your score was 4/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","70337","0.0-4.0","5d2c29f9917e53001a3a5c9d","condE","","","","","","","true","","","","","","","","","","","",""
"13145","","instructions","instructions","16","83484","0.0-5.0","5d2c29f9917e53001a3a5c9d","condE","[{""page_index"":0,""viewing_time"":13145}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","83985","0.0-6.0-0.0","5d2c29f9917e53001a3a5c9d","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"5735","","practice","audio-keyboard-response","18","89722","0.0-6.0-1.0","5d2c29f9917e53001a3a5c9d","condE","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","90724","0.0-6.0-0.1","5d2c29f9917e53001a3a5c9d","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4400","","practice","audio-keyboard-response","20","95125","0.0-6.0-1.1","5d2c29f9917e53001a3a5c9d","condE","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","48","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","96128","0.0-6.0-0.2","5d2c29f9917e53001a3a5c9d","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"3219","","practice","audio-keyboard-response","22","99347","0.0-6.0-1.2","5d2c29f9917e53001a3a5c9d","condE","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","23","100351","0.0-6.0-0.3","5d2c29f9917e53001a3a5c9d","condE","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4104","","practice","audio-keyboard-response","24","104458","0.0-6.0-1.3","5d2c29f9917e53001a3a5c9d","condE","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","48","","","","","","","","","","","","","","","",""
"1446","","instructions","instructions","25","106405","0.0-7.0","5d2c29f9917e53001a3a5c9d","condE","[{""page_index"":0,""viewing_time"":1446}]","","","","","","","","","","","","","","","","","",""
