"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"104776.30500000669","micr.axb.consent.html","consent","external-html","0","104951","0.0-0.0","5ef4dde17a4f7c0f80a0c593","condE","","","","","","","","","","","","","","","","","","",""
"466571.9349999563","","instructions","instructions","1","571520","0.0-1.0","5ef4dde17a4f7c0f80a0c593","condE","[{""page_index"":0,""viewing_time"":149591.55999997165},{""page_index"":1,""viewing_time"":213635.8599999803},{""page_index"":2,""viewing_time"":103343.0750000407}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","572028","0.0-2.0-0.0","5ef4dde17a4f7c0f80a0c593","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"85051.51999997906","","tonetest","audio-button-response","3","657083","0.0-2.0-1.0","5ef4dde17a4f7c0f80a0c593","condE","","../../src/audio/toneTest_1.wav","","1","2","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","657586","0.0-2.0-0.1","5ef4dde17a4f7c0f80a0c593","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"9483.015000005253","","tonetest","audio-button-response","5","667070","0.0-2.0-1.1","5ef4dde17a4f7c0f80a0c593","condE","","../../src/audio/toneTest_6.wav","","2","0","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","667573","0.0-2.0-0.2","5ef4dde17a4f7c0f80a0c593","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"55080.43999999063","","tonetest","audio-button-response","7","722655","0.0-2.0-1.2","5ef4dde17a4f7c0f80a0c593","condE","","../../src/audio/toneTest_4.wav","","0","1","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","723159","0.0-2.0-0.3","5ef4dde17a4f7c0f80a0c593","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"151372.4049999728","","tonetest","audio-button-response","9","874533","0.0-2.0-1.3","5ef4dde17a4f7c0f80a0c593","condE","","../../src/audio/toneTest_2.wav","","2","1","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","875037","0.0-2.0-0.4","5ef4dde17a4f7c0f80a0c593","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5077.935000008438","","tonetest","audio-button-response","11","880117","0.0-2.0-1.4","5ef4dde17a4f7c0f80a0c593","condE","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","880620","0.0-2.0-0.5","5ef4dde17a4f7c0f80a0c593","condE","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5901.725000003353","","tonetest","audio-button-response","13","886524","0.0-2.0-1.5","5ef4dde17a4f7c0f80a0c593","condE","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"8601.135000004433","","instructions","html-keyboard-response","14","895126","0.0-3.0","5ef4dde17a4f7c0f80a0c593","condE","","<div class=""vertical-center""><p><b>Your score was 2/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","898454","0.0-4.0","5ef4dde17a4f7c0f80a0c593","condE","","","","","","","true","","","","","","","","","","","",""
"24624.12499997299","","instructions","instructions","16","923079","0.0-5.0","5ef4dde17a4f7c0f80a0c593","condE","[{""page_index"":0,""viewing_time"":24623.85999999242}]","","","","","","","","","","","","","","","","","",""
