"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"5192.604999989271","micr.axb.consent.html","consent","external-html","0","5260","0.0-0.0","5b8fec0ecf6f2c0001a1fe95","condF","","","","","","","","","","","","","","","","","","",""
"54019.52000008896","","instructions","instructions","1","59283","0.0-1.0","5b8fec0ecf6f2c0001a1fe95","condF","[{""page_index"":0,""viewing_time"":27133.970000082627},{""page_index"":1,""viewing_time"":11176.379999960773},{""page_index"":2,""viewing_time"":15706.944999983534}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","59786","0.0-2.0-0.0","5b8fec0ecf6f2c0001a1fe95","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5704.269999987446","","tonetest","audio-button-response","3","65495","0.0-2.0-1.0","5b8fec0ecf6f2c0001a1fe95","condF","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","65999","0.0-2.0-0.1","5b8fec0ecf6f2c0001a1fe95","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4686.619999934919","","tonetest","audio-button-response","5","70687","0.0-2.0-1.1","5b8fec0ecf6f2c0001a1fe95","condF","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","71189","0.0-2.0-0.2","5b8fec0ecf6f2c0001a1fe95","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4431.785000022501","","tonetest","audio-button-response","7","75624","0.0-2.0-1.2","5b8fec0ecf6f2c0001a1fe95","condF","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","76126","0.0-2.0-0.3","5b8fec0ecf6f2c0001a1fe95","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4491.280000074767","","tonetest","audio-button-response","9","80620","0.0-2.0-1.3","5b8fec0ecf6f2c0001a1fe95","condF","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","81123","0.0-2.0-0.4","5b8fec0ecf6f2c0001a1fe95","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4381.374999997206","","tonetest","audio-button-response","11","85506","0.0-2.0-1.4","5b8fec0ecf6f2c0001a1fe95","condF","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","86009","0.0-2.0-0.5","5b8fec0ecf6f2c0001a1fe95","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4265.254999976605","","tonetest","audio-button-response","13","90276","0.0-2.0-1.5","5b8fec0ecf6f2c0001a1fe95","condF","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"7927.619999973103","","instructions","html-keyboard-response","14","98206","0.0-3.0","5b8fec0ecf6f2c0001a1fe95","condF","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","103549","0.0-4.0","5b8fec0ecf6f2c0001a1fe95","condF","","","","","","","true","","","","","","","","","","","",""
"58814.69000002835","","instructions","instructions","16","162366","0.0-5.0","5b8fec0ecf6f2c0001a1fe95","condF","[{""page_index"":0,""viewing_time"":58813.95500001963}]","","","","","","","","","","","","","","","","","",""
