"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"7921.070000011241","micr.axb.consent.html","consent","external-html","0","8046","0.0-0.0","5bdf513338109a0001f474c8","condF","","","","","","","","","","","","","","","","","","",""
"17019.295000005513","","instructions","instructions","1","25067","0.0-1.0","5bdf513338109a0001f474c8","condF","[{""page_index"":0,""viewing_time"":7609.714999998687},{""page_index"":1,""viewing_time"":6969.12500000326},{""page_index"":2,""viewing_time"":2439.3350000027567}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","25572","0.0-2.0-0.0","5bdf513338109a0001f474c8","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"6442.0049999898765","","tonetest","audio-button-response","3","32016","0.0-2.0-1.0","5bdf513338109a0001f474c8","condF","","../../src/audio/toneTest_1.wav","","0","2","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","32518","0.0-2.0-0.1","5bdf513338109a0001f474c8","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4464.799999987008","","tonetest","audio-button-response","5","36984","0.0-2.0-1.1","5bdf513338109a0001f474c8","condF","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","37489","0.0-2.0-0.2","5bdf513338109a0001f474c8","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5062.935000023572","","tonetest","audio-button-response","7","42554","0.0-2.0-1.2","5bdf513338109a0001f474c8","condF","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","43059","0.0-2.0-0.3","5bdf513338109a0001f474c8","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4566.084999998566","","tonetest","audio-button-response","9","47627","0.0-2.0-1.3","5bdf513338109a0001f474c8","condF","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","48129","0.0-2.0-0.4","5bdf513338109a0001f474c8","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
