"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"17551.3749999227","micr.axb.consent.html","consent","external-html","0","17943","0.0-0.0","5d0109d87cd400001a9adefb","condF","","","","","","","","","","","","","","","","","","",""
"79331.6750000231","","instructions","instructions","1","97277","0.0-1.0","5d0109d87cd400001a9adefb","condF","[{""page_index"":0,""viewing_time"":29233.110000030138},{""page_index"":1,""viewing_time"":37901.81000006851},{""page_index"":2,""viewing_time"":12195.764999953099}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","97791","0.0-2.0-0.0","5d0109d87cd400001a9adefb","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5169.140000012703","","tonetest","audio-button-response","3","102965","0.0-2.0-1.0","5d0109d87cd400001a9adefb","condF","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","103476","0.0-2.0-0.1","5d0109d87cd400001a9adefb","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4385.130000067875","","tonetest","audio-button-response","5","107863","0.0-2.0-1.1","5d0109d87cd400001a9adefb","condF","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","108366","0.0-2.0-0.2","5d0109d87cd400001a9adefb","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4516.485000029206","","tonetest","audio-button-response","7","112887","0.0-2.0-1.2","5d0109d87cd400001a9adefb","condF","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","113398","0.0-2.0-0.3","5d0109d87cd400001a9adefb","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4246.855000033975","","tonetest","audio-button-response","9","117647","0.0-2.0-1.3","5d0109d87cd400001a9adefb","condF","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","118149","0.0-2.0-0.4","5d0109d87cd400001a9adefb","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5808.384999982081","","tonetest","audio-button-response","11","123961","0.0-2.0-1.4","5d0109d87cd400001a9adefb","condF","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","124468","0.0-2.0-0.5","5d0109d87cd400001a9adefb","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4368.929999996908","","tonetest","audio-button-response","13","128840","0.0-2.0-1.5","5d0109d87cd400001a9adefb","condF","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"7596.400000038557","","instructions","html-keyboard-response","14","136438","0.0-3.0","5d0109d87cd400001a9adefb","condF","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","141528","0.0-4.0","5d0109d87cd400001a9adefb","condF","","","","","","","true","","","","","","","","","","","",""
"41792.82500001136","","instructions","instructions","16","183323","0.0-5.0","5d0109d87cd400001a9adefb","condF","[{""page_index"":0,""viewing_time"":41792.27500001434}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","183826","0.0-6.0-0.0","5d0109d87cd400001a9adefb","condF","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"9600","","practice","audio-keyboard-response","18","193907","0.0-6.0-1.0","5d0109d87cd400001a9adefb","condF","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","194923","0.0-6.0-0.1","5d0109d87cd400001a9adefb","condF","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"7392","","practice","audio-keyboard-response","20","202315","0.0-6.0-1.1","5d0109d87cd400001a9adefb","condF","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
