"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"16326.074999989942","micr.axb.consent.html","consent","external-html","0","16485","0.0-0.0","5e321c96c0a4dc2036061d9e","condF","","","","","","","","","","","","","","","","","","",""
"62200.97000000533","","instructions","instructions","1","78693","0.0-1.0","5e321c96c0a4dc2036061d9e","condF","[{""page_index"":0,""viewing_time"":26882.160000037402},{""page_index"":1,""viewing_time"":17857.714999991003},{""page_index"":2,""viewing_time"":17459.759999997914}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","79197","0.0-2.0-0.0","5e321c96c0a4dc2036061d9e","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"6076.750000007451","","tonetest","audio-button-response","3","85279","0.0-2.0-1.0","5e321c96c0a4dc2036061d9e","condF","","../../src/audio/toneTest_3.wav","","0","2","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","85781","0.0-2.0-0.1","5e321c96c0a4dc2036061d9e","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4466.7650000192225","","tonetest","audio-button-response","5","90251","0.0-2.0-1.1","5e321c96c0a4dc2036061d9e","condF","","../../src/audio/toneTest_6.wav","","1","0","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","90753","0.0-2.0-0.2","5e321c96c0a4dc2036061d9e","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4187.8450000076555","","tonetest","audio-button-response","7","94945","0.0-2.0-1.2","5e321c96c0a4dc2036061d9e","condF","","../../src/audio/toneTest_5.wav","","2","0","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","95448","0.0-2.0-0.3","5e321c96c0a4dc2036061d9e","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4624.394999991637","","tonetest","audio-button-response","9","100076","0.0-2.0-1.3","5e321c96c0a4dc2036061d9e","condF","","../../src/audio/toneTest_6.wav","","1","0","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","100578","0.0-2.0-0.4","5e321c96c0a4dc2036061d9e","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4407.835000019986","","tonetest","audio-button-response","11","104988","0.0-2.0-1.4","5e321c96c0a4dc2036061d9e","condF","","../../src/audio/toneTest_2.wav","","2","1","false","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","105490","0.0-2.0-0.5","5e321c96c0a4dc2036061d9e","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5877.124999999069","","tonetest","audio-button-response","13","111370","0.0-2.0-1.5","5e321c96c0a4dc2036061d9e","condF","","../../src/audio/toneTest_3.wav","","0","2","false","","","","","","","","","","","","",""
"13093.64999999525","","instructions","html-keyboard-response","14","124467","0.0-3.0","5e321c96c0a4dc2036061d9e","condF","","<div class=""vertical-center""><p><b>Your score was 0/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","130303","0.0-4.0","5e321c96c0a4dc2036061d9e","condF","","","","","","","true","","","","","","","","","","","",""
"46871.964999998454","","instructions","instructions","16","177178","0.0-5.0","5e321c96c0a4dc2036061d9e","condF","[{""page_index"":0,""viewing_time"":46871.31999997655}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","177682","0.0-6.0-0.0","5e321c96c0a4dc2036061d9e","condF","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"10080","","practice","audio-keyboard-response","18","188002","0.0-6.0-1.0","5e321c96c0a4dc2036061d9e","condF","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","189005","0.0-6.0-0.1","5e321c96c0a4dc2036061d9e","condF","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4531","","practice","audio-keyboard-response","20","193537","0.0-6.0-1.1","5e321c96c0a4dc2036061d9e","condF","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","194540","0.0-6.0-0.2","5e321c96c0a4dc2036061d9e","condF","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"4680","","practice","audio-keyboard-response","22","199225","0.0-6.0-1.2","5e321c96c0a4dc2036061d9e","condF","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","49","","","","","","","","","","","","","","","",""
