"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"22552.06000013277","micr.axb.consent.html","consent","external-html","0","22767","0.0-0.0","5e5d8769d2fda30a7e2a98dd","condF","","","","","","","","","","","","","","","","","","",""
"45991.734999930486","","instructions","instructions","1","68763","0.0-1.0","5e5d8769d2fda30a7e2a98dd","condF","[{""page_index"":0,""viewing_time"":16167.614999925718},{""page_index"":1,""viewing_time"":9260.3100000415},{""page_index"":2,""viewing_time"":20562.41500005126}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","69270","0.0-2.0-0.0","5e5d8769d2fda30a7e2a98dd","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"5177.84500005655","","tonetest","audio-button-response","3","74459","0.0-2.0-1.0","5e5d8769d2fda30a7e2a98dd","condF","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","74962","0.0-2.0-0.1","5e5d8769d2fda30a7e2a98dd","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4545.474999817088","","tonetest","audio-button-response","5","79509","0.0-2.0-1.1","5e5d8769d2fda30a7e2a98dd","condF","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","80013","0.0-2.0-0.2","5e5d8769d2fda30a7e2a98dd","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4328.574999934062","","tonetest","audio-button-response","7","84344","0.0-2.0-1.2","5e5d8769d2fda30a7e2a98dd","condF","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","84848","0.0-2.0-0.3","5e5d8769d2fda30a7e2a98dd","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4375.320000108331","","tonetest","audio-button-response","9","89226","0.0-2.0-1.3","5e5d8769d2fda30a7e2a98dd","condF","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","89730","0.0-2.0-0.4","5e5d8769d2fda30a7e2a98dd","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4367.894999915734","","tonetest","audio-button-response","11","94101","0.0-2.0-1.4","5e5d8769d2fda30a7e2a98dd","condF","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","94607","0.0-2.0-0.5","5e5d8769d2fda30a7e2a98dd","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4325.739999767393","","tonetest","audio-button-response","13","98935","0.0-2.0-1.5","5e5d8769d2fda30a7e2a98dd","condF","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","","","",""
"5173.024999909103","","instructions","html-keyboard-response","14","104110","0.0-3.0","5e5d8769d2fda30a7e2a98dd","condF","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","110404","0.0-4.0","5e5d8769d2fda30a7e2a98dd","condF","","","","","","","true","","","","","","","","","","","",""
"31342.089999932796","","instructions","instructions","16","141748","0.0-5.0","5e5d8769d2fda30a7e2a98dd","condF","[{""page_index"":0,""viewing_time"":31341.900000115857}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","142251","0.0-6.0-0.0","5e5d8769d2fda30a7e2a98dd","condF","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","","","",""
"2653","","practice","audio-keyboard-response","18","145008","0.0-6.0-1.0","5e5d8769d2fda30a7e2a98dd","condF","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","49","","","","","","","","","","","","","","","",""
