"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","conditionId","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","speakerGuise","guiseName","raised_answer","key_response","raised_response"
"18525.99999999984","micr.axb.consent.html","consent","external-html","0","18585","0.0-0.0","5f5ae0be76a9511f219212a9","condF","","","","","","","","","","","","","","","","","","",""
"45404.999999999745","","instructions","instructions","1","63995","0.0-1.0","5f5ae0be76a9511f219212a9","condF","[{""page_index"":0,""viewing_time"":21947.99999999941},{""page_index"":1,""viewing_time"":8618.000000000393},{""page_index"":2,""viewing_time"":14836.000000000247}]","","","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","64497","0.0-2.0-0.0","5f5ae0be76a9511f219212a9","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4470.999999999563","","tonetest","audio-button-response","3","68972","0.0-2.0-1.0","5f5ae0be76a9511f219212a9","condF","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","69472","0.0-2.0-0.1","5f5ae0be76a9511f219212a9","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4345.999999999534","","tonetest","audio-button-response","5","73819","0.0-2.0-1.1","5f5ae0be76a9511f219212a9","condF","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","74319","0.0-2.0-0.2","5f5ae0be76a9511f219212a9","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4292.99999999968","","tonetest","audio-button-response","7","78615","0.0-2.0-1.2","5f5ae0be76a9511f219212a9","condF","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","79125","0.0-2.0-0.3","5f5ae0be76a9511f219212a9","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4029.999999999738","","tonetest","audio-button-response","9","83158","0.0-2.0-1.3","5f5ae0be76a9511f219212a9","condF","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","83668","0.0-2.0-0.4","5f5ae0be76a9511f219212a9","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4229.999999999563","","tonetest","audio-button-response","11","87901","0.0-2.0-1.4","5f5ae0be76a9511f219212a9","condF","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","88411","0.0-2.0-0.5","5f5ae0be76a9511f219212a9","condF","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","","","",""
"4323.00000000032","","tonetest","audio-button-response","13","92738","0.0-2.0-1.5","5f5ae0be76a9511f219212a9","condF","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","","","",""
"4416.999999999447","","instructions","html-keyboard-response","14","97159","0.0-3.0","5f5ae0be76a9511f219212a9","condF","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","","","",""
"","","","fullscreen","15","100510","0.0-4.0","5f5ae0be76a9511f219212a9","condF","","","","","","","true","","","","","","","","","","","",""
"23246.000000000102","","instructions","instructions","16","123757","0.0-5.0","5f5ae0be76a9511f219212a9","condF","[{""page_index"":0,""viewing_time"":23245.0000000008}]","","","","","","","","","","","","","","","","","",""
