"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","condition","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","raised_answer","key_response","raised_response"
"8630","micr.con.consent.html","consent","external-html","0","8663","0.0-0.0","5653662afea9c60005c5d21a","condA","","","","","","","","","","","","","","","","",""
"52961","","instructions","instructions","1","61626","0.0-1.0","5653662afea9c60005c5d21a","condA","[{""page_index"":0,""viewing_time"":22033},{""page_index"":1,""viewing_time"":16438},{""page_index"":2,""viewing_time"":14490}]","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","62128","0.0-2.0-0.0","5653662afea9c60005c5d21a","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4786","","tonetest","audio-button-response","3","66917","0.0-2.0-1.0","5653662afea9c60005c5d21a","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","67418","0.0-2.0-0.1","5653662afea9c60005c5d21a","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4265","","tonetest","audio-button-response","5","71688","0.0-2.0-1.1","5653662afea9c60005c5d21a","condA","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","72190","0.0-2.0-0.2","5653662afea9c60005c5d21a","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4366","","tonetest","audio-button-response","7","76562","0.0-2.0-1.2","5653662afea9c60005c5d21a","condA","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","77063","0.0-2.0-0.3","5653662afea9c60005c5d21a","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4271","","tonetest","audio-button-response","9","81337","0.0-2.0-1.3","5653662afea9c60005c5d21a","condA","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","81838","0.0-2.0-0.4","5653662afea9c60005c5d21a","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4354","","tonetest","audio-button-response","11","86194","0.0-2.0-1.4","5653662afea9c60005c5d21a","condA","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","86695","0.0-2.0-0.5","5653662afea9c60005c5d21a","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4466","","tonetest","audio-button-response","13","91162","0.0-2.0-1.5","5653662afea9c60005c5d21a","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","",""
"5700","","instructions","html-keyboard-response","14","96863","0.0-3.0","5653662afea9c60005c5d21a","condA","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 6, please ensure that you are wearing headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","",""
"","","","fullscreen","15","101008","0.0-4.0","5653662afea9c60005c5d21a","condA","","","","","","","true","","","","","","","","","",""
"31579","","instructions","instructions","16","132591","0.0-5.0","5653662afea9c60005c5d21a","condA","[{""page_index"":0,""viewing_time"":31578}]","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","133094","0.0-6.0-0.0","5653662afea9c60005c5d21a","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"6171","","practice","audio-keyboard-response","18","139262","0.0-6.0-1.0","5653662afea9c60005c5d21a","condA","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","49","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","140265","0.0-6.0-0.1","5653662afea9c60005c5d21a","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
