"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","condition","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","raised_answer","key_response","raised_response"
"11347","micr.con.consent.html","consent","external-html","0","11409","0.0-0.0","5a80e46a2a842c0001fc913f","condA","","","","","","","","","","","","","","","","",""
"47269","","instructions","instructions","1","58681","0.0-1.0","5a80e46a2a842c0001fc913f","condA","[{""page_index"":0,""viewing_time"":11108},{""page_index"":1,""viewing_time"":22727},{""page_index"":2,""viewing_time"":13433}]","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","59183","0.0-2.0-0.0","5a80e46a2a842c0001fc913f","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4390","","tonetest","audio-button-response","3","63576","0.0-2.0-1.0","5a80e46a2a842c0001fc913f","condA","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","64079","0.0-2.0-0.1","5a80e46a2a842c0001fc913f","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4254","","tonetest","audio-button-response","5","68335","0.0-2.0-1.1","5a80e46a2a842c0001fc913f","condA","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","68838","0.0-2.0-0.2","5a80e46a2a842c0001fc913f","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4240","","tonetest","audio-button-response","7","73080","0.0-2.0-1.2","5a80e46a2a842c0001fc913f","condA","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","73580","0.0-2.0-0.3","5a80e46a2a842c0001fc913f","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"3977","","tonetest","audio-button-response","9","77559","0.0-2.0-1.3","5a80e46a2a842c0001fc913f","condA","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","78062","0.0-2.0-0.4","5a80e46a2a842c0001fc913f","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"3920","","tonetest","audio-button-response","11","81983","0.0-2.0-1.4","5a80e46a2a842c0001fc913f","condA","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","82485","0.0-2.0-0.5","5a80e46a2a842c0001fc913f","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
