"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","condition","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","raised_answer","key_response","raised_response"
"28624.455000041053","micr.con.consent.html","consent","external-html","0","28873","0.0-0.0","5dc5086aa0910f3ada826120","condA","","","","","","","","","","","","","","","","",""
"71659.07499997411","","instructions","instructions","1","100546","0.0-1.0","5dc5086aa0910f3ada826120","condA","[{""page_index"":0,""viewing_time"":40559.04000002192},{""page_index"":1,""viewing_time"":14226.214999973308},{""page_index"":2,""viewing_time"":16870.125000015832}]","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","101054","0.0-2.0-0.0","5dc5086aa0910f3ada826120","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"12675.569999963045","","tonetest","audio-button-response","3","113743","0.0-2.0-1.0","5dc5086aa0910f3ada826120","condA","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","114257","0.0-2.0-0.1","5dc5086aa0910f3ada826120","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"5336.339999979828","","tonetest","audio-button-response","5","119601","0.0-2.0-1.1","5dc5086aa0910f3ada826120","condA","","../../src/audio/toneTest_4.wav","","0","1","false","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","120127","0.0-2.0-0.2","5dc5086aa0910f3ada826120","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4810.245000000577","","tonetest","audio-button-response","7","124946","0.0-2.0-1.2","5dc5086aa0910f3ada826120","condA","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","125456","0.0-2.0-0.3","5dc5086aa0910f3ada826120","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"5136.924999998882","","tonetest","audio-button-response","9","130601","0.0-2.0-1.3","5dc5086aa0910f3ada826120","condA","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","131129","0.0-2.0-0.4","5dc5086aa0910f3ada826120","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"5204.919999989215","","tonetest","audio-button-response","11","136341","0.0-2.0-1.4","5dc5086aa0910f3ada826120","condA","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","136849","0.0-2.0-0.5","5dc5086aa0910f3ada826120","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4853.9899999741465","","tonetest","audio-button-response","13","141712","0.0-2.0-1.5","5dc5086aa0910f3ada826120","condA","","../../src/audio/toneTest_2.wav","","2","1","false","","","","","","","","","","",""
"8700.38499997463","","instructions","html-keyboard-response","14","150422","0.0-3.0","5dc5086aa0910f3ada826120","condA","","<div class=""vertical-center""><p><b>Your score was 4/6.</b></p><p>If you scored below 6, please ensure that you are wearing headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","",""
"","","","fullscreen","15","154515","0.0-4.0","5dc5086aa0910f3ada826120","condA","","","","","","","true","","","","","","","","","",""
"1130431.7000000156","","instructions","instructions","16","1284949","0.0-5.0","5dc5086aa0910f3ada826120","condA","[{""page_index"":0,""viewing_time"":1130417.6399999997}]","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","1285520","0.0-6.0-0.0","5dc5086aa0910f3ada826120","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
