"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","condition","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","raised_answer","key_response","raised_response"
"15881.240000016987","micr.con.consent.html","consent","external-html","0","16460","0.0-0.0","5efe549cd061693579bff438","condA","","","","","","","","","","","","","","","","",""
"43115.72500001057","","instructions","instructions","1","59577","0.0-1.0","5efe549cd061693579bff438","condA","[{""page_index"":0,""viewing_time"":11347.149999986868},{""page_index"":1,""viewing_time"":22354.76000001654},{""page_index"":2,""viewing_time"":9412.974999984726}]","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","60087","0.0-2.0-0.0","5efe549cd061693579bff438","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"8723.425000003772","","tonetest","audio-button-response","3","68816","0.0-2.0-1.0","5efe549cd061693579bff438","condA","","../../src/audio/toneTest_4.wav","","0","1","false","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","69333","0.0-2.0-0.1","5efe549cd061693579bff438","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4100.319999997737","","tonetest","audio-button-response","5","73436","0.0-2.0-1.1","5efe549cd061693579bff438","condA","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","73949","0.0-2.0-0.2","5efe549cd061693579bff438","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4114.3949999823235","","tonetest","audio-button-response","7","78066","0.0-2.0-1.2","5efe549cd061693579bff438","condA","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","78568","0.0-2.0-0.3","5efe549cd061693579bff438","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"1848.8849999848753","","tonetest","audio-button-response","9","80420","0.0-2.0-1.3","5efe549cd061693579bff438","condA","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","80930","0.0-2.0-0.4","5efe549cd061693579bff438","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"6253.610000014305","","tonetest","audio-button-response","11","87185","0.0-2.0-1.4","5efe549cd061693579bff438","condA","","../../src/audio/toneTest_1.wav","","1","2","false","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","87688","0.0-2.0-0.5","5efe549cd061693579bff438","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"5493.564999982482","","tonetest","audio-button-response","13","93183","0.0-2.0-1.5","5efe549cd061693579bff438","condA","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","",""
"5154.470000008587","","instructions","html-keyboard-response","14","98339","0.0-3.0","5efe549cd061693579bff438","condA","","<div class=""vertical-center""><p><b>Your score was 4/6.</b></p><p>If you scored below 6, please ensure that you are wearing headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","",""
"","","","fullscreen","15","102358","0.0-4.0","5efe549cd061693579bff438","condA","","","","","","","true","","","","","","","","","",""
"4004.2350000003353","","instructions","instructions","16","106366","0.0-5.0","5efe549cd061693579bff438","condA","[{""page_index"":0,""viewing_time"":4003.8000000058673}]","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","106877","0.0-6.0-0.0","5efe549cd061693579bff438","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"14520","","practice","audio-keyboard-response","18","121407","0.0-6.0-1.0","5efe549cd061693579bff438","condA","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","49","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","122415","0.0-6.0-0.1","5efe549cd061693579bff438","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"5408","","practice","audio-keyboard-response","20","127820","0.0-6.0-1.1","5efe549cd061693579bff438","condA","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","49","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","128829","0.0-6.0-0.2","5efe549cd061693579bff438","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"11429","","practice","audio-keyboard-response","22","140271","0.0-6.0-1.2","5efe549cd061693579bff438","condA","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","48","","","","","","","","","","","","","",""
