"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","condition","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","raised_answer","key_response","raised_response"
"20912.3649999965","micr.con.consent.html","consent","external-html","0","21026","0.0-0.0","5ed2f2dc8567632918d55518","condA","","","","","","","","","","","","","","","","",""
"51721.57500000321","","instructions","instructions","1","72749","0.0-1.0","5ed2f2dc8567632918d55518","condA","[{""page_index"":0,""viewing_time"":10303.060000005644},{""page_index"":1,""viewing_time"":29641.700000007404},{""page_index"":2,""viewing_time"":11776.099999988219}]","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","73252","0.0-2.0-0.0","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4509.405000018887","","tonetest","audio-button-response","3","77765","0.0-2.0-1.0","5ed2f2dc8567632918d55518","condA","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","78267","0.0-2.0-0.1","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4785.804999992251","","tonetest","audio-button-response","5","83055","0.0-2.0-1.1","5ed2f2dc8567632918d55518","condA","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","83556","0.0-2.0-0.2","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4340.5849999981","","tonetest","audio-button-response","7","87899","0.0-2.0-1.2","5ed2f2dc8567632918d55518","condA","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","88401","0.0-2.0-0.3","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4431.54499999946","","tonetest","audio-button-response","9","92835","0.0-2.0-1.3","5ed2f2dc8567632918d55518","condA","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","93336","0.0-2.0-0.4","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4403.800000000047","","tonetest","audio-button-response","11","97743","0.0-2.0-1.4","5ed2f2dc8567632918d55518","condA","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","98244","0.0-2.0-0.5","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4160.784999985481","","tonetest","audio-button-response","13","102407","0.0-2.0-1.5","5ed2f2dc8567632918d55518","condA","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","",""
"6744.604999985313","","instructions","html-keyboard-response","14","109153","0.0-3.0","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","",""
"","","","fullscreen","15","113548","0.0-4.0","5ed2f2dc8567632918d55518","condA","","","","","","","true","","","","","","","","","",""
"33560.34000002546","","instructions","instructions","16","147111","0.0-5.0","5ed2f2dc8567632918d55518","condA","[{""page_index"":0,""viewing_time"":33560.055000009015}]","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","147613","0.0-6.0-0.0","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"3611","","practice","audio-keyboard-response","18","151316","0.0-6.0-1.0","5ed2f2dc8567632918d55518","condA","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","48","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","152336","0.0-6.0-0.1","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"4440","","practice","audio-keyboard-response","20","156782","0.0-6.0-1.1","5ed2f2dc8567632918d55518","condA","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","48","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","21","157798","0.0-6.0-0.2","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"3451","","practice","audio-keyboard-response","22","161257","0.0-6.0-1.2","5ed2f2dc8567632918d55518","condA","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","49","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","23","162287","0.0-6.0-0.3","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"2789","","practice","audio-keyboard-response","24","165081","0.0-6.0-1.3","5ed2f2dc8567632918d55518","condA","","resources/audio/practiceStim/S1_AU_14_bxa_Step-6.wav","49","","","","","","","","","","","","","",""
"3110.59500000556","","instructions","instructions","25","168708","0.0-7.0","5ed2f2dc8567632918d55518","condA","[{""page_index"":0,""viewing_time"":3110.340000013821}]","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","26","169227","0.0-8.0-0.0","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"3821","","test","audio-keyboard-response","27","173051","0.0-8.0-1.0","5ed2f2dc8567632918d55518","condA","","resources/audio/wordStim/S9_AI_23_bxa_Step-2.wav","49","","","","","AI","resources/audio/wordStim/S9_AI_23_bxa_Step-2.wav","S9","23","bxa","2","CN","1","1","true"
"null","","fixation","html-keyboard-response","28","174077","0.0-8.0-0.1","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"3440","","test","audio-keyboard-response","29","177528","0.0-8.0-1.1","5ed2f2dc8567632918d55518","condA","","resources/audio/wordStim/S9_AI_29_bxa_Step-4.wav","49","","","","","AI","resources/audio/wordStim/S9_AI_29_bxa_Step-4.wav","S9","29","bxa","4","CN","1","1","true"
"null","","fixation","html-keyboard-response","30","178556","0.0-8.0-0.2","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"3200","","test","audio-keyboard-response","31","181762","0.0-8.0-1.2","5ed2f2dc8567632918d55518","condA","","resources/audio/wordStim/S3_AI_28_axb_Step-9.wav","48","","","","","AI","resources/audio/wordStim/S3_AI_28_axb_Step-9.wav","S3","28","axb","9","MI","0","0","true"
"null","","fixation","html-keyboard-response","32","182797","0.0-8.0-0.3","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"3131","","test","audio-keyboard-response","33","185929","0.0-8.0-1.3","5ed2f2dc8567632918d55518","condA","","resources/audio/wordStim/S9_AU_20_bxa_Step-4.wav","48","","","","","AU","resources/audio/wordStim/S9_AU_20_bxa_Step-4.wav","S9","20","bxa","4","CN","1","0","false"
"null","","fixation","html-keyboard-response","34","186947","0.0-8.0-0.4","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"2829","","test","audio-keyboard-response","35","189786","0.0-8.0-1.4","5ed2f2dc8567632918d55518","condA","","resources/audio/wordStim/S9_AU_20_axb_Step-7.wav","48","","","","","AU","resources/audio/wordStim/S9_AU_20_axb_Step-7.wav","S9","20","axb","7","CN","0","0","true"
"null","","fixation","html-keyboard-response","36","190816","0.0-8.0-0.5","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"3000","","test","audio-keyboard-response","37","193826","0.0-8.0-1.5","5ed2f2dc8567632918d55518","condA","","resources/audio/wordStim/S9_AU_20_axb_Step-10.wav","48","","","","","AU","resources/audio/wordStim/S9_AU_20_axb_Step-10.wav","S9","20","axb","10","CN","0","0","true"
"null","","fixation","html-keyboard-response","38","194846","0.0-8.0-0.6","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"3349","","test","audio-keyboard-response","39","198201","0.0-8.0-1.6","5ed2f2dc8567632918d55518","condA","","resources/audio/wordStim/S3_AU_17_axb_Step-7.wav","48","","","","","AU","resources/audio/wordStim/S3_AU_17_axb_Step-7.wav","S3","17","axb","7","MI","0","0","true"
"null","","fixation","html-keyboard-response","40","199217","0.0-8.0-0.7","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"3941","","test","audio-keyboard-response","41","203162","0.0-8.0-1.7","5ed2f2dc8567632918d55518","condA","","resources/audio/wordStim/S3_AU_16_bxa_Step-4.wav","48","","","","","AU","resources/audio/wordStim/S3_AU_16_bxa_Step-4.wav","S3","16","bxa","4","MI","1","0","false"
"null","","fixation","html-keyboard-response","42","204196","0.0-8.0-0.8","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"3011","","test","audio-keyboard-response","43","207212","0.0-8.0-1.8","5ed2f2dc8567632918d55518","condA","","resources/audio/wordStim/S9_AU_17_axb_Step-5.wav","49","","","","","AU","resources/audio/wordStim/S9_AU_17_axb_Step-5.wav","S9","17","axb","5","CN","0","1","false"
"null","","fixation","html-keyboard-response","44","208236","0.0-8.0-0.9","5ed2f2dc8567632918d55518","condA","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"3219","","test","audio-keyboard-response","45","211464","0.0-8.0-1.9","5ed2f2dc8567632918d55518","condA","","resources/audio/wordStim/S9_AU_20_axb_Step-3.wav","49","","","","","AU","resources/audio/wordStim/S9_AU_20_axb_Step-3.wav","S9","20","axb","3","CN","0","1","false"
