"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","condition","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","raised_answer","key_response","raised_response"
"8431.920000119135","micr.con.consent.html","consent","external-html","0","8477","0.0-0.0","5f3eeb74bfbc021a779796d2","condA","","","","","","","","","","","","","","","","",""
"46788.2999998983","","instructions","instructions","1","55266","0.0-1.0","5f3eeb74bfbc021a779796d2","condA","[{""page_index"":0,""viewing_time"":4987.124999985099},{""page_index"":1,""viewing_time"":17335.354999871925},{""page_index"":2,""viewing_time"":24464.92000017315}]","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","55768","0.0-2.0-0.0","5f3eeb74bfbc021a779796d2","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"6101.79500002414","","tonetest","audio-button-response","3","61872","0.0-2.0-1.0","5f3eeb74bfbc021a779796d2","condA","","../../src/audio/toneTest_2.wav","","2","1","false","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","62374","0.0-2.0-0.1","5f3eeb74bfbc021a779796d2","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"6816.400000127032","","tonetest","audio-button-response","5","69192","0.0-2.0-1.1","5f3eeb74bfbc021a779796d2","condA","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","69693","0.0-2.0-0.2","5f3eeb74bfbc021a779796d2","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4865.605000173673","","tonetest","audio-button-response","7","74560","0.0-2.0-1.2","5f3eeb74bfbc021a779796d2","condA","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","75062","0.0-2.0-0.3","5f3eeb74bfbc021a779796d2","condA","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"9880.205000052229","","tonetest","audio-button-response","9","84944","0.0-2.0-1.3","5f3eeb74bfbc021a779796d2","condA","","../../src/audio/toneTest_5.wav","","1","0","false","","","","","","","","","","",""
