"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","condition","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","raised_answer","key_response","raised_response"
"14714.670000132173","micr.con.consent.html","consent","external-html","0","14957","0.0-0.0","5a6b35d3d5d4cb0001d643d8","condB","","","","","","","","","","","","","","","","",""
"58156.59000002779","","instructions","instructions","1","73121","0.0-1.0","5a6b35d3d5d4cb0001d643d8","condB","[{""page_index"":0,""viewing_time"":17230.52500002086},{""page_index"":1,""viewing_time"":25007.099999813363},{""page_index"":2,""viewing_time"":15915.295000188053}]","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","73627","0.0-2.0-0.0","5a6b35d3d5d4cb0001d643d8","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"22230.679999804124","","tonetest","audio-button-response","3","95866","0.0-2.0-1.0","5a6b35d3d5d4cb0001d643d8","condB","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","96372","0.0-2.0-0.1","5a6b35d3d5d4cb0001d643d8","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"78835.60999995098","","tonetest","audio-button-response","5","175216","0.0-2.0-1.1","5a6b35d3d5d4cb0001d643d8","condB","","../../src/audio/toneTest_1.wav","","0","2","false","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","175720","0.0-2.0-0.2","5a6b35d3d5d4cb0001d643d8","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4355.96500011161","","tonetest","audio-button-response","7","180083","0.0-2.0-1.2","5a6b35d3d5d4cb0001d643d8","condB","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","180587","0.0-2.0-0.3","5a6b35d3d5d4cb0001d643d8","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4296.205000020564","","tonetest","audio-button-response","9","184890","0.0-2.0-1.3","5a6b35d3d5d4cb0001d643d8","condB","","../../src/audio/toneTest_4.wav","","1","1","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","185394","0.0-2.0-0.4","5a6b35d3d5d4cb0001d643d8","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4471.660000039265","","tonetest","audio-button-response","11","189872","0.0-2.0-1.4","5a6b35d3d5d4cb0001d643d8","condB","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","190376","0.0-2.0-0.5","5a6b35d3d5d4cb0001d643d8","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4405.19000007771","","tonetest","audio-button-response","13","194787","0.0-2.0-1.5","5a6b35d3d5d4cb0001d643d8","condB","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","",""
"8075.064999982715","","instructions","html-keyboard-response","14","202870","0.0-3.0","5a6b35d3d5d4cb0001d643d8","condB","","<div class=""vertical-center""><p><b>Your score was 5/6.</b></p><p>If you scored below 6, please ensure that you are wearing headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","",""
"","","","fullscreen","15","206504","0.0-4.0","5a6b35d3d5d4cb0001d643d8","condB","","","","","","","true","","","","","","","","","",""
"29547.095000045374","","instructions","instructions","16","236054","0.0-5.0","5a6b35d3d5d4cb0001d643d8","condB","[{""page_index"":0,""viewing_time"":29546.319999964908}]","","","","","","","","","","","","","","","",""
