"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","condition","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","raised_answer","key_response","raised_response"
"92652.56000030786","micr.con.consent.html","consent","external-html","0","92753","0.0-0.0","5df6b530c0b81f49ab5e86fd","condB","","","","","","","","","","","","","","","","",""
"46685.240000486374","","instructions","instructions","1","139441","0.0-1.0","5df6b530c0b81f49ab5e86fd","condB","[{""page_index"":0,""viewing_time"":15343.015000224113},{""page_index"":1,""viewing_time"":17260.800000280142},{""page_index"":2,""viewing_time"":14080.589999444783}]","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","139948","0.0-2.0-0.0","5df6b530c0b81f49ab5e86fd","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"14696.210000663996","","tonetest","audio-button-response","3","154649","0.0-2.0-1.0","5df6b530c0b81f49ab5e86fd","condB","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","155156","0.0-2.0-0.1","5df6b530c0b81f49ab5e86fd","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"24016.394999809563","","tonetest","audio-button-response","5","179174","0.0-2.0-1.1","5df6b530c0b81f49ab5e86fd","condB","","../../src/audio/toneTest_1.wav","","1","2","false","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","179679","0.0-2.0-0.2","5df6b530c0b81f49ab5e86fd","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"5139.8649998009205","","tonetest","audio-button-response","7","184823","0.0-2.0-1.2","5df6b530c0b81f49ab5e86fd","condB","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","185327","0.0-2.0-0.3","5df6b530c0b81f49ab5e86fd","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"5324.564999900758","","tonetest","audio-button-response","9","190655","0.0-2.0-1.3","5df6b530c0b81f49ab5e86fd","condB","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","",""
