"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","condition","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","raised_answer","key_response","raised_response"
"20054.714999976568","micr.con.consent.html","consent","external-html","0","21800","0.0-0.0","5e916cb9e502b1498e8fc059","condB","","","","","","","","","","","","","","","","",""
"29429.349999991246","","instructions","instructions","1","51231","0.0-1.0","5e916cb9e502b1498e8fc059","condB","[{""page_index"":0,""viewing_time"":11453.180000011344},{""page_index"":1,""viewing_time"":12735.485000011977},{""page_index"":2,""viewing_time"":5240.319999982603}]","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","51734","0.0-2.0-0.0","5e916cb9e502b1498e8fc059","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"11731.414999987464","","tonetest","audio-button-response","3","63471","0.0-2.0-1.0","5e916cb9e502b1498e8fc059","condB","","../../src/audio/toneTest_2.wav","","0","1","false","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","63973","0.0-2.0-0.1","5e916cb9e502b1498e8fc059","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"9784.144999983255","","tonetest","audio-button-response","5","73759","0.0-2.0-1.1","5e916cb9e502b1498e8fc059","condB","","../../src/audio/toneTest_1.wav","","1","2","false","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","74261","0.0-2.0-0.2","5e916cb9e502b1498e8fc059","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"5934.770000050776","","tonetest","audio-button-response","7","80199","0.0-2.0-1.2","5e916cb9e502b1498e8fc059","condB","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","80701","0.0-2.0-0.3","5e916cb9e502b1498e8fc059","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"8182.624999957625","","tonetest","audio-button-response","9","88887","0.0-2.0-1.3","5e916cb9e502b1498e8fc059","condB","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","89388","0.0-2.0-0.4","5e916cb9e502b1498e8fc059","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"14087.575000012293","","tonetest","audio-button-response","11","103479","0.0-2.0-1.4","5e916cb9e502b1498e8fc059","condB","","../../src/audio/toneTest_3.wav","","0","2","false","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","103981","0.0-2.0-0.5","5e916cb9e502b1498e8fc059","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"11184.320000000298","","tonetest","audio-button-response","13","115167","0.0-2.0-1.5","5e916cb9e502b1498e8fc059","condB","","../../src/audio/toneTest_5.wav","","1","0","false","","","","","","","","","","",""
"5593.164999969304","","instructions","html-keyboard-response","14","120762","0.0-3.0","5e916cb9e502b1498e8fc059","condB","","<div class=""vertical-center""><p><b>Your score was 2/6.</b></p><p>If you scored below 6, please ensure that you are wearing headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","",""
"","","","fullscreen","15","124318","0.0-4.0","5e916cb9e502b1498e8fc059","condB","","","","","","","true","","","","","","","","","",""
"22090.90000001015","","instructions","instructions","16","146409","0.0-5.0","5e916cb9e502b1498e8fc059","condB","[{""page_index"":0,""viewing_time"":22090.749999973923}]","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","146911","0.0-6.0-0.0","5e916cb9e502b1498e8fc059","condB","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"11240","","practice","audio-keyboard-response","18","158202","0.0-6.0-1.0","5e916cb9e502b1498e8fc059","condB","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","49","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","159206","0.0-6.0-0.1","5e916cb9e502b1498e8fc059","condB","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"4549","","practice","audio-keyboard-response","20","163761","0.0-6.0-1.1","5e916cb9e502b1498e8fc059","condB","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","49","","","","","","","","","","","","","",""
