"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","condition","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","raised_answer","key_response","raised_response"
"88363.38999999862","micr.con.consent.html","consent","external-html","0","88470","0.0-0.0","5e987a22826ef708dc75c698","condB","","","","","","","","","","","","","","","","",""
"155698.94000000024","","instructions","instructions","1","244169","0.0-1.0","5e987a22826ef708dc75c698","condB","[{""page_index"":0,""viewing_time"":28913.744999999835},{""page_index"":1,""viewing_time"":90758.91000000048},{""page_index"":2,""viewing_time"":36024.94499999919}]","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","244671","0.0-2.0-0.0","5e987a22826ef708dc75c698","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"6680.575000000332","","tonetest","audio-button-response","3","251357","0.0-2.0-1.0","5e987a22826ef708dc75c698","condB","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","251860","0.0-2.0-0.1","5e987a22826ef708dc75c698","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4879.425000000978","","tonetest","audio-button-response","5","256741","0.0-2.0-1.1","5e987a22826ef708dc75c698","condB","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","257242","0.0-2.0-0.2","5e987a22826ef708dc75c698","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4993.389999999665","","tonetest","audio-button-response","7","262237","0.0-2.0-1.2","5e987a22826ef708dc75c698","condB","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","262738","0.0-2.0-0.3","5e987a22826ef708dc75c698","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4181.704999999027","","tonetest","audio-button-response","9","266922","0.0-2.0-1.3","5e987a22826ef708dc75c698","condB","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","267423","0.0-2.0-0.4","5e987a22826ef708dc75c698","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4922.6200000011595","","tonetest","audio-button-response","11","272347","0.0-2.0-1.4","5e987a22826ef708dc75c698","condB","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","272849","0.0-2.0-0.5","5e987a22826ef708dc75c698","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4425.749999998545","","tonetest","audio-button-response","13","277277","0.0-2.0-1.5","5e987a22826ef708dc75c698","condB","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","",""
