"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","condition","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","raised_answer","key_response","raised_response"
"8702.67999987118","micr.con.consent.html","consent","external-html","0","8773","0.0-0.0","5e9902c3a64f740009842923","condB","","","","","","","","","","","","","","","","",""
"27808.799999998882","","instructions","instructions","1","36585","0.0-1.0","5e9902c3a64f740009842923","condB","[{""page_index"":0,""viewing_time"":14395.169999916106},{""page_index"":1,""viewing_time"":5813.904999988154},{""page_index"":2,""viewing_time"":7598.945000208914}]","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","37086","0.0-2.0-0.0","5e9902c3a64f740009842923","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4372.540000127628","","tonetest","audio-button-response","3","41461","0.0-2.0-1.0","5e9902c3a64f740009842923","condB","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","41962","0.0-2.0-0.1","5e9902c3a64f740009842923","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4123.020000057295","","tonetest","audio-button-response","5","46086","0.0-2.0-1.1","5e9902c3a64f740009842923","condB","","../../src/audio/toneTest_5.wav","","0","0","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","46588","0.0-2.0-0.2","5e9902c3a64f740009842923","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4179.714999860153","","tonetest","audio-button-response","7","50769","0.0-2.0-1.2","5e9902c3a64f740009842923","condB","","../../src/audio/toneTest_6.wav","","0","0","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","51272","0.0-2.0-0.3","5e9902c3a64f740009842923","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4569.269999861717","","tonetest","audio-button-response","9","55842","0.0-2.0-1.3","5e9902c3a64f740009842923","condB","","../../src/audio/toneTest_1.wav","","2","2","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","56348","0.0-2.0-0.4","5e9902c3a64f740009842923","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"3973.5449999570847","","tonetest","audio-button-response","11","60322","0.0-2.0-1.4","5e9902c3a64f740009842923","condB","","../../src/audio/toneTest_3.wav","","2","2","true","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","60823","0.0-2.0-0.5","5e9902c3a64f740009842923","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"3525.455000111833","","tonetest","audio-button-response","13","64349","0.0-2.0-1.5","5e9902c3a64f740009842923","condB","","../../src/audio/toneTest_2.wav","","1","1","true","","","","","","","","","","",""
"6263.355000177398","","instructions","html-keyboard-response","14","70614","0.0-3.0","5e9902c3a64f740009842923","condB","","<div class=""vertical-center""><p><b>Your score was 6/6.</b></p><p>If you scored below 6, please ensure that you are wearing properly functioning headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","",""
"","","","fullscreen","15","73608","0.0-4.0","5e9902c3a64f740009842923","condB","","","","","","","true","","","","","","","","","",""
"28604.109999956563","","instructions","instructions","16","102213","0.0-5.0","5e9902c3a64f740009842923","condB","[{""page_index"":0,""viewing_time"":28603.854999877512}]","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","102715","0.0-6.0-0.0","5e9902c3a64f740009842923","condB","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"2496","","practice","audio-keyboard-response","18","105273","0.0-6.0-1.0","5e9902c3a64f740009842923","condB","","resources/audio/practiceStim/S1_AI_21_axb_Step-6.wav","49","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","19","106275","0.0-6.0-0.1","5e9902c3a64f740009842923","condB","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"2821","","practice","audio-keyboard-response","20","109097","0.0-6.0-1.1","5e9902c3a64f740009842923","condB","","resources/audio/practiceStim/S1_AI_21_bxa_Step-6.wav","49","","","","","","","","","","","","","",""
