"rt","url","trial_role","trial_type","trial_index","time_elapsed","internal_node_id","participantId","condition","view_history","stimulus","key_press","button_pressed","correct_answer","correct_response","success","vowel","wordStim","speaker","sentNum","order","step","speakerIdentity","raised_answer","key_response","raised_response"
"31367","micr.con.consent.html","consent","external-html","0","31975","0.0-0.0","LSPC0005","condB","","","","","","","","","","","","","","","","",""
"44569","","instructions","instructions","1","76547","0.0-1.0","LSPC0005","condB","[{""page_index"":0,""viewing_time"":15466},{""page_index"":1,""viewing_time"":27837},{""page_index"":2,""viewing_time"":1266}]","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","2","77048","0.0-2.0-0.0","LSPC0005","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4491","","tonetest","audio-button-response","3","81542","0.0-2.0-1.0","LSPC0005","condB","","../../src/audio/toneTest_2.wav","","2","1","false","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","4","82042","0.0-2.0-0.1","LSPC0005","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4125","","tonetest","audio-button-response","5","86170","0.0-2.0-1.1","LSPC0005","condB","","../../src/audio/toneTest_5.wav","","2","0","false","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","6","86672","0.0-2.0-0.2","LSPC0005","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4539","","tonetest","audio-button-response","7","91211","0.0-2.0-1.2","LSPC0005","condB","","../../src/audio/toneTest_2.wav","","2","1","false","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","8","91714","0.0-2.0-0.3","LSPC0005","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"4366","","tonetest","audio-button-response","9","96082","0.0-2.0-1.3","LSPC0005","condB","","../../src/audio/toneTest_4.wav","","0","1","false","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","10","96583","0.0-2.0-0.4","LSPC0005","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"3634","","tonetest","audio-button-response","11","100217","0.0-2.0-1.4","LSPC0005","condB","","../../src/audio/toneTest_1.wav","","1","2","false","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","12","100720","0.0-2.0-0.5","LSPC0005","condB","","<div class=""vertical-center"" style=""font-size:60px;"">+</div>","null","","","","","","","","","","","","","",""
"3984","","tonetest","audio-button-response","13","104705","0.0-2.0-1.5","LSPC0005","condB","","../../src/audio/toneTest_5.wav","","2","0","false","","","","","","","","","","",""
"87556","","instructions","html-keyboard-response","14","192264","0.0-3.0","LSPC0005","condB","","<div class=""vertical-center""><p><b>Your score was 0/6.</b></p><p>If you scored below 6, please ensure that you are wearing headphones and in a quiet location free of distractions.</p><p><i>To continue to the main experiment, press SPACE.</i></p></div>","32","","","","","","","","","","","","","",""
"","","","fullscreen","15","194494","0.0-4.0","LSPC0005","condB","","","","","","","true","","","","","","","","","",""
"7148","","instructions","instructions","16","201642","0.0-5.0","LSPC0005","condB","[{""page_index"":0,""viewing_time"":7148}]","","","","","","","","","","","","","","","",""
"null","","fixation","html-keyboard-response","17","202143","0.0-6.0-0.0","LSPC0005","condB","","<div class=""vertical-center"" style='width:60%;'><p style='font-weight:bold;'>Does the middle word sound more like the first word (A) or the last word (B)?</p> <br> <div class=""container""> <div id=""a-box""> <p class=""title-text"">A</h3></p> </div> <div id=""x-box""> <p class=""title-text"">X<p> </div> <div id=""b-box""> <p class=""title-text"">B</p></div> <br> <div style='float: left;padding-left:30px;'><p>Press '1' for A</p></div><div style='float: right;padding-right:30px;'><p>Press '0' for B</p> </div> </div></div>","null","","","","","","","","","","","","","",""
"3224","","practice","audio-keyboard-response","18","205367","0.0-6.0-1.0","LSPC0005","condB","","resources/audio/practiceStim/S1_AU_14_axb_Step-6.wav","49","","","","","","","","","","","","","",""
