session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Current U.S state of birth,Current U.S state of residence,Employment Status,First Language,Nationality,Sex,Student Status
5f3b267c99a44d823bfd2b2b,5e3a068281288b000bb484a3,APPROVED,2020-08-18 00:53:21.471000,2020-08-18 01:15:28.064000,1326.593,25,33,1,99,2020-08-19 02:32:28.951000,53012707,United States,United States,Michigan (MI),Michigan (MI),Full-Time,English,United States,Male,No
5f3b2ca2adbc8981e9bab9a0,5e916cb9e502b1498e8fc059,APPROVED,2020-08-18 01:19:38.342000,2020-08-18 01:43:00.545000,1402.203,56,179,0,100,2020-08-19 02:32:30.219000,53012707,United States,United States,Michigan (MI),Michigan (MI),Other,English,United States,Male,No
5f3b32ec6b950d2690265eec,5b134a12bd9c31000156d4e2,RETURNED,2020-08-18 01:46:24.454000,,1860185.426253,37,314,7,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f3b381f6737be84edf9e3e9,58dc1373463f960001ba45b3,TIMED-OUT,2020-08-18 02:09:05.725000,,1858824.155355,27,157,3,99,,,United States,United States,Michigan (MI),Michigan (MI),Full-Time,English,United States,Male,No
5f3b393d9a209a24b6cdcec6,5df6b530c0b81f49ab5e86fd,APPROVED,2020-08-18 02:14:23.754000,2020-08-18 02:39:07.351000,1483.597,22,92,0,100,2020-08-19 02:32:31.549000,53012707,United States,United States,Michigan (MI),Michigan (MI),DATA EXPIRED,English,United States,Male,Yes
5f3b3963a580548467cd5ac9,5d847ac9be4b0b00188463d7,RETURNED,2020-08-18 02:13:55.365000,,1858534.740061,23,578,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f3b3974ee7b8f84b0786acf,5f345fec952faa3654e9975e,APPROVED,2020-08-18 02:14:16.309000,2020-08-18 02:52:59.784000,2323.475,27,27,0,100,2020-08-19 02:32:32.950000,53012707,United States,United States,Michigan (MI),Michigan (MI),Full-Time,,United States,Male,No
5f3b3a264b0d838585ef4ebc,5a6b35d3d5d4cb0001d643d8,APPROVED,2020-08-18 02:17:10.796000,2020-08-18 02:44:37.089000,1646.293,49,1083,3,100,2020-08-19 02:32:34.192000,53012707,United States,United States,Michigan (MI),Michigan (MI),Full-Time,English,United States,Male,No
5f3b3a2e14c07a24a3148ab6,5b0569619d397e00019167e4,APPROVED,2020-08-18 02:17:22.048000,2020-08-18 02:39:40.225000,1338.177,22,523,2,100,2020-08-19 02:32:35.602000,53012707,United States,United States,Michigan (MI),Michigan (MI),Unemployed (and job seeking),English,United States,Male,Yes
5f3b3e88b7b6dd84f36c4ee5,5c4e7b34620ba700010c5dc6,APPROVED,2020-08-18 02:35:52.466000,2020-08-18 02:57:24.640000,1292.174,29,383,5,98,2020-08-19 02:32:36.951000,53012707,United States,United States,Michigan (MI),Michigan (MI),Other,English,United States,Male,Yes
5f3b3ede7a93e0862afe4a4d,5f2c4bf4e4f3080e6a469fcc,RETURNED,2020-08-18 02:38:08.636000,,1857082.397918,35,62,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f3b40d5d1a0bd8600508868,5f11f98efbaf2b0ef855ec6b,RETURNED,2020-08-18 02:55:41.557000,,1856029.477022,21,77,2,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f3b42401fd9eb278bafd5f5,5e3f8fcc6aa9281f24577e9d,RETURNED,2020-08-18 02:52:16.760000,,1856234.274073,69,270,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f3b42ee64e0cf84f286a4f4,5f13786da54419389fc40b64,RETURNED,2020-08-18 02:54:40.966000,,1856090.06812,18,53,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f3b435246c94284e68ae0e4,5db37bb9da032c000f9e04fa,APPROVED,2020-08-18 02:57:02.283000,2020-08-18 03:17:39.899000,1237.616,21,651,0,100,2020-08-19 02:32:38.500000,53012707,United States,United States,Michigan (MI),Michigan (MI),Part-Time,English,United States,Male,Yes
