rt,url,trial_type,trial_index,time_elapsed,internal_node_id,participantId,view_history,stimulus,key_press,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59

1945,micr.pp.consent.html,external-html,0,1953,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

1063,,instructions,1,3017,0.0-1.0,,[{page_index:0,viewing_time:543},{page_index:1,viewing_time:520}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

null,,html-keyboard-response,2,3519,0.0-2.0-0.0,,,<img src=resources/images/US_face_1.png style=width:80vw;height:auto;></img>,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

173,,audio-keyboard-response,3,3690,0.0-2.0-1.0,,,resources/audio/sentStim/S2_AI_21_mp.wav,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

1559,,html-keyboard-response,4,5250,0.0-2.0-2.0,,,<div class=vertical-center style='width:60%;'><div style='float: left;'><p>Press '1' for same.</p></div><div style='float: right;'><p>Press '0' for different.</p></div></div>,49,{,,t,e,s,t,_,p,a,r,t,,:, ,,t,e,s,t,,,, ,,s,p,e,a,k,e,r,P,r,i,m,e,,:, ,,M,I,,,, ,,r,a,i,s,i,n,g,,:, ,,M,P,,}

null,,html-keyboard-response,5,5752,0.0-2.0-0.1,,,<img src=resources/images/US_face_1.png style=width:80vw;height:auto;></img>,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

323,,audio-keyboard-response,6,6076,0.0-2.0-1.1,,,resources/audio/sentStim/S2_AI_21_ur.wav,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

350,,html-keyboard-response,7,6427,0.0-2.0-2.1,,,<div class=vertical-center style='width:60%;'><div style='float: left;'><p>Press '1' for same.</p></div><div style='float: right;'><p>Press '0' for different.</p></div></div>,49,{,,t,e,s,t,_,p,a,r,t,,:, ,,t,e,s,t,,,, ,,s,p,e,a,k,e,r,P,r,i,m,e,,:, ,,M,I,,,, ,,r,a,i,s,i,n,g,,:, ,,U,R,,}

null,,html-keyboard-response,8,6931,0.0-2.0-0.2,,,<img src=resources/images/US_face_1.png style=width:80vw;height:auto;></img>,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

64,,audio-keyboard-response,9,6995,0.0-2.0-1.2,,,resources/audio/sentStim/S2_AI_21_rs.wav,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

1206,,html-keyboard-response,10,8204,0.0-2.0-2.2,,,<div class=vertical-center style='width:60%;'><div style='float: left;'><p>Press '1' for same.</p></div><div style='float: right;'><p>Press '0' for different.</p></div></div>,49,{,,t,e,s,t,_,p,a,r,t,,:, ,,t,e,s,t,,,, ,,s,p,e,a,k,e,r,P,r,i,m,e,,:, ,,M,I,,,, ,,r,a,i,s,i,n,g,,:, ,,R,S,,}

